layer,method,physical_pages,n,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90
0,per_expert_joint_rank1024_int2,768,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int2,1024,7,0.6772524419891466,0.7474127856561984,0.8687352382110511
0,per_expert_joint_rank1024_int4,64,7,0.5800807742584307,0.6286532279237143,0.7189986464654484
0,per_expert_joint_rank1024_int4,128,7,0.67626515887198,0.8594949263944016,0.8763152339715106
0,per_expert_joint_rank1024_int4,256,7,0.9215768274488716,0.9597271670051594,0.9710337610189624
0,per_expert_joint_rank1024_int4,384,7,0.9487502877931612,0.9811648292036386,0.9898348883850664
0,per_expert_joint_rank1024_int4,512,7,0.9473781839584863,0.9838404762423189,0.9899869693817602
0,per_expert_joint_rank1024_int4,688,7,0.9473764923284154,0.9838376541903469,0.9899867827029994
0,per_expert_joint_rank1024_int4,728,7,0.9473754608090466,0.9838385716408118,0.9899867755997328
0,per_expert_joint_rank1024_int4,750,7,0.9473731230691907,0.9838397530227008,0.9899869879694898
0,per_expert_joint_rank1024_int4,752,7,0.9473730079259339,0.9838402925897444,0.9899869714811542
0,per_expert_joint_rank1024_int4,758,7,0.9473735754600663,0.983840281812339,0.9899873275635641
0,per_expert_joint_rank1024_int4,760,7,0.9473736485733802,0.9838401362180323,0.9899872628418007
0,per_expert_joint_rank1024_int4,764,7,0.9473730246559507,0.9838400945464066,0.9899872373069244
0,per_expert_joint_rank1024_int4,768,7,0.947372740466421,0.9838399407549561,0.9899871490973693
0,per_expert_joint_rank1024_int4,1024,7,0.9473722440116278,0.983838970654418,0.9899875655930782
0,per_expert_output_jacobian_train_rank1024_int4,64,7,0.3968454518005206,0.6195894319616543,0.7485359983186549
0,per_expert_output_jacobian_train_rank1024_int4,128,7,0.8039912071483706,0.8154689574557707,0.9026638196214951
0,per_expert_output_jacobian_train_rank1024_int4,256,7,0.9056785667349315,0.9412987275764866,0.9648049939581167
0,per_expert_output_jacobian_train_rank1024_int4,384,7,0.9522630242276625,0.9723769504877169,0.9852171455040589
0,per_expert_output_jacobian_train_rank1024_int4,512,7,0.9515553993241472,0.9760801643954936,0.9841045411778113
0,per_expert_output_jacobian_train_rank1024_int4,688,7,0.9515558434595233,0.9760715032602054,0.9841049486601107
0,per_expert_output_jacobian_train_rank1024_int4,728,7,0.9515552687402415,0.9760735681229368,0.9841058794724685
0,per_expert_output_jacobian_train_rank1024_int4,750,7,0.9515582579792154,0.9760726451029539,0.9841056427044157
0,per_expert_output_jacobian_train_rank1024_int4,752,7,0.9515583988193299,0.976072681117876,0.9841052968694581
0,per_expert_output_jacobian_train_rank1024_int4,758,7,0.9515582916333468,0.9760737714222225,0.9841051944681136
0,per_expert_output_jacobian_train_rank1024_int4,760,7,0.9515588913263175,0.9760737790561952,0.9841056847337905
0,per_expert_output_jacobian_train_rank1024_int4,764,7,0.9515594315488194,0.9760734860479947,0.9841047707160777
0,per_expert_output_jacobian_train_rank1024_int4,768,7,0.9515600497943526,0.9760732107607443,0.9841049203987754
0,per_expert_output_jacobian_train_rank1024_int4,1024,7,0.9515586770279945,0.9760692780796856,0.9841037339576139
0,per_expert_separate_rank512_int8,64,7,0.14860771033872558,0.5675904908612601,0.6804180719448985
0,per_expert_separate_rank512_int8,128,7,0.4464561949462893,0.8106263539143171,0.875367070107847
0,per_expert_separate_rank512_int8,256,7,0.9471995486359457,0.9783194981411856,0.9835232247169834
0,per_expert_separate_rank512_int8,384,7,0.9992873757207972,0.9995114697343006,0.9997394005549728
0,per_expert_separate_rank512_int8,512,7,0.9999424715183981,0.9999541612943907,0.9999651975328846
0,per_expert_separate_rank512_int8,688,7,0.999942334168044,0.9999540053258968,0.9999651714657629
0,per_expert_separate_rank512_int8,728,7,0.9999423314335305,0.9999539921383594,0.9999651942570192
0,per_expert_separate_rank512_int8,750,7,0.9999423510579281,0.9999539623332726,0.9999652024866319
0,per_expert_separate_rank512_int8,752,7,0.9999423488211445,0.9999539695051171,0.9999652006808126
0,per_expert_separate_rank512_int8,758,7,0.9999423430738307,0.999953969933363,0.9999652071738135
0,per_expert_separate_rank512_int8,760,7,0.9999423442914824,0.9999539657764064,0.9999652087194796
0,per_expert_separate_rank512_int8,764,7,0.9999423433091815,0.999953980352781,0.9999652001249903
