method,physical_pages,n,isolated_recovery_p10,isolated_recovery_median,isolated_recovery_p90,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90,physically_encoded,budget_semantics
native_row_exact_greedy,758,55,0.6202417663610148,0.6720437715086442,0.7245683600836808,0.8766390159470897,0.9448120610983987,0.972164993927326,True,physical_512_byte_pages
native_row_exact_greedy,760,55,0.6220757609064811,0.6740820369334781,0.7257294878999061,0.8767004726942409,0.9448449467252954,0.9722039516642758,True,physical_512_byte_pages
native_row_exact_greedy,764,55,0.6234345262454987,0.6815507473379702,0.7280500708131238,0.8767000577843228,0.9448407399038187,0.9725514377241922,True,physical_512_byte_pages
native_row_exact_greedy,768,55,0.6237288806798483,0.6822790537997385,0.7315857100453236,0.8766216258893011,0.9447810509316692,0.9725344674557117,True,physical_512_byte_pages
native_row_exact_greedy,1024,55,1.0,1.0,1.0,1.0,1.0,1.0,True,physical_512_byte_pages
per_expert_joint_rank1024_fp32_oracle,64,55,0.415868790865868,0.4451797965502198,0.6004679330799796,0.09975408743537685,0.413779814843368,0.639126357137857,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,128,55,0.6012362272903721,0.6213385895899453,0.803862424135726,0.39623998833194163,0.6071703825219311,0.8462486651858053,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,256,55,0.7970702314663697,0.8118653337271546,0.9634586862620772,0.6548980255239856,0.7958508825554695,0.9415443781991817,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,384,55,0.8981711746772859,0.9052901521504896,0.999220311266138,0.7908668819871506,0.9033475947187537,0.9993271326094523,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,512,55,0.9515778880965106,0.9557845362378102,0.9999999722078482,0.9111548133581774,0.9579437005999948,0.9999999626391868,False,action_count_only
per_expert_joint_rank1024_fp32_oracle,688,55,0.9875822625744501,0.988898694296578,0.9999999722032654,0.9767991311753169,0.9880902633802565,0.9999999626266486,False,action_count_only
