method,tuple,layer,invocations,p10,median,p90
rrq_generalized_heterogeneous,"(1,1,1)",4,34,0.7727083742618561,0.8522341847419739,0.9070516169071198
rrq_generalized_heterogeneous,"(1,1,1)",20,24,0.7251563727855682,0.8560719788074493,0.9166353940963745
rrq_generalized_heterogeneous,"(1,1,1)",39,34,0.7038166880607605,0.8522275686264038,0.9024011850357055
rrq_generalized_heterogeneous,"(1,1,2)",0,41,0.8555179834365845,0.925300657749176,0.9623439908027649
rrq_generalized_heterogeneous,"(1,1,2)",4,34,0.8419540762901306,0.8889783024787903,0.9385709881782531
rrq_generalized_heterogeneous,"(1,1,2)",20,24,0.7952406704425812,0.887782484292984,0.9336170971393585
rrq_generalized_heterogeneous,"(1,1,2)",39,34,0.8370312929153443,0.8889661133289337,0.9333510518074035
rrq_generalized_heterogeneous,"(2,2,1)",0,41,0.8238033056259155,0.9018492102622986,0.9523302912712097
rrq_generalized_heterogeneous,"(2,2,1)",4,34,0.8855578482151032,0.9270310997962952,0.9576260328292847
rrq_generalized_heterogeneous,"(2,2,1)",20,24,0.9048904418945313,0.9408322870731354,0.9665507435798645
rrq_generalized_heterogeneous,"(2,2,1)",39,34,0.8510982275009156,0.9191184341907501,0.9562921106815339
rrq_generalized_heterogeneous,"(2,2,2)",0,41,0.9409685134887695,0.9749063849449158,0.9896690249443054
rrq_generalized_heterogeneous,"(2,2,2)",4,34,0.9547642469406128,0.9720327258110046,0.9827946841716766
rrq_generalized_heterogeneous,"(2,2,2)",20,24,0.9553288698196412,0.9776149988174438,0.9835958480834961
rrq_generalized_heterogeneous,"(2,2,2)",39,34,0.9553517758846283,0.9731191098690033,0.9837669014930726
rrq_raw_heterogeneous,"(0,0,1)",0,41,0.32286012172698975,0.40668952465057373,0.6799662113189697
rrq_raw_heterogeneous,"(0,0,1)",4,34,0.1515283763408661,0.3307602107524872,0.4546070694923401
rrq_raw_heterogeneous,"(0,0,1)",20,24,-0.08541437387466427,0.28942543268203735,0.3998248696327209
rrq_raw_heterogeneous,"(0,0,1)",39,34,0.16995638012886047,0.41219833493232727,0.5443255662918091
rrq_raw_heterogeneous,"(1,1,0)",0,41,0.14741730690002441,0.41667115688323975,0.5179620981216431
rrq_raw_heterogeneous,"(1,1,0)",4,34,0.24426740407943728,0.4939892888069153,0.6831406712532043
rrq_raw_heterogeneous,"(1,1,0)",20,24,0.2665884017944336,0.5721955299377441,0.7785506844520569
rrq_raw_heterogeneous,"(1,1,0)",39,34,0.18788339495658873,0.43967896699905396,0.6382335424423218
rrq_raw_heterogeneous,"(1,1,1)",0,41,0.7198203206062317,0.8418413400650024,0.9070019721984863
rrq_raw_heterogeneous,"(1,1,1)",4,34,0.8050757706165313,0.8735833764076233,0.925195038318634
rrq_raw_heterogeneous,"(1,1,1)",20,24,0.8039067447185516,0.9032850563526154,0.949568647146225
rrq_raw_heterogeneous,"(1,1,1)",39,34,0.7478122234344482,0.8385577499866486,0.9030533075332642
rrq_raw_heterogeneous,"(1,1,2)",0,41,0.8610905408859253,0.9340784549713135,0.9619374871253967
rrq_raw_heterogeneous,"(1,1,2)",4,34,0.8677819073200226,0.9196055829524994,0.9516647696495056
rrq_raw_heterogeneous,"(1,1,2)",20,24,0.8771247208118439,0.9231947362422943,0.9551657736301422
rrq_raw_heterogeneous,"(1,1,2)",39,34,0.8423064351081848,0.9038737118244171,0.945585834980011
rrq_raw_heterogeneous,"(2,2,1)",0,41,0.8024390935897827,0.9004168510437012,0.9579207897186279
rrq_raw_heterogeneous,"(2,2,1)",4,34,0.8775303900241852,0.9369396567344666,0.9576647281646729
rrq_raw_heterogeneous,"(2,2,1)",20,24,0.9158859074115753,0.9470221400260925,0.9698211133480072
rrq_raw_heterogeneous,"(2,2,1)",39,34,0.8715482115745544,0.9131193459033966,0.9515690624713897
rrq_raw_heterogeneous,"(2,2,2)",0,41,0.9397485852241516,0.9747784733772278,0.9911946058273315
rrq_raw_heterogeneous,"(2,2,2)",4,34,0.9556107223033905,0.9809281229972839,0.9889449715614319
rrq_raw_heterogeneous,"(2,2,2)",20,24,0.9708586990833282,0.9820076525211334,0.9880103826522827
rrq_raw_heterogeneous,"(2,2,2)",39,34,0.9626680672168731,0.9758901298046112,0.9831394910812378
rrq_raw_heterogeneous_bf16_scales,"(0,0,1)",0,41,0.3224579691886902,0.40672314167022705,0.6800686120986938
rrq_raw_heterogeneous_bf16_scales,"(0,0,1)",4,34,0.15142205953598023,0.3304078280925751,0.4546248078346252
rrq_raw_heterogeneous_bf16_scales,"(0,0,1)",20,24,-0.08508164882659909,0.28965598344802856,0.39989767670631404
rrq_raw_heterogeneous_bf16_scales,"(0,0,1)",39,34,0.16977513432502747,0.41230982542037964,0.544297170639038
rrq_raw_heterogeneous_bf16_scales,"(1,1,0)",0,41,0.14725494384765625,0.41685622930526733,0.5180720686912537
rrq_raw_heterogeneous_bf16_scales,"(1,1,0)",4,34,0.243871408700943,0.4938827157020569,0.682971304655075
rrq_raw_heterogeneous_bf16_scales,"(1,1,0)",20,24,0.2670101046562195,0.5722887217998505,0.7784334301948547
rrq_raw_heterogeneous_bf16_scales,"(1,1,0)",39,34,0.18826215267181395,0.43968239426612854,0.6382349669933319
rrq_raw_heterogeneous_bf16_scales,"(1,1,1)",0,41,0.7201160192489624,0.8416769504547119,0.9069750308990479
rrq_raw_heterogeneous_bf16_scales,"(1,1,1)",4,34,0.804849100112915,0.8734900057315826,0.9251068651676178
rrq_raw_heterogeneous_bf16_scales,"(1,1,1)",20,24,0.8041175842285156,0.9035039246082306,0.9495961666107178
rrq_raw_heterogeneous_bf16_scales,"(1,1,1)",39,34,0.7479199707508087,0.8386923670768738,0.9034050464630127
rrq_raw_heterogeneous_bf16_scales,"(1,1,2)",0,41,0.8594731092453003,0.9354007840156555,0.9622191190719604
rrq_raw_heterogeneous_bf16_scales,"(1,1,2)",4,34,0.8679990887641906,0.9186125099658966,0.9518833220005035
rrq_raw_heterogeneous_bf16_scales,"(1,1,2)",20,24,0.8758211076259613,0.9228900372982025,0.9546356320381164
rrq_raw_heterogeneous_bf16_scales,"(1,1,2)",39,34,0.8424229681491852,0.9042107462882996,0.9441855907440185
