method,budget_bpw,layer,expert_id,expert_stratum,invocations,mean,median
independent_direct_generalized_native,3.0,0,22,median,4,0.9165923297405243,0.9229366183280945
independent_direct_generalized_native,3.0,0,114,median,1,0.903484046459198,0.903484046459198
independent_direct_generalized_native,3.0,0,158,median,4,0.951444461941719,0.9612461030483246
independent_direct_generalized_native,3.0,0,164,cold,3,0.9200944105784098,0.9279847145080566
independent_direct_generalized_native,3.0,0,181,hot,4,0.9246731698513031,0.9232035577297211
independent_direct_generalized_native,3.0,0,206,hot,4,0.9382253438234329,0.9471478462219238
independent_direct_generalized_native,3.0,0,238,hot,4,0.924713984131813,0.9213346540927887
independent_direct_generalized_native,3.0,0,248,cold,4,0.9061179608106613,0.9309421479701996
independent_direct_generalized_native,3.0,0,252,hot,4,0.9633665382862091,0.9712052941322327
independent_direct_generalized_native,3.0,4,28,hot,4,0.9151550084352493,0.9242796003818512
independent_direct_generalized_native,3.0,4,36,median,4,0.901089534163475,0.90223228931427
independent_direct_generalized_native,3.0,4,82,median,4,0.9107886999845505,0.915314257144928
independent_direct_generalized_native,3.0,4,111,cold,1,0.8249171376228333,0.8249171376228333
independent_direct_generalized_native,3.0,4,129,hot,4,0.9149839282035828,0.9153439402580261
independent_direct_generalized_native,3.0,4,134,hot,4,0.8918401449918747,0.8861382305622101
independent_direct_generalized_native,3.0,4,143,cold,1,0.9157621264457703,0.9157621264457703
independent_direct_generalized_native,3.0,4,154,hot,4,0.9284093230962753,0.9264058470726013
independent_direct_generalized_native,3.0,4,190,median,4,0.9498968124389648,0.9512230753898621
independent_direct_generalized_native,3.0,4,193,median,4,0.9019287079572678,0.9088972210884094
