method,threshold,layer,count,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
rrq_raw_heterogeneous_fp32_scales_upper,0.95,4,34,4.436274509803921,4.333333333333333,5.208333333333333,5.208333333333333,5.514583333333331,6.083333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.95,20,24,4.041666666666667,4.333333333333333,4.333333333333333,5.208333333333333,5.208333333333333,5.208333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.95,39,34,4.487745098039215,4.333333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.975,0,41,5.421747967479675,5.208333333333333,6.083333333333333,6.083333333333333,6.958333333333333,6.958333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.975,4,34,5.388480392156862,5.208333333333333,6.083333333333333,6.083333333333333,6.083333333333333,6.083333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.975,20,24,5.244791666666667,5.208333333333333,5.208333333333333,6.083333333333333,6.083333333333333,6.083333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.975,39,34,5.491421568627451,5.208333333333333,6.083333333333333,6.083333333333333,6.083333333333333,6.6695833333333345
rrq_raw_heterogeneous_fp32_scales_upper,0.99,0,35,6.258333333333333,6.083333333333333,6.958333333333333,7.833333333333333,7.833333333333333,7.833333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.99,4,33,6.666666666666667,6.958333333333333,6.958333333333333,7.658333333333333,7.833333333333333,7.833333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.99,20,24,6.338541666666667,6.083333333333333,6.958333333333333,6.958333333333333,6.958333333333333,7.632083333333332
rrq_raw_heterogeneous_fp32_scales_upper,0.99,39,32,7.040364583333333,6.958333333333333,7.177083333333333,7.833333333333333,7.833333333333333,7.833333333333333
rrq_raw_heterogeneous_weight_only_down,0.8,0,41,2.298780487804878,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_raw_heterogeneous_weight_only_down,0.8,4,34,2.3345588235294117,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.125,3.125
rrq_raw_heterogeneous_weight_only_down,0.8,20,24,2.3663194444444446,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.0062499999999983,3.125
rrq_raw_heterogeneous_weight_only_down,0.8,39,34,2.474264705882353,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_raw_heterogeneous_weight_only_down,0.9,0,41,3.0304878048780486,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous_weight_only_down,0.9,4,34,2.9387254901960786,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous_weight_only_down,0.9,20,24,2.762152777777778,2.3333333333333335,3.125,3.125,3.797916666666665,3.9166666666666665
rrq_raw_heterogeneous_weight_only_down,0.9,39,34,3.1482843137254903,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous_weight_only_down,0.95,0,41,3.898373983739837,3.9166666666666665,3.9166666666666665,4.708333333333333,4.708333333333333,5.1833333333333345
rrq_raw_heterogeneous_weight_only_down,0.95,4,34,3.9166666666666665,3.9166666666666665,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous_weight_only_down,0.95,20,24,3.6197916666666665,3.9166666666666665,3.9166666666666665,4.470833333333332,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous_weight_only_down,0.95,39,34,4.172794117647059,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,5.238750000000001
rrq_raw_heterogeneous_weight_only_down,0.975,0,41,4.766260162601625,4.708333333333333,5.5,5.5,5.5,6.291666666666667
rrq_raw_heterogeneous_weight_only_down,0.975,4,34,4.801470588235294,4.708333333333333,5.5,5.5,5.5,5.5
rrq_raw_heterogeneous_weight_only_down,0.975,20,24,4.774305555555555,4.708333333333333,4.708333333333333,5.5,5.5,5.5
