layer,expert_id,method,reference_fallback_bytes,correction_capacity_bytes,external_storage_multiplier
20,142,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,148,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,148,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,148,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,148,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,148,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,148,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,156,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,156,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,156,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,156,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,156,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,156,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,232,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,232,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,232,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,232,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,232,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,232,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,240,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,240,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,240,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,240,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,240,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,240,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
39,22,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,22,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,22,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,22,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,22,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,22,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,28,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,28,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,28,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,28,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,28,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,28,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,37,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,37,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,37,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,37,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,37,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,37,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,43,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,43,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,43,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,43,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,43,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,43,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,55,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,55,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,55,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,55,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,55,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,55,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,70,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,70,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,70,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,70,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,70,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,70,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,119,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,119,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,119,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,119,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,119,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,119,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,147,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,147,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,147,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,147,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,147,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,147,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,153,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,153,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,153,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,153,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,153,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,153,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,189,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,189,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,189,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,189,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,189,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,189,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,193,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,193,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,193,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,193,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,193,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,193,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
39,235,rrq_raw_heterogeneous,2301952,2785856,2.2102146352313166
39,235,rrq_raw_homogeneous,2301952,2802240,2.2173320729537367
39,235,rrq_raw_heterogeneous_bf16_scales,2301952,2785856,2.2102146352313166
39,235,rrq_raw_heterogeneous_fp32_scales_upper,2301952,3080768,2.3383285142348753
39,235,rrq_generalized_heterogeneous,2301952,2785856,2.2102146352313166
39,235,rrq_raw_heterogeneous_weight_only_down,2301952,2785856,2.2102146352313166
