method,budget_bpw,layer,invocations,mean,p10,median,p90
nested_int16_prefix_generalized_native,4.0,20,24,0.6664858981966972,0.5560656428337097,0.6527743339538574,0.8123214602470398
nested_int16_prefix_generalized_native,4.0,39,34,0.7268068334635567,0.5835606575012207,0.7465246319770813,0.8505148112773895
rrq_generalized_heterogeneous,0.75,0,41,0.22445485795416484,0.04691791534423828,0.23326164484024048,0.30889081954956055
rrq_generalized_heterogeneous,0.75,4,34,0.24725904885460348,0.004833811521530155,0.2892332077026367,0.42706703543663027
rrq_generalized_heterogeneous,0.75,20,24,0.28547293196121853,0.10174770951271057,0.3017638325691223,0.4834301590919494
rrq_generalized_heterogeneous,0.75,39,34,0.22335303706281326,0.0,0.2435113787651062,0.4437300086021423
rrq_generalized_heterogeneous,1.0,0,41,0.4559486508369446,0.3445615768432617,0.41428083181381226,0.6799662113189697
rrq_generalized_heterogeneous,1.0,4,34,0.39834965677822337,0.32629826068878176,0.379498690366745,0.4696353077888489
rrq_generalized_heterogeneous,1.0,20,24,0.41388920446236926,0.305764639377594,0.3887994885444641,0.549319738149643
rrq_generalized_heterogeneous,1.0,39,34,0.43818050798247843,0.3088604211807251,0.4537767767906189,0.5562566876411438
rrq_generalized_heterogeneous,1.25,0,41,0.4559486508369446,0.3445615768432617,0.41428083181381226,0.6799662113189697
rrq_generalized_heterogeneous,1.25,4,34,0.39834965677822337,0.32629826068878176,0.379498690366745,0.4696353077888489
rrq_generalized_heterogeneous,1.25,20,24,0.41388920446236926,0.305764639377594,0.3887994885444641,0.549319738149643
rrq_generalized_heterogeneous,1.25,39,34,0.43818050798247843,0.3088604211807251,0.4537767767906189,0.5562566876411438
rrq_generalized_heterogeneous,1.5,0,41,0.4559486508369446,0.3445615768432617,0.41428083181381226,0.6799662113189697
rrq_generalized_heterogeneous,1.5,4,34,0.39834965677822337,0.32629826068878176,0.379498690366745,0.4696353077888489
rrq_generalized_heterogeneous,1.5,20,24,0.41388920446236926,0.305764639377594,0.3887994885444641,0.549319738149643
rrq_generalized_heterogeneous,1.5,39,34,0.43818050798247843,0.3088604211807251,0.4537767767906189,0.5562566876411438
rrq_generalized_heterogeneous,2.0,0,41,0.7032601484438268,0.5776155591011047,0.6917154788970947,0.8678809404373169
rrq_generalized_heterogeneous,2.0,4,34,0.6495162108365227,0.5549918293952942,0.651446670293808,0.7426055133342743
rrq_generalized_heterogeneous,2.0,20,24,0.6622836490472158,0.5548783600330353,0.6688418090343475,0.7732845127582549
rrq_generalized_heterogeneous,2.0,39,34,0.6743334111045388,0.5643896460533142,0.693558931350708,0.7554525136947632
rrq_generalized_heterogeneous,2.25,0,41,0.7032601484438268,0.5776155591011047,0.6917154788970947,0.8678809404373169
rrq_generalized_heterogeneous,2.25,4,34,0.6495162108365227,0.5549918293952942,0.651446670293808,0.7426055133342743
rrq_generalized_heterogeneous,2.25,20,24,0.6622836490472158,0.5548783600330353,0.6688418090343475,0.7732845127582549
rrq_generalized_heterogeneous,2.25,39,34,0.6743334111045388,0.5643896460533142,0.693558931350708,0.7554525136947632
rrq_generalized_heterogeneous,3.0,0,41,0.8543057369022835,0.7844407558441162,0.8654365539550781,0.9375451803207397
rrq_generalized_heterogeneous,3.0,4,34,0.8422197226215812,0.7727083742618561,0.8522341847419739,0.9070516169071198
rrq_generalized_heterogeneous,3.0,20,24,0.8416056459148725,0.7251563727855682,0.8560719788074493,0.9166353940963745
rrq_generalized_heterogeneous,3.0,39,34,0.8298758250825545,0.7168477237224579,0.8522275686264038,0.9024011850357055
rrq_generalized_heterogeneous,4.0,0,41,0.9578680832211565,0.9295755624771118,0.9580137133598328,0.9854873418807983
rrq_generalized_heterogeneous,4.0,4,34,0.9471410425270305,0.9246130764484406,0.9504885077476501,0.9675025522708893
rrq_generalized_heterogeneous,4.0,20,24,0.9483983069658279,0.9252754926681519,0.9534369111061096,0.9665507435798645
rrq_generalized_heterogeneous,4.0,39,34,0.9437854780870325,0.8990132987499238,0.9512175023555756,0.9657529711723327
rrq_raw_heterogeneous,0.75,0,41,0.20959864883888057,0.037286996841430664,0.20902365446090698,0.3490191698074341
rrq_raw_heterogeneous,0.75,4,34,0.2731899093179142,0.009950751066207894,0.2956556975841522,0.5216926991939544
rrq_raw_heterogeneous,0.75,20,24,0.31615761170784634,0.15276708602905273,0.34248507022857666,0.464558082818985
rrq_raw_heterogeneous,0.75,39,34,0.222765854176353,0.0,0.22020459175109863,0.4557952523231506
rrq_raw_heterogeneous,1.0,0,41,0.4569475447259298,0.35063880681991577,0.40668952465057373,0.6799662113189697
rrq_raw_heterogeneous,1.0,4,34,0.42065687389934764,0.331715989112854,0.4095506966114044,0.5416396021842956
rrq_raw_heterogeneous,1.0,20,24,0.4240538304050763,0.3090184569358826,0.39831846952438354,0.5474384367465973
rrq_raw_heterogeneous,1.0,39,34,0.44806458844858055,0.32871589064598083,0.4559682309627533,0.5576719284057617
rrq_raw_heterogeneous,1.25,0,41,0.4569475447259298,0.35063880681991577,0.40668952465057373,0.6799662113189697
rrq_raw_heterogeneous,1.25,4,34,0.42065687389934764,0.331715989112854,0.4095506966114044,0.5416396021842956
rrq_raw_heterogeneous,1.25,20,24,0.4240538304050763,0.3090184569358826,0.39831846952438354,0.5474384367465973
rrq_raw_heterogeneous,1.25,39,34,0.44806458844858055,0.32871589064598083,0.4559682309627533,0.5576719284057617
rrq_raw_heterogeneous,1.5,0,41,0.4569475447259298,0.35063880681991577,0.40668952465057373,0.6799662113189697
rrq_raw_heterogeneous,1.5,4,34,0.42065687389934764,0.331715989112854,0.4095506966114044,0.5416396021842956
rrq_raw_heterogeneous,1.5,20,24,0.4240538304050763,0.3090184569358826,0.39831846952438354,0.5474384367465973
rrq_raw_heterogeneous,1.5,39,34,0.44806458844858055,0.32871589064598083,0.4559682309627533,0.5576719284057617
rrq_raw_heterogeneous,2.0,0,41,0.6988165276806529,0.5868327021598816,0.6816985607147217,0.8354095220565796
rrq_raw_heterogeneous,2.0,4,34,0.6737778817906099,0.5874749600887299,0.6720243096351624,0.7639314889907837
rrq_raw_heterogeneous,2.0,20,24,0.672469787299633,0.5472186505794525,0.6925655007362366,0.7804051637649536
rrq_raw_heterogeneous,2.0,39,34,0.6811752266743604,0.5867513239383697,0.6788826584815979,0.7831508398056031
rrq_raw_heterogeneous,2.25,0,41,0.6988165276806529,0.5868327021598816,0.6816985607147217,0.8354095220565796
rrq_raw_heterogeneous,2.25,4,34,0.6737778817906099,0.5874749600887299,0.6720243096351624,0.7639314889907837
rrq_raw_heterogeneous,2.25,20,24,0.672469787299633,0.5472186505794525,0.6925655007362366,0.7804051637649536
rrq_raw_heterogeneous,2.25,39,34,0.6811752266743604,0.5867513239383697,0.6788826584815979,0.7831508398056031
rrq_raw_heterogeneous,3.0,0,41,0.8501065228043533,0.7604802250862122,0.8539429903030396,0.9340887069702148
rrq_raw_heterogeneous,3.0,4,34,0.8681956161470974,0.8050757706165313,0.8735833764076233,0.925195038318634
rrq_raw_heterogeneous,3.0,20,24,0.8849619378646215,0.8039067447185516,0.9032850563526154,0.949568647146225
rrq_raw_heterogeneous,3.0,39,34,0.8378831446170807,0.7719592332839966,0.8444966971874237,0.9030533075332642
rrq_raw_heterogeneous,4.0,0,41,0.9592023230180508,0.9314796924591064,0.9656414985656738,0.9837002158164978
rrq_raw_heterogeneous,4.0,4,34,0.9552867710590363,0.9313200354576111,0.9570825695991516,0.9785904884338379
