method,budget_bpw,aggregate,invocations,requests,mean_recovery,p10_recovery,p25_recovery,median_recovery,p75_recovery,p90_recovery,p95_remaining_damage,mean_relative_output_error,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_actual_bpw,median_page_amplification,median_bootstrap_ci_low,median_bootstrap_ci_high
rrq_raw_heterogeneous,0.75,difficult_4_20_39,92,15,0.26576389825862384,0.0017948865890502865,0.14595873653888702,0.27058160305023193,0.3895275741815567,0.47979766130447393,1.0,0.47238352927176847,0.0,0.0,0.0,0.0,0.75,1.0,0.17861029952764512,0.3107920289039612
rrq_raw_heterogeneous,1.0,difficult_4_20_39,92,15,0.43167197445164557,0.32437015771865846,0.3582005053758621,0.4315541684627533,0.4946659058332443,0.5496762156486511,0.6918614327907562,0.4439826795588369,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.4152391150593758,0.45548397302627563
rrq_raw_heterogeneous,1.25,difficult_4_20_39,92,15,0.43167197445164557,0.32437015771865846,0.3582005053758621,0.4315541684627533,0.4946659058332443,0.5496762156486511,0.6918614327907562,0.4439826795588369,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.41524559259414673,0.4559682309627533
rrq_raw_heterogeneous,1.5,difficult_4_20_39,92,15,0.43167197445164557,0.32437015771865846,0.3582005053758621,0.4315541684627533,0.4946659058332443,0.5496762156486511,0.6918614327907562,0.4439826795588369,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.4172710873186588,0.45548397302627563
rrq_raw_heterogeneous,2.0,difficult_4_20_39,92,15,0.6761704411195673,0.5803841412067413,0.6100205034017563,0.6821413040161133,0.7458766400814056,0.7790151715278626,0.44593038856983186,0.33549256638988206,0.043478260869565216,0.0,0.0,0.0,1.5416666666666667,1.0,0.647152304649353,0.7063738107681274
rrq_raw_heterogeneous,2.25,difficult_4_20_39,92,15,0.6761704411195673,0.5803841412067413,0.6100205034017563,0.6821413040161133,0.7458766400814056,0.7790151715278626,0.44593038856983186,0.33549256638988206,0.043478260869565216,0.0,0.0,0.0,1.5416666666666667,1.0,0.647152304649353,0.7012650452554225
rrq_raw_heterogeneous,3.0,difficult_4_20_39,92,15,0.8613670040731845,0.7895904958248139,0.8188570141792297,0.8727517426013947,0.9082019031047821,0.9295592188835144,0.2562117934226991,0.19599576132453006,0.8804347826086957,0.29347826086956524,0.043478260869565216,0.0,2.3333333333333335,1.0,0.8402971923351288,0.891963005065918
rrq_raw_heterogeneous,4.0,difficult_4_20_39,92,15,0.9563452407069828,0.9336015164852143,0.9483957588672638,0.9589618742465973,0.967620387673378,0.9761815905570984,0.07249892950057983,0.12144937439133292,1.0,1.0,0.6956521739130435,0.0,3.9166666666666665,1.0,0.9537376813590527,0.9606409668922424
rrq_raw_heterogeneous_bf16_scales,0.75,difficult_4_20_39,92,15,0.26570393728173297,0.0017889797687530454,0.1454964429140091,0.2703586220741272,0.38934317231178284,0.4796562254428864,1.0,0.47237828082364536,0.0,0.0,0.0,0.0,0.75,1.0,0.17975890636444092,0.31093961000442505
rrq_raw_heterogeneous_bf16_scales,1.0,difficult_4_20_39,92,15,0.43164828095747076,0.3241572380065918,0.35805708169937134,0.4317137598991394,0.49478255212306976,0.5494774580001831,0.6917713165283204,0.443981301849303,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.41517145484685897,0.45520836114883423
rrq_raw_heterogeneous_bf16_scales,1.25,difficult_4_20_39,92,15,0.43164828095747076,0.3241572380065918,0.35805708169937134,0.4317137598991394,0.49478255212306976,0.5494774580001831,0.6917713165283204,0.443981301849303,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.41954017207026484,0.45520836114883423
rrq_raw_heterogeneous_bf16_scales,1.5,difficult_4_20_39,92,15,0.43164828095747076,0.3241572380065918,0.35805708169937134,0.4317137598991394,0.49478255212306976,0.5494774580001831,0.6917713165283204,0.443981301849303,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.41230430603027346,0.4557877711951733
rrq_raw_heterogeneous_bf16_scales,2.0,difficult_4_20_39,92,15,0.6761898333611696,0.5802104711532593,0.6102372705936432,0.6816270351409912,0.7458920627832413,0.7791244626045227,0.44587260484695435,0.3354873498496802,0.043478260869565216,0.0,0.0,0.0,1.5416666666666667,1.0,0.6472141742706299,0.7066265940666199
rrq_raw_heterogeneous_bf16_scales,2.25,difficult_4_20_39,92,15,0.6761898333611696,0.5802104711532593,0.6102372705936432,0.6816270351409912,0.7458920627832413,0.7791244626045227,0.44587260484695435,0.3354873498496802,0.043478260869565216,0.0,0.0,0.0,1.5416666666666667,1.0,0.6486590795218945,0.7066265940666199
rrq_raw_heterogeneous_bf16_scales,3.0,difficult_4_20_39,92,15,0.8613906684129135,0.7890761256217956,0.818818137049675,0.8728678822517395,0.9082580804824829,0.9294584155082702,0.25590738058090223,0.19599450557776119,0.8695652173913043,0.30434782608695654,0.043478260869565216,0.0,2.3333333333333335,1.0,0.8393388986587524,0.8917637266218662
rrq_raw_heterogeneous_bf16_scales,4.0,difficult_4_20_39,92,15,0.9560017754202303,0.932495629787445,0.9485747665166855,0.9586779773235321,0.966611459851265,0.9759288907051087,0.07251213490962982,0.1215256059785252,1.0,1.0,0.717391304347826,0.0,3.9166666666666665,1.0,0.9537452921271324,0.9608802795410156
rrq_raw_heterogeneous_fp32_scales_upper,0.75,difficult_4_20_39,92,15,6.4787657364555025e-09,0.0,0.0,0.0,0.0,5.36441802978519e-08,1.0,0.5406104196672854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rrq_raw_heterogeneous_fp32_scales_upper,1.0,difficult_4_20_39,92,15,0.43167281993057416,0.32435182929039,0.3582431972026825,0.4315902888774872,0.49465931951999664,0.5496655762195587,0.6918354362249375,0.44398283116195514,0.0,0.0,0.0,0.0,0.875,1.0,0.4152609705924988,0.45545005798339844
