method,budget_bpw,layer,gate_physical_bpw,up_physical_bpw,down_physical_bpw,physical_bpw,recovery
rrq_raw_heterogeneous_bf16_scales,4.0,39,2.375,4.625,4.75,3.9166666666666665,0.9550426006317139
rrq_raw_heterogeneous_fp32_scales_upper,0.75,0,0.0,0.0,0.0,0.0,0.0
rrq_raw_heterogeneous_fp32_scales_upper,0.75,4,0.0,0.0,0.0,0.0,0.0
rrq_raw_heterogeneous_fp32_scales_upper,0.75,20,0.0,0.0,0.0,0.0,0.0
rrq_raw_heterogeneous_fp32_scales_upper,0.75,39,0.0,0.0,0.0,0.0,0.0
rrq_raw_heterogeneous_fp32_scales_upper,1.0,0,0.0,0.0,2.625,0.875,0.40667814016342163
rrq_raw_heterogeneous_fp32_scales_upper,1.0,4,0.0,0.0,0.0,0.875,0.4096038043498993
rrq_raw_heterogeneous_fp32_scales_upper,1.0,20,0.0,1.25,0.0,0.8541666666666667,0.39834198355674744
rrq_raw_heterogeneous_fp32_scales_upper,1.0,39,0.0,0.0,2.625,0.875,0.455973356962204
rrq_raw_heterogeneous_fp32_scales_upper,1.25,0,0.0,0.0,2.625,0.875,0.40667814016342163
rrq_raw_heterogeneous_fp32_scales_upper,1.25,4,0.0,0.0,0.0,0.875,0.4096038043498993
rrq_raw_heterogeneous_fp32_scales_upper,1.25,20,0.0,1.25,0.0,0.8541666666666667,0.39834198355674744
rrq_raw_heterogeneous_fp32_scales_upper,1.25,39,0.0,0.0,2.625,0.875,0.455973356962204
rrq_raw_heterogeneous_fp32_scales_upper,1.5,0,0.0,0.0,2.625,0.875,0.40667814016342163
rrq_raw_heterogeneous_fp32_scales_upper,1.5,4,0.0,0.0,0.0,0.875,0.4096038043498993
rrq_raw_heterogeneous_fp32_scales_upper,1.5,20,0.0,1.25,0.0,0.8541666666666667,0.39834198355674744
rrq_raw_heterogeneous_fp32_scales_upper,1.5,39,0.0,0.0,2.625,0.875,0.455973356962204
rrq_raw_heterogeneous_fp32_scales_upper,2.0,0,0.0,0.0,2.625,1.75,0.681678056716919
rrq_raw_heterogeneous_fp32_scales_upper,2.0,4,0.0,2.5,2.625,1.7083333333333333,0.6720523536205292
rrq_raw_heterogeneous_fp32_scales_upper,2.0,20,2.625,2.5,2.625,1.7083333333333333,0.6925892531871796
rrq_raw_heterogeneous_fp32_scales_upper,2.0,39,2.625,0.0,2.625,1.75,0.6788797378540039
rrq_raw_heterogeneous_fp32_scales_upper,2.25,0,0.0,0.0,2.625,1.75,0.681678056716919
rrq_raw_heterogeneous_fp32_scales_upper,2.25,4,0.0,2.5,2.625,1.7083333333333333,0.6720523536205292
rrq_raw_heterogeneous_fp32_scales_upper,2.25,20,2.625,2.5,2.625,1.7083333333333333,0.6925892531871796
rrq_raw_heterogeneous_fp32_scales_upper,2.25,39,2.625,0.0,2.625,1.75,0.6788797378540039
rrq_raw_heterogeneous_fp32_scales_upper,3.0,0,2.625,2.5,2.625,2.5833333333333335,0.8539559841156006
rrq_raw_heterogeneous_fp32_scales_upper,3.0,4,2.625,2.5,2.625,2.5833333333333335,0.8735823929309845
rrq_raw_heterogeneous_fp32_scales_upper,3.0,20,2.625,2.5,2.625,2.5833333333333335,0.9032863974571228
rrq_raw_heterogeneous_fp32_scales_upper,3.0,39,2.625,2.5,2.625,2.5833333333333335,0.8459352254867554
rrq_raw_heterogeneous_fp32_scales_upper,4.0,0,2.625,2.5,5.25,3.4583333333333335,0.935052752494812
rrq_raw_heterogeneous_fp32_scales_upper,4.0,4,2.625,2.5,2.625,3.4583333333333335,0.931726485490799
rrq_raw_heterogeneous_fp32_scales_upper,4.0,20,2.625,2.5,2.625,3.4583333333333335,0.9397206008434296
rrq_raw_heterogeneous_fp32_scales_upper,4.0,39,2.625,2.5,5.25,3.4583333333333335,0.9157009124755859
rrq_raw_heterogeneous_weight_only_down,0.75,0,0.0,2.25,0.0,0.75,0.20902365446090698
rrq_raw_heterogeneous_weight_only_down,0.75,4,0.0,2.25,0.0,0.75,0.2956556975841522
rrq_raw_heterogeneous_weight_only_down,0.75,20,0.0,2.25,0.0,0.75,0.34248507022857666
rrq_raw_heterogeneous_weight_only_down,0.75,39,0.0,2.25,0.0,0.75,0.22020459175109863
rrq_raw_heterogeneous_weight_only_down,1.0,0,0.0,0.0,2.375,0.7916666666666666,0.42187100648880005
rrq_raw_heterogeneous_weight_only_down,1.0,4,0.0,0.0,0.0,0.7916666666666666,0.40333208441734314
rrq_raw_heterogeneous_weight_only_down,1.0,20,0.0,1.125,0.0,0.7708333333333333,0.39831846952438354
rrq_raw_heterogeneous_weight_only_down,1.0,39,0.0,0.0,2.375,0.7916666666666666,0.4408099055290222
rrq_raw_heterogeneous_weight_only_down,1.25,0,0.0,0.0,2.375,0.7916666666666666,0.42187100648880005
rrq_raw_heterogeneous_weight_only_down,1.25,4,0.0,0.0,0.0,0.7916666666666666,0.40333208441734314
