method,layer,expert_id,budget_bpw,invocations,median_recovery
A0_current_Q2_whole_projection,4,190,3.0,4,0.8477326665080496
A0_current_Q2_whole_projection,4,190,4.0,4,0.8926075221446115
A0_current_Q2_whole_projection,4,193,0.0,4,0.0
A0_current_Q2_whole_projection,4,193,0.5,4,0.5531646509079086
A0_current_Q2_whole_projection,4,193,0.75,4,0.6492511017107612
A0_current_Q2_whole_projection,4,193,1.0,4,0.6881156550372894
A0_current_Q2_whole_projection,4,193,1.5,4,0.7456151924862244
A0_current_Q2_whole_projection,4,193,2.0,4,0.8052012699001047
A0_current_Q2_whole_projection,4,193,2.5,4,0.8360304105143426
A0_current_Q2_whole_projection,4,193,3.0,4,0.8652934973071048
A0_current_Q2_whole_projection,4,193,4.0,4,0.9183424338642123
A0_current_Q2_whole_projection,20,30,0.0,1,0.0
A0_current_Q2_whole_projection,20,30,0.5,1,0.3290367333527332
A0_current_Q2_whole_projection,20,30,0.75,1,0.3290367333527332
A0_current_Q2_whole_projection,20,30,1.0,1,0.41284754622406394
A0_current_Q2_whole_projection,20,30,1.5,1,0.5476497913085123
A0_current_Q2_whole_projection,20,30,2.0,1,0.641503714246751
A0_current_Q2_whole_projection,20,30,2.5,1,0.7066501642722893
A0_current_Q2_whole_projection,20,30,3.0,1,0.7450226605918671
A0_current_Q2_whole_projection,20,30,4.0,1,0.7673413391690352
A0_current_Q2_whole_projection,20,44,0.0,3,0.0
A0_current_Q2_whole_projection,20,44,0.5,3,0.43510130649120826
A0_current_Q2_whole_projection,20,44,0.75,3,0.44866912419517835
A0_current_Q2_whole_projection,20,44,1.0,3,0.5020380135794609
A0_current_Q2_whole_projection,20,44,1.5,3,0.6437600295759403
A0_current_Q2_whole_projection,20,44,2.0,3,0.7055852452072994
A0_current_Q2_whole_projection,20,44,2.5,3,0.7559196753826329
A0_current_Q2_whole_projection,20,44,3.0,3,0.7771231723843633
A0_current_Q2_whole_projection,20,44,4.0,3,0.823022224802043
A0_current_Q2_whole_projection,20,45,0.0,1,0.0
A0_current_Q2_whole_projection,20,45,0.5,1,0.3276963323946869
A0_current_Q2_whole_projection,20,45,0.75,1,0.4297048358999519
A0_current_Q2_whole_projection,20,45,1.0,1,0.45628053331117324
A0_current_Q2_whole_projection,20,45,1.5,1,0.539088108651721
A0_current_Q2_whole_projection,20,45,2.0,1,0.5925457508719061
A0_current_Q2_whole_projection,20,45,2.5,1,0.667037564585471
A0_current_Q2_whole_projection,20,45,3.0,1,0.7406576257968425
A0_current_Q2_whole_projection,20,45,4.0,1,0.780902836382572
A0_current_Q2_whole_projection,20,72,0.0,4,0.0
A0_current_Q2_whole_projection,20,72,0.5,4,0.4747289210008018
A0_current_Q2_whole_projection,20,72,0.75,4,0.5633180152228356
A0_current_Q2_whole_projection,20,72,1.0,4,0.6316156726191775
A0_current_Q2_whole_projection,20,72,1.5,4,0.7054446132614571
A0_current_Q2_whole_projection,20,72,2.0,4,0.7308219512414875
A0_current_Q2_whole_projection,20,72,2.5,4,0.7668087440013209
A0_current_Q2_whole_projection,20,72,3.0,4,0.7858634124195354
A0_current_Q2_whole_projection,20,72,4.0,4,0.8089124345805341
A0_current_Q2_whole_projection,20,142,0.0,3,0.0
A0_current_Q2_whole_projection,20,142,0.5,3,0.5547288428048135
A0_current_Q2_whole_projection,20,142,0.75,3,0.5917536476901792
A0_current_Q2_whole_projection,20,142,1.0,3,0.6112072725034547
A0_current_Q2_whole_projection,20,142,1.5,3,0.6920601965312009
A0_current_Q2_whole_projection,20,142,2.0,3,0.7171570897676189
A0_current_Q2_whole_projection,20,142,2.5,3,0.7600253672585388
A0_current_Q2_whole_projection,20,142,3.0,3,0.8084152102135576
A0_current_Q2_whole_projection,20,142,4.0,3,0.8287914172662992
A0_current_Q2_whole_projection,20,148,0.0,4,0.0
A0_current_Q2_whole_projection,20,148,0.5,4,0.5319878682789979
A0_current_Q2_whole_projection,20,148,0.75,4,0.5799668514825485
A0_current_Q2_whole_projection,20,148,1.0,4,0.6151010441476478
A0_current_Q2_whole_projection,20,148,1.5,4,0.6594423215136793
A0_current_Q2_whole_projection,20,148,2.0,4,0.708033095617938
A0_current_Q2_whole_projection,20,148,2.5,4,0.7495631152987745
A0_current_Q2_whole_projection,20,148,3.0,4,0.7756697736950926
A0_current_Q2_whole_projection,20,148,4.0,4,0.812798776873686
A0_current_Q2_whole_projection,20,232,0.0,4,0.0
A0_current_Q2_whole_projection,20,232,0.5,4,0.4443318977725774
A0_current_Q2_whole_projection,20,232,0.75,4,0.5297318103487691
A0_current_Q2_whole_projection,20,232,1.0,4,0.5728039176100519
A0_current_Q2_whole_projection,20,232,1.5,4,0.6598322273652139
A0_current_Q2_whole_projection,20,232,2.0,4,0.7231870221197619
A0_current_Q2_whole_projection,20,232,2.5,4,0.7818113949869174
A0_current_Q2_whole_projection,20,232,3.0,4,0.8259292552282458
A0_current_Q2_whole_projection,20,232,4.0,4,0.8737634133257561
A0_current_Q2_whole_projection,20,240,0.0,4,0.0
A0_current_Q2_whole_projection,20,240,0.5,4,0.42492117044824
A0_current_Q2_whole_projection,20,240,0.75,4,0.5017286046078037
A0_current_Q2_whole_projection,20,240,1.0,4,0.5383797271478266
A0_current_Q2_whole_projection,20,240,1.5,4,0.5861444212347621
A0_current_Q2_whole_projection,20,240,2.0,4,0.6618824607614254
A0_current_Q2_whole_projection,20,240,2.5,4,0.6946434572505236
A0_current_Q2_whole_projection,20,240,3.0,4,0.7284457526014361
A0_current_Q2_whole_projection,20,240,4.0,4,0.7635382531330146
A0_current_Q2_whole_projection,39,22,0.0,4,0.0
A0_current_Q2_whole_projection,39,22,0.5,4,0.5716481958132235
A0_current_Q2_whole_projection,39,22,0.75,4,0.6229348867546588
A0_current_Q2_whole_projection,39,22,1.0,4,0.6766100700109465
A0_current_Q2_whole_projection,39,22,1.5,4,0.7114658161347469
A0_current_Q2_whole_projection,39,22,2.0,4,0.7612927090244788
A0_current_Q2_whole_projection,39,22,2.5,4,0.8054622719229596
A0_current_Q2_whole_projection,39,22,3.0,4,0.819515846265692
A0_current_Q2_whole_projection,39,22,4.0,4,0.8310752741369153
A0_current_Q2_whole_projection,39,37,0.0,4,0.0
A0_current_Q2_whole_projection,39,37,0.5,4,0.5693785780398023
A0_current_Q2_whole_projection,39,37,0.75,4,0.6386896321358458
A0_current_Q2_whole_projection,39,37,1.0,4,0.6780379632370941
A0_current_Q2_whole_projection,39,37,1.5,4,0.7376694563705386
A0_current_Q2_whole_projection,39,37,2.0,4,0.7850022101103566
A0_current_Q2_whole_projection,39,37,2.5,4,0.8106935832356555
A0_current_Q2_whole_projection,39,37,3.0,4,0.8343779244621949
A0_current_Q2_whole_projection,39,37,4.0,4,0.8590691081602911
A0_current_Q2_whole_projection,39,43,0.0,2,0.0
A0_current_Q2_whole_projection,39,43,0.5,2,0.5026607525023248
A0_current_Q2_whole_projection,39,43,0.75,2,0.5832485802915541
A0_current_Q2_whole_projection,39,43,1.0,2,0.6073664675254579
A0_current_Q2_whole_projection,39,43,1.5,2,0.6651608066876803
A0_current_Q2_whole_projection,39,43,2.0,2,0.684173068640596
