method,requested_rank,fit,coefficient_bits,down_physical_bpw,invocations,mean_recovery,median_recovery,p10_recovery,p90_recovery
B3_action_cluster_4,32,activation_ls,16,0.28125,110,0.38481190638108687,0.3598133623600006,0.024947476387023926,0.8517677664756775
B3_action_cluster_4,32,projection,4,0.03125,6,0.0993940035502116,0.029779821634292603,0.021856248378753662,0.2465459406375885
B3_action_cluster_4,32,projection,4,0.0625,17,0.23292800608803244,0.11849486827850342,-0.036387395858764646,0.6493201017379762
B3_action_cluster_4,32,projection,4,0.09375,110,0.2993352174758911,0.22083398699760437,-0.03701534271240234,0.8212752342224122
B3_action_cluster_4,32,projection,8,0.03125,6,0.09709510207176208,0.030215144157409668,0.014562219381332397,0.2465079426765442
B3_action_cluster_4,32,projection,8,0.09375,13,0.19965764192434457,0.1119571328163147,-0.03008017539978027,0.6995354771614076
B3_action_cluster_4,32,projection,8,0.125,4,0.3397296667098999,0.33668822050094604,0.1158089280128479,0.5660835623741151
B3_action_cluster_4,32,projection,8,0.15625,110,0.3031883418560028,0.22738546133041382,-0.036042988300323486,0.82403005361557
B3_action_cluster_4,32,projection,16,0.03125,2,0.2464589774608612,0.2464589774608612,0.1899706780910492,0.30294727683067324
B3_action_cluster_4,32,projection,16,0.0625,4,0.022655323147773743,0.025380760431289673,0.011772972345352174,0.03135732412338257
B3_action_cluster_4,32,projection,16,0.15625,5,0.08840355873107911,0.11178076267242432,0.021201920509338383,0.13212811946868896
B3_action_cluster_4,32,projection,16,0.1875,8,0.2689228355884552,0.1537005603313446,-0.09543976783752439,0.7666172325611115
B3_action_cluster_4,32,projection,16,0.21875,4,0.3399902731180191,0.33651086688041687,0.11632718443870545,0.5664368867874146
B3_action_cluster_4,32,projection,16,0.28125,110,0.3030910611152649,0.22716590762138367,-0.03571916818618774,0.8243653893470764
B3_action_cluster_4,64,activation_ls,4,0.03125,6,0.08719358841578166,0.029004693031311035,-0.019259870052337646,0.2518359422683716
B3_action_cluster_4,64,activation_ls,4,0.0625,17,0.22679956169689403,0.11503595113754272,-0.009823381900787347,0.6083912372589112
B3_action_cluster_4,64,activation_ls,4,0.15625,110,0.43652359463951806,0.43869438767433167,0.03801473379135132,0.920984023809433
B3_action_cluster_4,64,activation_ls,8,0.03125,6,0.08893190821011861,0.021284401416778564,-0.007020115852355957,0.2525314390659332
B3_action_cluster_4,64,activation_ls,8,0.09375,13,0.20231928733678964,0.10286450386047363,-0.04342215061187743,0.6866538286209108
B3_action_cluster_4,64,activation_ls,8,0.125,4,0.3226717412471771,0.31601253151893616,0.12292268872261047,0.5277481615543366
B3_action_cluster_4,64,activation_ls,8,0.28125,110,0.43770978830077434,0.43412622809410095,0.028315365314483646,0.9212310731410981
B3_action_cluster_4,64,activation_ls,16,0.03125,2,0.25264275074005127,0.25264275074005127,0.19073288440704345,0.3145526170730591
B3_action_cluster_4,64,activation_ls,16,0.0625,4,0.007070466876029968,0.012591451406478882,-0.013613551855087279,0.023337697982788088
B3_action_cluster_4,64,activation_ls,16,0.15625,5,0.07657389640808106,0.10269761085510254,0.01618492603302002,0.11835982799530029
B3_action_cluster_4,64,activation_ls,16,0.1875,8,0.2802990674972534,0.15978282690048218,-0.097573983669281,0.7671315729618072
B3_action_cluster_4,64,activation_ls,16,0.21875,4,0.3226226717233658,0.31592223048210144,0.12374011874198913,0.5268655776977539
B3_action_cluster_4,64,activation_ls,16,0.53125,110,0.43760508027943695,0.4350070059299469,0.027556580305099488,0.9211089313030244
B3_action_cluster_4,64,projection,4,0.03125,6,0.0993940035502116,0.029779821634292603,0.021856248378753662,0.2465459406375885
B3_action_cluster_4,64,projection,4,0.0625,17,0.23292800608803244,0.11849486827850342,-0.036387395858764646,0.6493201017379762
B3_action_cluster_4,64,projection,4,0.15625,110,0.38634032065218143,0.3139275312423706,-0.02063355445861816,0.8955309748649597
B3_action_cluster_4,64,projection,8,0.03125,6,0.09709510207176208,0.030215144157409668,0.014562219381332397,0.2465079426765442
B3_action_cluster_4,64,projection,8,0.09375,13,0.19965764192434457,0.1119571328163147,-0.03008017539978027,0.6995354771614076
B3_action_cluster_4,64,projection,8,0.125,4,0.3397296667098999,0.33668822050094604,0.1158089280128479,0.5660835623741151
B3_action_cluster_4,64,projection,8,0.28125,110,0.3899437416683544,0.3134515881538391,-0.010158789157867425,0.894297343492508
B3_action_cluster_4,64,projection,16,0.03125,2,0.2464589774608612,0.2464589774608612,0.1899706780910492,0.30294727683067324
B3_action_cluster_4,64,projection,16,0.0625,4,0.022655323147773743,0.025380760431289673,0.011772972345352174,0.03135732412338257
B3_action_cluster_4,64,projection,16,0.15625,5,0.08840355873107911,0.11178076267242432,0.021201920509338383,0.13212811946868896
B3_action_cluster_4,64,projection,16,0.1875,8,0.2689228355884552,0.1537005603313446,-0.09543976783752439,0.7666172325611115
B3_action_cluster_4,64,projection,16,0.21875,4,0.3399902731180191,0.33651086688041687,0.11632718443870545,0.5664368867874146
B3_action_cluster_4,64,projection,16,0.53125,110,0.38991914554075763,0.31415697932243347,-0.009445810317993157,0.8942541480064393
B3_action_cluster_4,128,activation_ls,4,0.03125,6,0.08719358841578166,0.029004693031311035,-0.019259870052337646,0.2518359422683716
B3_action_cluster_4,128,activation_ls,4,0.0625,17,0.22679956169689403,0.11503595113754272,-0.009823381900787347,0.6083912372589112
B3_action_cluster_4,128,activation_ls,4,0.28125,110,0.4733163958246058,0.4725252389907837,0.04058140516281128,0.9599852919578552
B3_action_cluster_4,128,activation_ls,8,0.03125,6,0.08893190821011861,0.021284401416778564,-0.007020115852355957,0.2525314390659332
B3_action_cluster_4,128,activation_ls,8,0.09375,13,0.20231928733678964,0.10286450386047363,-0.04342215061187743,0.6866538286209108
B3_action_cluster_4,128,activation_ls,8,0.125,4,0.3226717412471771,0.31601253151893616,0.12292268872261047,0.5277481615543366
B3_action_cluster_4,128,activation_ls,8,0.5,10,0.7135037422180176,0.8188124895095825,0.3828899025917053,0.9810545206069946
B3_action_cluster_4,128,activation_ls,8,0.53125,100,0.45285475194454194,0.44114476442337036,0.03844158053398133,0.9340699493885042
