source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,2.0,85,1.0,1.0,1.0,1536.0,512.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.25,85,0.7145635868568573,0.844153458179111,0.9476392322543818,192.0,116.0,1.103448275862069,581.6472163423896,20971520.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.5,85,0.8047110324859247,0.8964498106681634,0.9656969985369015,384.0,234.0,1.0911680911680912,581.6472163423896,20971520.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.75,85,0.850383322623523,0.9188015790757048,0.970354462811175,576.0,355.0,1.0816901408450703,581.6472163423896,20971520.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.0,85,0.8685190044018887,0.9310855789860817,0.971928914170011,768.0,480.0,1.0666666666666667,581.6472163423896,20971520.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.25,85,0.8778452822970296,0.9358504823578069,0.9722944819285025,960.0,612.0,1.0446623093681917,581.6472163423896,20971520.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.5,85,0.8785713804158481,0.9425309947534416,0.9748264637587599,1152.0,750.0,1.024,581.6472163423896,20971520.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.0625,4,0.20656642502615355,0.4982116247973905,0.7561228793826695,48.0,16.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.125,4,0.2301661871711502,0.4749054580702,0.7807896143933095,96.0,32.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.25,4,0.33486874602223626,0.6859809595237066,0.8888121080976156,192.0,64.0,1.0,0.09200489148497581,5124.0
