budget_regime,factor_config_id,solver,physical_budget_pages,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,field_build_runtime_ms_median,field_build_runtime_ms_p90,coordinate_sweeps_median,coordinate_sweeps_p90,local_evaluated_passes_median,local_evaluated_passes_p90,coordinate_accepted_moves_median,local_accepted_bundles_median
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_inherited_four_state_warm_start,768,3428.536808490753,4222.6390317082405,4370.737576857209,0.48937462270259857,0.9497780352830887,21.0,22.0,12.0,12.0,1607.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,384,3081.7186884582043,3197.9394908994436,3317.1585500240326,0.48937462270259857,0.9497780352830887,13.0,16.0,12.0,12.0,667.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,576,3584.7803961485624,3757.7400766313076,3871.963234990835,0.48937462270259857,0.9497780352830887,13.0,16.0,12.0,12.0,991.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,768,3483.0044370144606,4117.421705275774,4273.921246081591,0.48937462270259857,0.9497780352830887,13.0,14.0,12.0,12.0,1294.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,four_state_dp_two_seed_coordinate_plus_local,384,1690.4344331473112,1833.1430833786726,1884.2654187232256,0.48937462270259857,0.9497780352830887,11.0,13.0,12.0,12.0,464.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,four_state_dp_two_seed_coordinate_plus_local,576,2014.0979874879122,2161.4375934004784,2232.4646554887295,0.48937462270259857,0.9497780352830887,11.0,13.0,12.0,12.0,671.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,four_state_dp_two_seed_coordinate_plus_local,768,2031.514494493604,2365.1790488511324,2465.906221047044,0.48937462270259857,0.9497780352830887,11.0,13.0,12.0,12.0,877.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,four_state_pr11_reference,384,1007.3564764112234,1046.5175937861204,1101.4322824776173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,four_state_pr11_reference,576,1030.8007664978504,1067.947831004858,1151.743571087718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int8_per_row,four_state_pr11_reference,768,846.471473947168,1080.3751833736897,1153.8137320429087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_all_in_one_bpw,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,729,3641.280542314053,4148.1721848249435,4238.905875757337,0.5978159606456757,1.6435477882623675,13.0,15.0,12.0,12.0,1228.0,12.0
strict_all_in_one_bpw,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,729,1871.4935682713988,2361.327575519681,2427.473685517907,0.5978159606456757,1.6435477882623675,11.0,12.0,12.0,12.0,848.0,12.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,697,3678.1565759330992,4089.982822537422,4159.937516972423,0.5478747189044952,1.0800011456012728,12.0,16.0,12.0,12.0,1185.0,12.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,697,2104.8006571829324,2324.874095618725,2387.9353810101748,0.5478747189044952,1.0800011456012728,11.0,13.0,12.0,12.0,809.0,12.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,749,3580.801320075989,4213.961744681001,4303.703874349594,0.5180835723876953,1.0089490562677386,12.0,16.0,12.0,12.0,1288.0,12.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_dp_two_seed_coordinate_plus_local,749,2003.4517824649813,2397.8294655680656,2455.890403315425,0.5180835723876953,1.0089490562677386,11.0,13.0,12.0,12.0,884.0,12.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,741,3662.1631339192395,4164.216298609972,4273.9171501249075,0.48937462270259857,0.9497780352830887,12.0,15.0,12.0,12.0,1256.0,12.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int8_per_row,four_state_dp_two_seed_coordinate_plus_local,741,1979.802354425192,2382.6455269008875,2429.171847552061,0.48937462270259857,0.9497780352830887,11.0,13.0,12.0,12.0,870.0,12.0
