budget_regime,factor_config_id,factor_family,solver,physical_budget_pages,physical_budget_bpw,budget_total_bpw,rows,recovery_p10,recovery_median,recovery_p90,set_gain_retention_p10,set_gain_retention_median,recovery_gain_p10,recovery_gain_median,gain_vs_pr11_p10,gain_vs_pr11_median,seed_optimizer_gain_p10,seed_optimizer_gain_median,metadata_bytes,metadata_bpw,selector_compute_macs_max,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,field_build_runtime_ms_median,field_build_runtime_ms_p90,coordinate_sweeps_median,coordinate_sweeps_p90,local_evaluated_passes_median,local_evaluated_passes_p90,coordinate_accepted_moves_median,local_accepted_bundles_median,split_only_units_median
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,eight_state_inherited_four_state_warm_start,768,1.0,1.0911763509114583,69,0.9910769378789624,0.9949685875981678,0.9999814332258163,1.0000990486939265,1.0161726803468292,4.9336660126986274e-05,0.00811863732922502,0.00016565603568157187,0.013707290347151568,0.0,0.005516310086560061,35852.0,0.09117635091145833,2294784.0,3444.7363570332527,4327.713202685118,4447.510707378387,0.5478747189044952,1.0800011456012728,21.0,22.200000000000003,12.0,12.0,1614.0,12.0,240.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,eight_state_two_seed_coordinate_plus_local,384,0.5,0.5911763509114584,69,0.9268767108505638,0.9593663471505266,0.9980120728450312,1.00380867177389,1.0306523266560452,0.0023713016335444427,0.024157629796403124,0.003885602360819207,0.034854084056725854,0.0008948922157639539,0.012697301349466672,35852.0,0.09117635091145833,1329152.0,3097.5863862782717,3207.135869190097,3379.404254630208,0.5478747189044952,1.0800011456012728,13.0,16.0,12.0,12.0,667.0,12.0,162.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,eight_state_two_seed_coordinate_plus_local,576,0.75,0.8411763509114584,69,0.9711277258186752,0.9851824086192843,0.999740423834258,1.0004859552121548,1.0235829418257518,0.00044237985498321065,0.016481792322112332,0.0005967897967638973,0.02244830130759945,0.00015440994178068663,0.007305671443748274,35852.0,0.09117635091145833,1329152.0,3519.3771533668046,3797.476200386882,3879.453933984041,0.5478747189044952,1.0800011456012728,13.0,16.0,12.0,12.0,999.0,12.0,215.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,eight_state_two_seed_coordinate_plus_local,768,1.0,1.0911763509114583,69,0.9910769378789624,0.9949685875981678,0.9999814332258163,1.0000990486939265,1.0161726803468292,4.9336660126986274e-05,0.00811863732922502,0.00016565603568157187,0.013707290347151568,0.0,0.005516310086560061,35852.0,0.09117635091145833,1329152.0,3403.218702226877,4229.706583544612,4324.185547605157,0.5478747189044952,1.0800011456012728,13.0,14.200000000000003,12.0,12.0,1314.0,12.0,240.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,four_state_dp_two_seed_coordinate_plus_local,384,0.5,0.5911763509114584,69,0.8834906975482871,0.9358593388955151,0.9957349056279565,0.9983967283142765,1.0055103914537773,0.0,0.0,0.0008948922157639539,0.012697301349466672,0.0008948922157639539,0.012697301349466672,35852.0,0.09117635091145833,778240.0,1731.8467251956463,1841.195110231638,1928.5152941942215,0.5478747189044952,1.0800011456012728,11.0,14.0,12.0,12.0,466.0,12.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,four_state_dp_two_seed_coordinate_plus_local,576,0.75,0.8411763509114584,69,0.9393672298912618,0.9686412903825279,0.9992915021987454,1.0000861805783636,1.0080183921221113,0.0,0.0,0.00015440994178068663,0.007305671443748274,0.00015440994178068663,0.007305671443748274,35852.0,0.09117635091145833,778240.0,2003.8018733263016,2152.2019281983376,2194.608324021101,0.5478747189044952,1.0800011456012728,11.0,13.0,12.0,12.0,679.0,12.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,four_state_dp_two_seed_coordinate_plus_local,768,1.0,1.0911763509114583,69,0.9740462248042172,0.9851293366409467,0.9999320965656894,1.0,1.0063999965849737,0.0,0.0,0.0,0.005516310086560061,0.0,0.005516310086560061,35852.0,0.09117635091145833,778240.0,1793.4279587119818,2408.994125202298,2467.4974180758,0.5478747189044952,1.0800011456012728,11.0,13.0,12.0,12.0,893.0,12.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,four_state_pr11_reference,384,0.5,0.5911763509114584,69,0.8577730196113705,0.9246814448567421,0.9947229855500551,0.9839211505655654,0.9959300146539134,0.0,0.0,0.0,0.0,0.0,0.0,35852.0,0.09117635091145833,834560.0,1000.0060342252254,1031.0048200190067,1098.2082590460777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,four_state_pr11_reference,576,0.75,0.8411763509114584,69,0.9238024453515892,0.9608954251287543,0.9990610293793648,0.9955405242637381,0.999863412284102,0.0,0.0,0.0,0.0,0.0,0.0,35852.0,0.09117635091145833,834560.0,1023.6004497855902,1059.4529118388891,1103.4125532954931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,four_state_pr11_reference,768,1.0,1.0911763509114583,69,0.96021804141689,0.9803794194545303,0.9998157771901348,0.9993163008655342,1.0001084831515417,0.0,0.0,0.0,0.0,0.0,0.0,35852.0,0.09117635091145833,834560.0,854.6523213386541,1083.127623423934,1153.4136574715376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
