capture_source,request_id,position,layer,expert_id,projection,backward_elimination,diagonal,exact_marginal_fixed_greedy,diagonal_over_exact
cross_reference,tfprod-req000110-5e571aa8,256,39,155,gate,3518.0,1700.0,600.0,2.8333333333333335
cross_reference,tfprod-req000110-5e571aa8,256,39,155,up,3462.0,1499.0,476.0,3.149159663865546
cross_reference,tfprod-req000110-5e571aa8,272,39,235,gate,3519.0,1618.0,565.0,2.863716814159292
cross_reference,tfprod-req000110-5e571aa8,272,39,235,up,3553.0,1632.0,460.0,3.5478260869565217
cross_reference,tfprod-req000110-5e571aa8,288,4,134,gate,3169.0,1476.0,541.0,2.7282809611829943
cross_reference,tfprod-req000110-5e571aa8,288,4,134,up,3228.0,1501.0,465.0,3.227956989247312
cross_reference,tfprod-req000110-5e571aa8,336,0,238,gate,2944.0,1263.0,457.0,2.763676148796499
cross_reference,tfprod-req000110-5e571aa8,336,0,238,up,2972.0,1331.0,365.0,3.6465753424657534
cross_reference,tfprod-req000229-8f75b529,144,4,134,gate,3038.0,1592.0,589.0,2.702886247877759
cross_reference,tfprod-req000229-8f75b529,144,4,134,up,3165.0,1470.0,473.0,3.1078224101479917
cross_reference,tfprod-req000229-8f75b529,160,0,238,gate,2386.0,776.0,322.0,2.409937888198758
cross_reference,tfprod-req000229-8f75b529,160,0,238,up,2386.0,817.0,273.0,2.9926739926739927
cross_reference,tfprod-req000229-8f75b529,176,4,134,gate,3021.0,1497.0,580.0,2.581034482758621
cross_reference,tfprod-req000229-8f75b529,176,4,134,up,2789.0,1477.0,439.0,3.364464692482916
cross_reference,tfprod-req000229-8f75b529,176,4,156,gate,2997.0,1603.0,567.0,2.8271604938271606
cross_reference,tfprod-req000229-8f75b529,176,4,156,up,3025.0,1502.0,432.0,3.4768518518518516
cross_reference,tfprod-req000229-8f75b529,208,0,238,gate,2242.0,854.0,351.0,2.433048433048433
cross_reference,tfprod-req000229-8f75b529,208,0,238,up,1695.0,819.0,311.0,2.6334405144694535
cross_reference,tfprod-req000229-8f75b529,240,4,134,gate,2798.0,1405.0,590.0,2.3813559322033897
cross_reference,tfprod-req000229-8f75b529,240,4,134,up,2781.0,1181.0,436.0,2.708715596330275
cross_reference,tfprod-req000229-8f75b529,272,4,134,gate,3111.0,1598.0,733.0,2.180081855388813
cross_reference,tfprod-req000229-8f75b529,272,4,134,up,2959.0,1581.0,480.0,3.29375
cross_reference,tfprod-req000229-8f75b529,288,39,235,gate,3528.0,1615.0,555.0,2.90990990990991
cross_reference,tfprod-req000229-8f75b529,288,39,235,up,3486.0,1599.0,444.0,3.6013513513513513
cross_reference,tfprod-req000229-8f75b529,320,39,235,gate,3495.0,1517.0,584.0,2.5976027397260273
cross_reference,tfprod-req000229-8f75b529,320,39,235,up,3483.0,1619.0,478.0,3.3870292887029287
cross_reference,tfprod-req000229-8f75b529,352,0,71,gate,2830.0,1424.0,341.0,4.1759530791788855
cross_reference,tfprod-req000229-8f75b529,352,0,71,up,3097.0,1461.0,324.0,4.5092592592592595
cross_reference,tfprod-req000232-1bbbc2b3,144,0,238,gate,2867.0,1114.0,404.0,2.757425742574257
cross_reference,tfprod-req000232-1bbbc2b3,144,0,238,up,2394.0,991.0,333.0,2.975975975975976
cross_reference,tfprod-req000232-1bbbc2b3,176,39,235,gate,3470.0,1625.0,578.0,2.811418685121107
cross_reference,tfprod-req000232-1bbbc2b3,176,39,235,up,3491.0,1665.0,469.0,3.550106609808102
cross_reference,tfprod-req000232-1bbbc2b3,192,0,238,gate,2191.0,916.0,350.0,2.617142857142857
cross_reference,tfprod-req000232-1bbbc2b3,192,0,238,up,2115.0,811.0,278.0,2.91726618705036
cross_reference,tfprod-req000232-1bbbc2b3,192,39,235,gate,3486.0,1870.0,580.0,3.2241379310344827
cross_reference,tfprod-req000232-1bbbc2b3,192,39,235,up,3493.0,1731.0,497.0,3.482897384305835
cross_reference,tfprod-req000232-1bbbc2b3,208,39,235,gate,3494.0,1586.0,539.0,2.942486085343228
cross_reference,tfprod-req000232-1bbbc2b3,208,39,235,up,3540.0,1625.0,465.0,3.4946236559139785
cross_reference,tfprod-req000232-1bbbc2b3,240,20,225,gate,3365.0,1553.0,576.0,2.6961805555555554
cross_reference,tfprod-req000232-1bbbc2b3,240,20,225,up,3182.0,1557.0,503.0,3.095427435387674
cross_reference,tfprod-req000232-1bbbc2b3,272,0,238,gate,2824.0,1113.0,485.0,2.294845360824742
cross_reference,tfprod-req000232-1bbbc2b3,272,0,238,up,2366.0,991.0,379.0,2.6147757255936677
cross_reference,tfprod-req000233-c398d474,144,39,235,gate,3458.0,1607.0,489.0,3.2862985685071573
cross_reference,tfprod-req000233-c398d474,144,39,235,up,3372.0,1600.0,489.0,3.2719836400817996
cross_reference,tfprod-req000233-c398d474,160,0,238,gate,2652.0,1116.0,373.0,2.991957104557641
cross_reference,tfprod-req000233-c398d474,160,0,238,up,2602.0,1017.0,305.0,3.3344262295081966
cross_reference,tfprod-req000233-c398d474,176,39,235,gate,3399.0,1400.0,486.0,2.880658436213992
cross_reference,tfprod-req000233-c398d474,176,39,235,up,3507.0,1447.0,459.0,3.1525054466230937
cross_reference,tfprod-req000233-c398d474,208,0,207,gate,2926.0,1500.0,428.0,3.5046728971962615
cross_reference,tfprod-req000233-c398d474,208,0,207,up,3137.0,1495.0,392.0,3.813775510204082
cross_reference,tfprod-req000233-c398d474,224,20,225,gate,3447.0,1620.0,512.0,3.1640625
cross_reference,tfprod-req000233-c398d474,224,20,225,up,3355.0,1504.0,507.0,2.9664694280078896
cross_reference,tfprod-req000233-c398d474,304,39,235,gate,3451.0,1467.0,627.0,2.339712918660287
cross_reference,tfprod-req000233-c398d474,304,39,235,up,3436.0,1561.0,484.0,3.225206611570248
cross_reference,tfprod-req000233-c398d474,320,0,71,gate,3158.0,1537.0,414.0,3.71256038647343
cross_reference,tfprod-req000233-c398d474,320,0,71,up,2992.0,1508.0,336.0,4.488095238095238
cross_reference,tfprod-req000237-304f5810,384,0,238,gate,2701.0,1258.0,452.0,2.7831858407079646
cross_reference,tfprod-req000237-304f5810,384,0,238,up,2912.0,1136.0,362.0,3.138121546961326
cross_reference,tfprod-req000237-304f5810,400,4,156,gate,2999.0,1546.0,514.0,3.007782101167315
cross_reference,tfprod-req000237-304f5810,400,4,156,up,2817.0,1580.0,476.0,3.319327731092437
cross_reference,tfprod-req000237-304f5810,400,39,235,gate,3479.0,1724.0,524.0,3.2900763358778624
cross_reference,tfprod-req000237-304f5810,400,39,235,up,3479.0,1685.0,512.0,3.291015625
cross_reference,tfprod-req000237-304f5810,416,0,238,gate,2670.0,848.0,319.0,2.658307210031348
cross_reference,tfprod-req000237-304f5810,416,0,238,up,2440.0,854.0,290.0,2.9448275862068964
cross_reference,tfprod-req000237-304f5810,432,20,225,gate,3412.0,1467.0,460.0,3.1891304347826086
cross_reference,tfprod-req000237-304f5810,432,20,225,up,3233.0,1614.0,506.0,3.1897233201581026
cross_reference,tfprod-req000237-304f5810,480,39,235,gate,3460.0,1688.0,540.0,3.1259259259259258
cross_reference,tfprod-req000237-304f5810,480,39,235,up,3557.0,1536.0,491.0,3.1283095723014256
cross_reference,tfprod-req000237-304f5810,512,0,238,gate,2464.0,673.0,291.0,2.3127147766323026
cross_reference,tfprod-req000237-304f5810,512,0,238,up,2755.0,777.0,307.0,2.530944625407166
cross_reference,tfprod-req000237-304f5810,544,0,207,gate,2965.0,1441.0,398.0,3.620603015075377
cross_reference,tfprod-req000237-304f5810,544,0,207,up,3062.0,1541.0,391.0,3.9411764705882355
cross_reference,tfprod-req000237-304f5810,560,0,207,gate,3060.0,1516.0,410.0,3.6975609756097563
cross_reference,tfprod-req000237-304f5810,560,0,207,up,3049.0,1415.0,385.0,3.675324675324675
cross_reference,tfprod-req000237-304f5810,592,0,238,gate,2462.0,903.0,323.0,2.7956656346749225
cross_reference,tfprod-req000237-304f5810,592,0,238,up,2187.0,859.0,280.0,3.067857142857143
cross_reference,tfprod-req000237-304f5810,608,0,207,gate,2889.0,896.0,357.0,2.5098039215686274
cross_reference,tfprod-req000237-304f5810,608,0,207,up,2726.0,1049.0,349.0,3.005730659025788
cross_reference,tfprod-req000237-304f5810,624,0,207,gate,2790.0,898.0,359.0,2.501392757660167
cross_reference,tfprod-req000237-304f5810,624,0,207,up,3049.0,1034.0,353.0,2.9291784702549575
cross_reference,tfprod-req000343-f4cb2f45,192,39,180,gate,3544.0,1651.0,508.0,3.25
cross_reference,tfprod-req000343-f4cb2f45,192,39,180,up,3448.0,1578.0,523.0,3.017208413001912
cross_reference,tfprod-req000343-f4cb2f45,224,4,176,gate,2649.0,1582.0,535.0,2.9570093457943925
cross_reference,tfprod-req000343-f4cb2f45,224,4,176,up,2475.0,1438.0,482.0,2.983402489626556
cross_reference,tfprod-req000343-f4cb2f45,256,20,129,gate,3313.0,1752.0,532.0,3.293233082706767
cross_reference,tfprod-req000343-f4cb2f45,256,20,129,up,3376.0,1730.0,465.0,3.7204301075268815
cross_reference,tfprod-req000343-f4cb2f45,304,20,225,gate,3299.0,1465.0,498.0,2.9417670682730925
cross_reference,tfprod-req000343-f4cb2f45,304,20,225,up,3324.0,1537.0,479.0,3.208768267223382
cross_reference,tfprod-req000465-680cd842,384,39,155,gate,3509.0,1839.0,599.0,3.0701168614357264
cross_reference,tfprod-req000465-680cd842,384,39,155,up,3499.0,1599.0,527.0,3.03415559772296
