factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,7,32,729.0,729.0,729.0,729.0,0.9922677240098405,0.9867391698729753
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,8,32,728.6875,729.0,729.0,729.0,0.9909841182950675,0.9863357725211677
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,1,32,728.96875,729.0,729.0,729.0,0.9973839216542154,0.9918570302442895
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,2,32,729.0,729.0,729.0,729.0,0.9967187128489251,0.9923120899902361
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,3,32,729.0,729.0,729.0,729.0,0.9957461276240371,0.991385604353164
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,4,32,728.09375,729.0,729.0,729.0,0.9943876041992747,0.9904984173663219
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,5,32,729.0,729.0,729.0,729.0,0.9937641942741386,0.9878240808393141
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,6,32,728.96875,729.0,729.0,729.0,0.99283979696641,0.9850373706597647
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,7,32,728.875,729.0,729.0,729.0,0.9939585529368333,0.9891258495559525
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,8,32,728.96875,729.0,729.0,729.0,0.9928529748594611,0.9852957711479036
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,1,32,389.625,385.0,259.6,524.8,0.9953352433610809,0.9847835663740977
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,2,32,401.46875,381.5,265.5,562.7,0.9954365416633402,0.976288266206919
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,3,32,392.84375,384.0,305.2,496.3,0.9928475767803173,0.9833296838245775
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,4,32,369.75,384.0,293.1,437.1,0.9934610707307399,0.9835743149842885
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,5,32,372.375,384.0,278.7,462.7,0.9918125476900306,0.9833169490993721
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,6,32,408.84375,384.0,324.8,546.2,0.9930583290705051,0.9833130473797786
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,7,32,370.96875,360.0,266.8,471.3,0.9923392609095099,0.9798932476243117
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,8,32,362.40625,341.0,264.3,482.8,0.9904372467529019,0.9777547612538164
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,1,32,400.875,384.0,336.4,489.50000000000006,0.970308516415231,0.9361879224523629
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,2,32,393.15625,384.0,344.1,455.0,0.9671822384509399,0.9338955486594936
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,3,32,410.96875,403.5,367.9,480.5,0.9681769052887986,0.9397743486184574
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,4,32,390.0,384.0,326.0,483.70000000000005,0.9703637407741004,0.9262189404050585
