group,policy,budget_bpw,invocations,requests,p10_recovery,median_recovery,p90_recovery,mean_recovery,median_ci_low,median_ci_high,median_logical_bpw,median_physical_bpw,median_page_amplification
layer 0,bidirectional_ab,0.25,16,4,0.4357168597897866,0.6026828928724098,0.758930833031771,0.6175587159514402,0.5623399001802882,0.7127905143455482,0.24886067708333331,0.25,1.004578585360846
layer 0,bidirectional_ab,0.5,16,4,0.6005309365138849,0.8237944939505213,0.8860025763678387,0.7817182800056941,0.7650185895870509,0.8648435185874259,0.498779296875,0.5,1.0024474079879375
layer 0,bidirectional_ab,0.75,16,4,0.7891600534049854,0.8761712631709924,0.9300136330818716,0.8649817268378307,0.8402979460052834,0.9073618574526738,0.74853515625,0.75,1.0019569945344857
layer 0,bidirectional_ab,1.0,16,4,0.8787059033753297,0.921226741083226,0.955460977727113,0.9201783762088407,0.9148837420357817,0.9458756220903363,0.9982096354166667,1.0,1.0017936023715621
layer 0,bidirectional_ab,1.25,16,4,0.9461217479109625,0.9602762862214593,0.9794460676284569,0.9627431641200728,0.9508379714526578,0.9765795922236479,1.2478841145833333,1.25,1.0016955784531107
layer 0,bidirectional_ab,1.5,16,4,0.9809454369461568,0.9900504035643285,0.9954334440980335,0.9894260582974299,0.986804013229058,0.9947907724365446,1.4973958333333333,1.5,1.0017391304347827
layer 0,bidirectional_ab,2.0,16,4,0.9999999999995737,0.999999999999736,0.9999999999998296,0.9999999999997027,0.9999999999996997,0.9999999999997868,1.6559244791666667,1.67578125,1.0028377601855372
layer 0,ordered_a,0.25,16,4,0.416858213337643,0.6044642216627725,0.7672244838490652,0.6157068249608569,0.5735763390596105,0.7127905143455482,0.24943033854166669,0.25,1.0022865172127484
layer 0,ordered_a,0.5,16,4,0.5983095890324658,0.8208024963500706,0.8857384712482811,0.7775867592382651,0.7650185895870509,0.8648435185874259,0.4988606770833333,0.5,1.0022838499184339
layer 0,ordered_a,0.75,16,4,0.7805141105376308,0.8755031760698062,0.9306944908402963,0.8615503735931633,0.850932902561232,0.9105321578592946,0.7486979166666666,0.75,1.0017391304347827
layer 0,ordered_a,1.0,16,4,0.8733473445761766,0.9212812062722873,0.9551251991180344,0.9171728473006187,0.9148837420357817,0.9458603923922653,0.99853515625,1.0,1.0014669926650366
layer 0,ordered_a,1.25,16,4,0.939109477780492,0.9617745324180558,0.9795906913869403,0.960394920526495,0.9508379714526578,0.9761204336383698,1.2481282552083335,1.25,1.0014343460685877
layer 0,ordered_a,1.5,16,4,0.979356407768079,0.9895395372944995,0.9952986044169168,0.9876381502226501,0.9866149627619388,0.994152540036035,1.49755859375,1.5,1.0016302575806977
layer 0,ordered_a,2.0,16,4,0.9996580010762579,0.9999853505259189,0.9999999999996727,0.9982372678239078,0.9999677183510517,0.9999999403520796,1.6546223958333333,1.6731770833333335,1.0024342112459004
layer 0,parity_abq,0.25,16,4,0.47945013625722516,0.6463976073828497,0.76960401413368,0.6334588938949041,0.5801974965513055,0.7112185280237384,0.24869791666666666,0.25,1.0040869489413418
layer 0,parity_abq,0.5,16,4,0.6160178580913367,0.8120077383064623,0.8802257330839794,0.7843054270857532,0.7870457790157191,0.8506894477906549,0.4986979166666667,0.5,1.0026109660574412
layer 0,parity_abq,0.75,16,4,0.7577010149348418,0.8738015956365877,0.9257819995105308,0.8622316729484873,0.8606533249256628,0.9195216628639884,0.74853515625,0.75,1.0019569945344857
layer 0,parity_abq,1.0,16,4,0.8788480017249171,0.9273309892093923,0.9578017945335382,0.9230138918636202,0.9000952971544245,0.9509993013507955,0.9977213541666667,1.0,1.0022839566099337
