factor_config_id,physical_budget_pages,layer,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,576,20,0.9168609202829988,0.9381470995131836,0.9580525376835309,0.9965648109109851,0.9995530445727415,1.0079453189987249
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,576,39,0.9558307592122552,0.9778730612414726,0.9933007202714648,0.9975186695031097,0.9999223532287396,1.0023700871485641
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,768,0,0.9931319515781337,1.0,1.0,0.9998975135666399,1.0,1.000447877069832
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,768,4,0.9637048893497743,0.9763565941909113,0.9882074758160058,0.9982971158064292,1.0002821275932152,1.0030905754530577
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,768,20,0.9538966959797002,0.9693797647340494,0.9785129913089902,0.9988033860746316,1.0005093881789158,1.0047623433688204
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,768,39,0.9782217040046229,0.9909001687466132,0.9973214124613707,0.999363618164116,1.0000695083257478,1.001829097437301
joint_eigh_tail16_exact0_fp32,384,0,0.94678981091814,0.9950798560090961,0.99774681816863,0.9971867586945032,1.0001137301755827,1.0013214123207035
joint_eigh_tail16_exact0_fp32,384,4,0.8630397805793922,0.900044118945092,0.9499257988112413,0.9912024151125703,0.9965493239658706,0.9999483183051536
joint_eigh_tail16_exact0_fp32,384,20,0.8379869141215247,0.880366332135835,0.9235485519561973,0.9638533034912522,0.9920873220158779,0.999237155203147
joint_eigh_tail16_exact0_fp32,384,39,0.9157138315442118,0.9565732294874817,0.984275246923193,0.9927241379810225,0.9981239226936693,1.0007127166001768
joint_eigh_tail16_exact0_fp32,576,0,0.9792802378720928,0.9998668367375287,0.9999774188525958,0.9999525953788988,1.000006940597257,1.0001275272597026
joint_eigh_tail16_exact0_fp32,576,4,0.924912965716105,0.9474490613548388,0.9760136251637812,0.9957551948616702,0.9998273542351974,1.004464038959044
joint_eigh_tail16_exact0_fp32,576,20,0.9150903756346044,0.9394717363914878,0.9581814092479667,0.9965597768754225,0.9998748870275808,1.0079321953836644
joint_eigh_tail16_exact0_fp32,576,39,0.955888856727477,0.9790597981824657,0.9932878633479096,0.9969964380104533,0.9999665758377657,1.002638809722536
joint_eigh_tail16_exact0_fp32,768,0,0.9931800837659056,1.0,1.0,0.9998117437683356,1.0,1.0
joint_eigh_tail16_exact0_fp32,768,4,0.962880383712233,0.9756505221770047,0.9888193625867998,0.9986508035978191,1.000267134907594,1.0030057169994102
joint_eigh_tail16_exact0_fp32,768,20,0.9551394179599612,0.9700158709915483,0.9791955977949464,0.9997701599102162,1.0012736886399067,1.0051615777744793
joint_eigh_tail16_exact0_fp32,768,39,0.978536731594011,0.9906903897408239,0.9972298714813042,0.9993249370594964,1.0000795264012825,1.0039954099110402
joint_eigh_tail16_exact0_int4_per_row,384,0,0.9473461606724329,0.9939070241767409,0.997877421047636,0.9993921365055848,1.000033121980186,1.0009441400581183
joint_eigh_tail16_exact0_int4_per_row,384,4,0.8524189171110428,0.8976800203572313,0.947961259491094,0.9829375196233964,0.9922319535748908,1.000507061969414
joint_eigh_tail16_exact0_int4_per_row,384,20,0.8378214690769593,0.8762283497854593,0.9198843126858507,0.9607466741881137,0.9847817754597792,0.9932156314498735
