factor_config_id,physical_budget_pages,solver,factor_family,tail_rank,exact_rank,total_rank,encoding,hadamard_rotated,geometry_ceiling,factor_payload_bytes,combined_metadata_bpw,selector_compute_macs_max,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90,gap_p10,gap_median,gap_p90,geometry_gate_pass,compute_gate_pass,metadata_gate_pass
joint_pivoted_cholesky_tail16_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,16,0,16,fp32,False,True,65536,0.17450968424479166,28743040,0.9251631748241113,0.9618015555981061,0.999023197391433,0.9952058019359615,0.9998326672425197,1.009031073408485,-0.004361682713484293,-0.0001567556355139832,0.00847758515512014,True,False,True
joint_pivoted_cholesky_tail16_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,16,0,16,fp32,False,True,65536,0.17450968424479166,28211680,0.9622656026986135,0.9804104559464855,0.9998904644510095,0.9982097493922003,1.0000411699065412,1.0040557660264318,-0.0017286949739443668,4.103757598117319e-05,0.0038782923424500295,True,False,True
joint_pivoted_cholesky_tail32_exact0_fp32,384,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,32,0,32,fp32,False,True,131072,0.3411763509114583,57259712,0.8608882083546741,0.927906425079141,0.994740537921279,0.9794784423762072,0.9970582431936063,1.0010840907216196,-0.018124224176790205,-0.002723971942073744,0.0010315083677605167,True,False,True
joint_pivoted_cholesky_tail32_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,32,0,32,fp32,False,True,131072,0.3411763509114583,57478272,0.9229005632312405,0.960110111982173,0.9991263526043078,0.9956628281734514,0.999855511401669,1.0053157136572994,-0.004047179833366043,-0.0001442150092227923,0.004928296491139286,True,False,True
joint_pivoted_cholesky_tail32_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,32,0,32,fp32,False,True,131072,0.3411763509114583,56301888,0.9603329824888263,0.9800207203048372,0.9998350710869344,0.9987807591303995,1.0000935541911515,1.003455105526984,-0.0011912430533064897,9.347566766815252e-05,0.0033133954462341918,True,False,True
joint_pivoted_cholesky_tail4_exact0_fp32,384,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,4,0,4,fp32,False,True,16384,0.049509684244791664,7340224,0.875855185135655,0.9308000928717074,0.9934327865120566,0.9938554546297145,1.0016370435246804,1.0176214673500386,-0.005753166055835024,0.0015222818658064963,0.014557291573508517,True,False,True
joint_pivoted_cholesky_tail4_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,4,0,4,fp32,False,True,16384,0.049509684244791664,7332032,0.9346697563888534,0.9638616070973042,0.9991349280196304,0.9993518233730735,1.0026160077062898,1.0140605262945894,-0.0006176228505314184,0.0025645474996092155,0.013159926631212222,True,False,True
joint_pivoted_cholesky_tail4_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,4,0,4,fp32,False,True,16384,0.049509684244791664,7074288,0.9694339117278518,0.9830556606287603,0.9998820739412716,0.9996564819152887,1.0010973994659225,1.0095103884227055,-0.00033867848463180433,0.0010757581492256696,0.009213813253182091,True,False,True
joint_pivoted_cholesky_tail8_exact0_fp32,384,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,8,0,8,fp32,False,True,32768,0.09117635091145833,14471232,0.8731304585819749,0.9247649564496019,0.9943596350712895,0.9892781520979068,0.9989352945565121,1.0106795482369606,-0.00990105253203357,-0.0010240331636300892,0.009636020962770121,True,False,True
joint_pivoted_cholesky_tail8_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,8,0,8,fp32,False,True,32768,0.09117635091145833,14496848,0.9311231484485506,0.9625345062735159,0.9990809826872986,0.9965485896182309,1.0000252624991914,1.011621957357367,-0.003258486610683242,2.5260660885262354e-05,0.010785081895587467,True,False,True
joint_pivoted_cholesky_tail8_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_pivoted_cholesky,8,0,8,fp32,False,True,32768,0.09117635091145833,14121712,0.9626217529939087,0.9820703477630254,0.9998783794358918,0.9978565815695419,1.0003516638515317,1.0052499413192897,-0.0021064761094417898,0.00034860940429704,0.00505532193980467,True,False,True
exact_proxy_plus_eigh_tail_tail0_exact4_fp32,384,two_seed_coordinate_plus_local_repair,exact_proxy_plus_eigh_tail,0,4,4,fp32,False,True,16384,0.049509684244791664,454656,0.8601148113876809,0.9246374450207877,0.9943967930869809,0.9824242122966804,0.9956556397097367,1.0002891016246296,-0.015224183526715262,-0.003984866785871288,0.0002803719578793339,True,True,True
