injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,sequence_tokens,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_membership_change_fraction,router_mass_churn
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,0.25,3,44,2.2586548619136177e-05,0.00024463298612437514,9.212282276857553e-05,0.00011671226111723354,0.18181818181818182,0.018055348458556966
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,0.5,3,44,1.993483489699925e-05,0.0001962235887164913,8.103590022111433e-05,0.00010176328048703264,0.13636363636363635,0.014065628407640297
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,1.0,3,44,2.000869510900636e-05,0.00019191578069703856,8.124012419260074e-05,0.00010060981154454448,0.13636363636363635,0.013983697200491444
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,2.0,3,44,2.1757012273259203e-05,0.0002051634835624549,8.83404501356887e-05,0.00010457559157417904,0.11363636363636363,0.011893615759250775
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,4.0,3,44,2.838825263169879e-05,0.00024370669590013198,0.00011498868956007591,0.00011144830433261498,0.045454545454545456,0.00802117044900243
pre_residual_routed_replacement,frozen_set_live_weights,1,576,0.7734781901041666,0.125,3,44,2.320348072970546e-05,0.0002457467022429696,9.434524969629214e-05,0.0001129014398113591,0.09090909090909091,0.010839324279165358
pre_residual_routed_replacement,frozen_set_live_weights,1,576,0.7734781901041666,0.25,3,44,1.821250448715132e-05,0.00015972859677132535,7.366575165118375e-05,9.981597792676788e-05,0.11363636363636363,0.011896023354737715
pre_residual_routed_replacement,frozen_set_live_weights,1,576,0.7734781901041666,0.5,3,44,2.152568692343431e-05,0.00021789872484949296,8.694801455004382e-05,0.00010905010699889593,0.09090909090909091,0.012950971444609678
pre_residual_routed_replacement,frozen_set_live_weights,1,576,0.7734781901041666,1.0,3,44,2.042166357344141e-05,0.00020038884216817812,8.235769153146096e-05,0.0001057669620638016,0.13636363636363635,0.014173758192133219
pre_residual_routed_replacement,frozen_set_live_weights,1,576,0.7734781901041666,2.0,3,44,2.0045628415036017e-05,0.00018865489794646272,8.123603769129673e-05,0.0001050573862789811,0.11363636363636363,0.011931505666763608
pre_residual_routed_replacement,frozen_set_live_weights,1,576,0.7734781901041666,4.0,3,44,2.2067376009586454e-05,0.00019508118334318324,8.949231821563981e-05,0.00010661656300321384,0.11363636363636363,0.013062311613671855
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,0.125,3,44,2.0552904025805674e-05,0.00020284304429611023,8.294489189822593e-05,0.00010632382157464387,0.13636363636363635,0.013297731782430412
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,0.25,3,44,2.338356022267941e-05,0.00025521992574592094,9.494243045708854e-05,0.00011280519130112293,0.1590909090909091,0.018182639573620176
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,0.5,3,44,2.08936579998532e-05,0.00021234527319124755,8.446234496619682e-05,0.00010394110927418702,0.09090909090909091,0.011333812305473345
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,1.0,3,44,2.2629007498215454e-05,0.0002526085775198823,9.146575562209284e-05,0.00011238784914709073,0.13636363636363635,0.014127208812403223
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,2.0,3,44,1.7748753621886365e-05,0.00015871103596614607,7.199644021013696e-05,9.948087796670502e-05,0.11363636363636363,0.014265815730621407
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,4.0,3,44,2.115056499912333e-05,0.0002060185626856575,8.557570543371584e-05,0.00010413487050184868,0.1590909090909091,0.01638325922666929
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,0.125,3,44,2.1397675156591006e-05,0.0002154233980796876,8.689728887215339e-05,0.00010505235404821667,0.13636363636363635,0.014164586240798254
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,0.25,3,44,2.0089465020977183e-05,0.00019770191726970434,8.150531092624374e-05,0.00010713713093464866,0.11363636363636363,0.014772016261957555
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,0.5,3,44,2.0386442106324797e-05,0.00020301528648764277,8.279924959603532e-05,0.00010379156001102144,0.11363636363636363,0.012488448866670011
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,1.0,3,44,1.8997720507679166e-05,0.00017295272387866822,7.692200666424186e-05,0.00010154453414163953,0.11363636363636363,0.014241771412879132
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,2.0,3,44,1.7976193223422467e-05,0.00015778944948568506,7.226294301122689e-05,0.00010150146568273954,0.09090909090909091,0.010667834301907403
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,4.0,3,44,2.2909173085591565e-05,0.00022906078708336052,9.279122021929094e-05,0.00010452225433056145,0.11363636363636363,0.012656072011955755
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,0.125,3,44,1.7893120749916264e-05,0.0001579561042603341,7.250469321883183e-05,9.647655190696936e-05,0.09090909090909091,0.010739773220587017
