injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,label_tokens,intended_delta_energy,realized_layer_error_energy,layer_output_unchanged_fraction,first_route_membership_crossing_fraction,first_route_membership_distance_median,final_router_mass_churn,delta_nll,ppl_ratio,logit_kl,top1_agreement
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,2.0,3,41,5.61244708675503e-05,0.00023301213496439583,0.3570727493257505,1.0,1.0,0.014272880440010722,0.0013245606218285266,1.0013254382396921,0.0006769051605876168,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,749,0.9987386067708334,4.0,3,41,5.61244708675503e-05,0.0009071624764125347,0.3169020012813184,1.0,1.0,0.016414090187788482,-0.01222351325759263,0.9878508904139454,0.0008767751027816778,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,0.125,3,41,5.00421483979062e-05,2.615293055476344e-06,0.8168895728592578,1.0,1.0,0.014155347822249687,-0.0032501005883082486,0.9967551752713696,0.0008964646252904685,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,0.25,3,41,5.00421483979062e-05,6.67397530791773e-06,0.6833727561659632,1.0,1.0,0.014788845159011988,0.0005616738673569461,1.0005618316356604,0.0006602943111850101,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,0.5,3,41,5.00421483979062e-05,1.7718203315204477e-05,0.5477106434319301,1.0,1.0,0.01247679488515743,-0.004594825728535095,0.9954157143337735,0.0005293551780594706,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,1.0,3,41,5.00421483979062e-05,5.6953521244124335e-05,0.43552283501162836,1.0,2.0,0.014235081339103874,-0.004734443732446163,0.9952767460801373,0.0007256261861988313,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,2.0,3,41,5.00421483979062e-05,0.0002077207013806244,0.3607759076107137,1.0,1.0,0.010671544623896358,-0.0027887751561954774,0.9972151098649178,0.0006092308302715095,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,768,1.0234781901041665,4.0,3,41,5.00421483979062e-05,0.0008109894544118351,0.31855615325984993,1.0,1.0,0.012668737800334425,-0.0037438904466157896,0.9962631091732277,0.0005747150701618745,1.0
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,0.125,3,41,0.001286601771500365,3.158363256244704e-05,0.5960749241469278,1.0,2.0,0.01072945365322196,0.0003121523097310746,1.000312201034333,0.0006243509206596291,1.0
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,0.25,3,41,0.001286601771500365,9.784799568846473e-05,0.4704086026972424,1.0,3.0,0.012680764343169686,-0.0005567313307467593,0.9994434236153847,0.000668398494429466,1.0
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,0.5,3,41,0.001286601771500365,0.00034161517844594544,0.38247338653430857,1.0,1.0,0.015201434132640485,0.008110094628959869,1.0081430705320222,0.000735142921990107,1.0
pre_residual_routed_replacement,frozen_set_live_weights,4,384,0.5234781901041666,1.0,3,41,0.001286601771500365,0.0013086052504922884,0.33150283212285997,1.0,1.0,0.012516233073183189,-0.00035694406944586094,0.9996431196275095,0.0007603485496426714,1.0
