factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,selector_runtime_ms_median,selector_runtime_ms_p90,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,749,749,65827.58128363639,66775.57755112648,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,768,1536,65848.03297370672,66796.82518299669,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,768,1536,83990.587528795,86541.72237180173,59196416,50315264,2834.0,391.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,768,1536,65945.44251728803,66887.67476361245,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,768,768,82463.5325409472,84571.98769748211,57244672,50315264,2682.5,403.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,768,1152,83300.98637845367,85516.23289808631,59196416,50315264,2828.0,392.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,768,1536,83761.47530786693,86205.9045188129,59196416,50315264,2834.0,391.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,768,65838.23258243501,66786.60887479782,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,1152,65842.46476367116,66791.2579221651,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,1536,65847.39654138684,66796.20242957026,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,768,768,65827.58115883917,66775.58561582118,51343360,50315264,2447.0,304.0
