factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,1,32,729.53125,729.0,729.0,729.9,0.9974490217922316,0.9915874286331439
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,2,32,731.625,729.0,729.0,740.9,0.996795084105162,0.9937351000959705
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,3,32,730.25,729.0,729.0,736.8,0.9957461276240371,0.991381479415513
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,4,32,729.0625,729.0,725.3,735.3000000000001,0.9943876041992747,0.9904984173663219
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,5,32,731.0625,729.0,729.0,739.8,0.9944192833483176,0.9878240808393141
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,6,32,730.25,729.0,729.0,738.0,0.99283979696641,0.9883266098183646
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,7,32,730.46875,729.0,729.0,734.9,0.9942549352599144,0.9891808943474506
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,8,32,730.5625,729.0,729.0,737.2,0.993002865546002,0.9853310224684522
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,1,32,796.15625,748.5,579.4,1021.8,0.9999960458870081,0.9999146786729497
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,2,32,814.15625,769.0,560.0,1113.3000000000002,0.999991643806668,0.9998806061615516
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,3,32,779.65625,783.0,615.3,944.2,0.9999686521590697,0.9997788519248123
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,4,32,731.5,740.0,595.1,886.3000000000001,0.9999428806619914,0.9998535144594921
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,5,32,699.125,678.0,555.7,881.8000000000001,0.9999015823593069,0.9994909676433489
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,6,32,705.875,727.0,523.2,910.6,0.9998021651530622,0.9995249455473324
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,7,32,654.8125,659.0,461.4,878.5000000000002,0.9996545538363477,0.9983469464668567
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,8,32,650.03125,627.0,478.8,904.2,0.9995588274788585,0.9985664079682707
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,1,32,1073.78125,1066.0,961.2,1156.5,0.999556105509678,0.9988575394522464
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,2,32,981.28125,976.5,864.5,1093.8,0.9988237225279825,0.9977987321531283
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,3,32,859.15625,855.5,731.9,971.3000000000001,0.9975389165517429,0.9926636027378067
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,4,32,740.6875,749.0,667.0,820.1,0.9945009001197167,0.9878292293578346
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,5,32,695.0,712.5,576.0,768.0,0.9903474369941416,0.9799608841580605
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,6,32,584.09375,576.0,479.6,692.5,0.985835454920944,0.9734535850411952
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,7,32,493.625,484.0,385.6,580.6,0.9717135110426303,0.9443513542163378
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,8,32,401.34375,384.0,275.7,572.5,0.9496297460634304,0.8975903419555992
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,20,1,32,997.625,1048.0,778.4,1125.9,0.9993420100567523,0.9954556498215046
