layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_ideal_logical_256_byte_plane_ceiling,1472,230.8125,152.6640625,286.2021484375,174.8203125,298.5791015625,1441.6572265625
q3_ideal_logical_256_byte_plane_ceiling,1504,235.0908203125,156.4111328125,290.283203125,179.4482421875,302.8349609375,1466.9033203125
q3_ideal_logical_256_byte_plane_ceiling,1506,235.3330078125,156.669921875,290.388671875,179.7021484375,303.134765625,1468.36328125
q3_ideal_logical_256_byte_plane_ceiling,1507,235.453125,156.748046875,290.556640625,179.802734375,303.318359375,1469.197265625
q3_ideal_logical_256_byte_plane_ceiling,1536,239.4111328125,160.2685546875,294.3125,183.97265625,306.96484375,1491.89453125
q3_ideal_logical_256_byte_plane_ceiling,1568,243.638671875,164.03515625,298.302734375,188.423828125,311.083984375,1516.568359375
q3_ideal_logical_256_byte_plane_ceiling,1600,247.97265625,167.9794921875,302.26953125,192.9560546875,315.1787109375,1541.53515625
q3_ideal_logical_256_byte_plane_ceiling,1632,252.291015625,171.986328125,306.173828125,197.607421875,318.9326171875,1565.923828125
q3_ideal_logical_256_byte_plane_ceiling,1664,256.7158203125,176.0537109375,310.0107421875,202.1982421875,322.61328125,1590.205078125
q3_physical_fixed_gate_up_pairing,384,69.724609375,25.7763671875,77.4296875,24.4462890625,74.3466796875,383.375
q3_physical_fixed_gate_up_pairing,416,75.2685546875,28.4658203125,83.5859375,27.0302734375,80.470703125,415.443359375
q3_physical_fixed_gate_up_pairing,448,80.947265625,31.0615234375,89.833984375,29.544921875,86.4072265625,447.32421875
q3_physical_fixed_gate_up_pairing,480,86.4384765625,33.87109375,95.9345703125,32.34375,92.3720703125,479.310546875
q3_physical_fixed_gate_up_pairing,512,92.0107421875,36.6142578125,101.9365234375,35.052734375,98.54296875,511.326171875
q3_physical_fixed_gate_up_pairing,544,97.6123046875,39.189453125,108.2109375,37.6669921875,104.591796875,543.443359375
q3_physical_fixed_gate_up_pairing,576,103.1728515625,42.25390625,114.154296875,40.806640625,110.3154296875,575.3359375
q3_physical_fixed_gate_up_pairing,608,108.5712890625,45.0634765625,120.1005859375,43.732421875,116.4013671875,607.439453125
q3_physical_fixed_gate_up_pairing,640,114.125,48.23828125,126.119140625,47.03515625,122.068359375,639.412109375
q3_physical_fixed_gate_up_pairing,672,119.599609375,51.298828125,132.072265625,50.2041015625,127.900390625,671.44921875
q3_physical_fixed_gate_up_pairing,704,125.0205078125,54.5029296875,137.8876953125,53.4267578125,133.6796875,703.423828125
q3_physical_fixed_gate_up_pairing,736,130.490234375,57.529296875,143.9892578125,56.55859375,139.4453125,735.40625
q3_physical_fixed_gate_up_pairing,768,135.9169921875,60.67578125,150.00390625,59.9248046875,145.1904296875,767.44921875
q3_physical_fixed_gate_up_pairing,800,141.3037109375,63.6923828125,156.09375,63.04296875,150.798828125,799.388671875
q3_physical_fixed_gate_up_pairing,832,146.8017578125,66.990234375,161.890625,66.302734375,156.5068359375,831.455078125
q3_physical_fixed_gate_up_pairing,864,152.0693359375,70.34765625,167.6533203125,69.783203125,162.0810546875,863.31640625
q3_physical_fixed_gate_up_pairing,896,157.4052734375,73.8154296875,173.5166015625,73.3623046875,167.5263671875,895.4140625
q3_physical_fixed_gate_up_pairing,928,162.6015625,77.40234375,179.0380859375,77.087890625,173.1845703125,927.37890625
q3_physical_fixed_gate_up_pairing,960,167.7890625,80.90234375,184.6845703125,80.810546875,178.708984375,959.19140625
q3_physical_fixed_gate_up_pairing,992,173.1826171875,84.7294921875,190.44140625,84.767578125,184.1767578125,991.427734375
q3_physical_fixed_gate_up_pairing,1024,178.2880859375,88.58203125,195.796875,88.8037109375,189.771484375,1023.275390625
q3_physical_fixed_gate_up_pairing,1056,183.5595703125,92.6982421875,201.4228515625,93.013671875,195.0791015625,1055.3515625
q3_physical_fixed_gate_up_pairing,1088,188.80078125,96.7958984375,206.98046875,97.345703125,200.5185546875,1087.40234375
q3_physical_fixed_gate_up_pairing,1120,193.91796875,100.568359375,212.486328125,101.34375,205.9287109375,1119.330078125
q3_physical_fixed_gate_up_pairing,1152,199.26171875,104.6318359375,218.0556640625,105.5166015625,211.138671875,1151.359375
q3_physical_fixed_gate_up_pairing,1184,204.4072265625,108.8515625,223.2861328125,109.9443359375,216.396484375,1183.205078125
q3_physical_fixed_gate_up_pairing,1216,209.4931640625,113.3037109375,228.6640625,114.6669921875,221.5712890625,1215.228515625
q3_physical_fixed_gate_up_pairing,1248,214.65625,117.72265625,233.771484375,119.2080078125,226.6962890625,1247.11328125
q3_physical_fixed_gate_up_pairing,1280,219.623046875,121.95703125,239.06640625,123.6552734375,231.896484375,1279.134765625
q3_physical_fixed_gate_up_pairing,1312,224.6474609375,126.453125,244.341796875,128.533203125,236.9912109375,1311.306640625
q3_physical_fixed_gate_up_pairing,1344,229.7001953125,131.017578125,249.375,133.4169921875,241.9052734375,1342.76953125
q3_physical_fixed_gate_up_pairing,1376,234.7021484375,135.7646484375,254.5830078125,138.40625,246.9462890625,1374.669921875
q3_physical_fixed_gate_up_pairing,1408,239.7490234375,140.5048828125,259.7529296875,143.4501953125,251.736328125,1406.19921875
q3_physical_fixed_gate_up_pairing,1440,244.6376953125,145.2353515625,264.845703125,148.458984375,256.595703125,1437.63671875
q3_physical_fixed_gate_up_pairing,1472,249.4091796875,149.873046875,269.6181640625,153.361328125,261.3974609375,1468.78125
q3_physical_fixed_gate_up_pairing,1504,254.0029296875,154.57421875,274.2861328125,158.283203125,265.9833984375,1499.2265625
q3_physical_fixed_gate_up_pairing,1506,254.3232421875,154.8583984375,274.5439453125,158.5986328125,266.3505859375,1501.134765625
q3_physical_fixed_gate_up_pairing,1507,254.6142578125,154.9873046875,274.7177734375,158.75390625,266.462890625,1502.109375
q3_physical_fixed_gate_up_pairing,1536,258.533203125,158.8994140625,278.837890625,162.8798828125,270.4287109375,1528.490234375
q3_physical_fixed_gate_up_pairing,1568,262.8388671875,162.9990234375,283.037109375,167.248046875,274.6259765625,1556.646484375
q3_physical_fixed_gate_up_pairing,1600,266.8740234375,166.740234375,287.1787109375,171.3486328125,278.8603515625,1583.705078125
q3_physical_fixed_gate_up_pairing,1632,270.75390625,170.818359375,291.041015625,175.716796875,282.6943359375,1610.0859375
q3_physical_fixed_gate_up_pairing,1664,274.61328125,174.529296875,294.7216796875,179.734375,286.572265625,1635.63671875
q3_physical_training_coselection_replicated2,384,53.501953125,39.1181640625,83.3466796875,25.3095703125,74.564453125,383.26953125
q3_physical_training_coselection_replicated2,416,57.609375,42.08984375,90.921875,28.1650390625,80.5283203125,415.26171875
q3_physical_training_coselection_replicated2,448,61.6357421875,44.9912109375,98.6083984375,31.2666015625,86.4677734375,447.32421875
