layout_method,page_size,paired_planes,budget_bpw,recovery_count,recovery_mean,recovery_p10,recovery_p25,recovery_median,recovery_p75,recovery_p90,median_physical_bpw,median_logical_bpw,median_amplification
coselection_h0_2rep,512,False,1.5,12,0.9791605174385234,0.965067357991272,0.9716598450370699,0.9824984557087466,0.9915926029974866,0.9967010743614542,1.5,1.5,1.0
coselection_h0_2rep,512,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_h0_2rep,1024,False,0.25,12,0.5688160492208755,0.39844182922885235,0.41592214145060724,0.6355638247093933,0.676037519787447,0.6790696112018147,0.25,0.25,1.0
coselection_h0_2rep,1024,False,0.5,12,0.7362530391581975,0.5973536691833533,0.6442496711656174,0.7739196212463557,0.800350937063565,0.8373666732441832,0.5,0.5,1.0
coselection_h0_2rep,1024,False,0.75,12,0.832832597922462,0.7068774400922687,0.7708531515260292,0.8598684733262197,0.876799049757779,0.9108634300895216,0.75,0.75,1.0
coselection_h0_2rep,1024,False,1.0,12,0.8958863885413516,0.8271314078359755,0.8479584691279439,0.9158384710106258,0.9276545645857915,0.9532529327063647,1.0,1.0,1.0
coselection_h0_2rep,1024,False,1.25,12,0.943043882469099,0.9046638805140661,0.9280463241421281,0.9523002006408698,0.9610362949431833,0.9740159855512598,1.25,1.25,1.0
coselection_h0_2rep,1024,False,1.5,12,0.9703126645976775,0.9437972247223637,0.9639695235124182,0.9758790457258408,0.9839780519011361,0.9951829746843593,1.5,1.5,1.0
coselection_h0_2rep,1024,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_h0_2rep,4096,False,0.25,12,0.4998058628675457,0.3539728807839932,0.4319908884698275,0.5047920161332297,0.5973090823081034,0.639452260561731,0.25,0.25,1.0
coselection_h0_2rep,4096,False,0.5,12,0.6828990449450894,0.5312699388144689,0.5668933373894333,0.7111945551855491,0.7940584255056575,0.8010500455529749,0.5,0.5,1.0
coselection_h0_2rep,4096,False,0.75,12,0.7886000569299428,0.6457060173796275,0.6890714581605127,0.8212417196891697,0.8723579866536988,0.8971599252634002,0.75,0.75,1.0
coselection_h0_2rep,4096,False,1.0,12,0.8609411559881001,0.7322995265990149,0.8000586681584412,0.8931675307462226,0.9163324277359631,0.940424070427248,1.0,1.0,1.0
coselection_h0_2rep,4096,False,1.25,12,0.9086043594410885,0.8162736434248422,0.8780541497977293,0.9232668285982623,0.9477225359827661,0.9650771311223322,1.25,1.25,1.0
coselection_h0_2rep,4096,False,1.5,12,0.9461865393227088,0.897713035725007,0.9222190951746028,0.9630000838488653,0.9737728687281948,0.9836580611113576,1.5,1.5,1.0
coselection_h0_2rep,4096,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_h0_4rep,512,False,0.25,12,0.6008769578144594,0.4034999629386106,0.4930983351570298,0.605898382955967,0.7092285664026234,0.7997769280408175,0.25,0.25,1.0
coselection_h0_4rep,512,False,0.5,12,0.7709143343779701,0.6222912947112128,0.7360518893473418,0.7778002212079784,0.8507640716091054,0.8875316352763286,0.5,0.5,1.0
coselection_h0_4rep,512,False,0.75,12,0.8571957554273776,0.735743083278836,0.8417970279425764,0.866071787281308,0.9030715397640017,0.9337615359006143,0.75,0.75,1.0
coselection_h0_4rep,512,False,1.0,12,0.9165332243282198,0.8403585030136175,0.8927726815434758,0.9304570525260123,0.9520786559380304,0.9687839308354149,1.0,1.0,1.0
coselection_h0_4rep,512,False,1.25,12,0.9526669775274571,0.9097839835023613,0.9370939367452039,0.9573371968869583,0.9789579886812921,0.9844943747030356,1.25,1.25,1.0
coselection_h0_4rep,512,False,1.5,12,0.9789233172671253,0.9650642292571194,0.9690263096877265,0.9803424206695818,0.9909328611579497,0.9955948843535347,1.5,1.5,1.0
coselection_h0_4rep,512,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_h0_4rep,1024,False,0.25,12,0.5742954374089555,0.3956860493975143,0.43294930520774294,0.5989702716607836,0.6608319328583707,0.716104315450933,0.25,0.25,1.0
coselection_h0_4rep,1024,False,0.5,12,0.7385018710147371,0.5973536691833533,0.696162897066052,0.7457431160932744,0.7995425141449632,0.8404862542294395,0.5,0.5,1.0
coselection_h0_4rep,1024,False,0.75,12,0.839282849912457,0.708949864568267,0.8159254535323324,0.8500869499265178,0.8853322433913333,0.9351166359331862,0.75,0.75,1.0
coselection_h0_4rep,1024,False,1.0,12,0.9002480701417376,0.8274262146015413,0.8875269631406116,0.9127245758431208,0.9389470451319536,0.9468217740309136,1.0,1.0,1.0
coselection_h0_4rep,1024,False,1.25,12,0.9449256977020749,0.9046638805140661,0.9348478201829328,0.9511971031768541,0.9652355141352367,0.9747631851812647,1.25,1.25,1.0
coselection_h0_4rep,1024,False,1.5,12,0.9710474463354628,0.9437972247223637,0.9614607415978003,0.9742881516955612,0.9857596878927385,0.9944425837521488,1.5,1.5,1.0
coselection_h0_4rep,1024,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_h0_4rep,4096,False,0.25,12,0.5218177721198574,0.3685283554155879,0.4509901868367071,0.4958098312505089,0.6067688926802715,0.6462651754278549,0.25,0.25,1.0
coselection_h0_4rep,4096,False,0.5,12,0.7029724265821221,0.5339814210326108,0.6507656683510071,0.7264024985194064,0.7648212490270019,0.8006055019522007,0.5,0.5,1.0
