source_run_mode,capture_source,evaluation_split,layer,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_fetched_pages,median_logical_actions,median_logical_bytes,p90_candidate_overfetch
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,1.0,1,0.5614066139361814,0.5614066139361814,0.5614066139361814,61.0,260.0,16640.0,0.23828125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.25,1,0.5387062539682536,0.5387062539682536,0.5387062539682536,118.0,520.0,33280.0,1.84375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.5,1,0.5387062539682536,0.5387062539682536,0.5387062539682536,118.0,520.0,33280.0,0.921875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.75,1,0.5387062539682536,0.5387062539682536,0.5387062539682536,118.0,520.0,33280.0,0.6145833333333334
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,1.0,1,0.5387062539682536,0.5387062539682536,0.5387062539682536,118.0,520.0,33280.0,0.4609375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.25,1,0.6555129423521532,0.6555129423521532,0.6555129423521532,213.0,1141.0,73024.0,3.328125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.5,1,0.6555129423521532,0.6555129423521532,0.6555129423521532,213.0,1141.0,73024.0,1.6640625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.75,1,0.6555129423521532,0.6555129423521532,0.6555129423521532,213.0,1141.0,73024.0,1.109375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,1.0,1,0.6555129423521532,0.6555129423521532,0.6555129423521532,213.0,1141.0,73024.0,0.83203125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,384,1,0.25,1,0.8379619236549454,0.8379619236549454,0.8379619236549454,284.0,1358.0,86912.0,4.4375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,384,1,0.5,1,0.8379619236549454,0.8379619236549454,0.8379619236549454,284.0,1358.0,86912.0,2.21875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,384,1,0.75,1,0.8379619236549454,0.8379619236549454,0.8379619236549454,284.0,1358.0,86912.0,1.4791666666666667
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,384,1,1.0,1,0.8379619236549454,0.8379619236549454,0.8379619236549454,284.0,1358.0,86912.0,1.109375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,512,1,0.25,1,0.9004296502270775,0.9004296502270775,0.9004296502270775,350.0,1325.0,84800.0,5.46875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,512,1,0.5,1,0.9004296502270775,0.9004296502270775,0.9004296502270775,350.0,1325.0,84800.0,2.734375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,512,1,0.75,1,0.9004296502270775,0.9004296502270775,0.9004296502270775,350.0,1325.0,84800.0,1.8229166666666667
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,512,1,1.0,1,0.9004296502270775,0.9004296502270775,0.9004296502270775,350.0,1325.0,84800.0,1.3671875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,768,1,0.25,1,0.9279518561310526,0.9279518561310526,0.9279518561310526,436.0,1099.0,70336.0,6.8125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,768,1,0.5,1,0.9279518561310526,0.9279518561310526,0.9279518561310526,436.0,1099.0,70336.0,3.40625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,768,1,0.75,1,0.9279518561310526,0.9279518561310526,0.9279518561310526,436.0,1099.0,70336.0,2.2708333333333335
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,768,1,1.0,1,0.9279518561310526,0.9279518561310526,0.9279518561310526,436.0,1099.0,70336.0,1.703125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,1024,1,0.25,1,0.9803869681128143,0.9803869681128143,0.9803869681128143,482.0,1489.0,95296.0,7.53125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,1024,1,0.5,1,0.9803869681128143,0.9803869681128143,0.9803869681128143,482.0,1489.0,95296.0,3.765625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,1024,1,0.75,1,0.9803869681128143,0.9803869681128143,0.9803869681128143,482.0,1489.0,95296.0,2.5104166666666665
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,1024,1,1.0,1,0.9803869681128143,0.9803869681128143,0.9803869681128143,482.0,1489.0,95296.0,1.8828125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.25,1,0.6846585513686915,0.6846585513686915,0.6846585513686915,60.0,262.0,16768.0,0.9375
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.5,1,0.6846585513686915,0.6846585513686915,0.6846585513686915,60.0,262.0,16768.0,0.46875
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.75,1,0.6846585513686915,0.6846585513686915,0.6846585513686915,60.0,262.0,16768.0,0.3125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,1.0,1,0.6846585513686915,0.6846585513686915,0.6846585513686915,60.0,262.0,16768.0,0.234375
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.25,1,0.685228879171854,0.685228879171854,0.685228879171854,116.0,568.0,36352.0,1.8125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.5,1,0.685228879171854,0.685228879171854,0.685228879171854,116.0,568.0,36352.0,0.90625
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.75,1,0.685228879171854,0.685228879171854,0.685228879171854,116.0,568.0,36352.0,0.6041666666666666
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,1.0,1,0.685228879171854,0.685228879171854,0.685228879171854,116.0,568.0,36352.0,0.453125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.25,1,0.8291800757584585,0.8291800757584585,0.8291800757584585,210.0,968.0,61952.0,3.28125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.5,1,0.8291800757584585,0.8291800757584585,0.8291800757584585,210.0,968.0,61952.0,1.640625
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.75,1,0.8291800757584585,0.8291800757584585,0.8291800757584585,210.0,968.0,61952.0,1.09375
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,1.0,1,0.8291800757584585,0.8291800757584585,0.8291800757584585,210.0,968.0,61952.0,0.8203125
pilot,exact_checkpoint,test,0,up,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,0.25,1,0.9215007768873624,0.9215007768873624,0.9215007768873624,288.0,1251.0,80064.0,4.5
