layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_ideal_logical_256_byte_plane_ceiling,480,80.4033203125,38.8349609375,106.2294921875,35.4423828125,109.2021484375,479.314453125
q3_ideal_logical_256_byte_plane_ceiling,512,84.78515625,41.5419921875,112.84375,38.4775390625,116.8447265625,511.337890625
q3_ideal_logical_256_byte_plane_ceiling,544,89.466796875,44.0986328125,119.1591796875,41.294921875,124.7021484375,543.423828125
q3_ideal_logical_256_byte_plane_ceiling,576,93.7548828125,46.8974609375,125.4619140625,44.6279296875,132.3095703125,575.361328125
q3_ideal_logical_256_byte_plane_ceiling,608,98.5048828125,49.603515625,131.7724609375,47.759765625,139.8935546875,607.427734375
q3_ideal_logical_256_byte_plane_ceiling,640,103.2822265625,52.4091796875,138.1494140625,51.0517578125,147.3046875,639.501953125
q3_ideal_logical_256_byte_plane_ceiling,672,108.078125,55.47265625,144.3583984375,54.52734375,154.5302734375,671.4970703125
q3_ideal_logical_256_byte_plane_ceiling,704,112.767578125,58.576171875,150.427734375,58.5478515625,161.583984375,703.4873046875
q3_ideal_logical_256_byte_plane_ceiling,736,117.4072265625,61.6611328125,156.7568359375,62.3955078125,168.6201171875,735.4609375
q3_ideal_logical_256_byte_plane_ceiling,768,122.162109375,64.8935546875,162.8955078125,66.337890625,175.5849609375,767.458984375
q3_ideal_logical_256_byte_plane_ceiling,800,126.828125,68.0224609375,169.0458984375,70.328125,182.634765625,799.494140625
q3_ideal_logical_256_byte_plane_ceiling,832,131.4541015625,71.30078125,174.9150390625,74.478515625,189.6943359375,831.537109375
q3_ideal_logical_256_byte_plane_ceiling,864,135.8115234375,74.6083984375,180.76171875,78.546875,196.904296875,863.537109375
q3_ideal_logical_256_byte_plane_ceiling,896,140.4873046875,77.9482421875,186.6611328125,82.814453125,203.810546875,895.5322265625
q3_ideal_logical_256_byte_plane_ceiling,928,145.052734375,81.5341796875,192.1865234375,87.2509765625,210.71484375,927.4541015625
q3_ideal_logical_256_byte_plane_ceiling,960,149.4599609375,85.32421875,197.619140625,91.7373046875,217.6669921875,959.474609375
q3_ideal_logical_256_byte_plane_ceiling,992,153.990234375,88.8896484375,203.158203125,96.1328125,224.646484375,991.4638671875
q3_ideal_logical_256_byte_plane_ceiling,1024,158.7353515625,92.7041015625,208.630859375,100.861328125,231.2890625,1023.509765625
q3_ideal_logical_256_byte_plane_ceiling,1056,163.34765625,96.5361328125,213.9853515625,105.4697265625,238.0625,1055.4638671875
