candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
B16_g32_global_functional_eps_0p0,B,train,2,258,-0.03527928136983607,0.2878480362230481,0.6792210688995054,0.37397183775901793,0.46305571496486664,0.5516731202602386,0.04526350386440754,5.203900392643761,0.22089339792728424,16.496219062805178
B16_g32_global_functional_eps_0p0,B,train,3,258,0.5817527061871157,0.7752788787344569,0.8801958122791841,0.22056081295013427,0.2754015773534775,0.32096035182476046,0.01616546828299761,1.4630780145002515,0.0828314796090126,4.803907918930057
B16_g32_global_functional_eps_0p0,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p0,B,validation,2,135,-0.11555020242312336,0.2350107984665144,0.5997290117477067,0.4064828991889954,0.4875800907611847,0.568031394481659,0.05088801980018616,6.7755114142541535,0.23840638995170593,18.014935302734376
B16_g32_global_functional_eps_0p0,B,validation,3,135,0.5888072828231504,0.772792270854676,0.881408103129612,0.23490605056285857,0.28323403000831604,0.3287328541278839,0.014555287919938565,1.6059296462098482,0.08043371140956879,5.5078069686889695
B16_g32_global_functional_eps_0p0,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p001,B,test,2,152,-0.16775563393060977,0.32759862023039366,0.6872279627840434,0.40164722204208375,0.48669327795505524,0.580749237537384,0.042632861807942395,4.991716084658708,0.23007862269878387,15.817860317230231
B16_g32_global_functional_eps_0p001,B,test,3,152,0.578025337008416,0.7763287555585692,0.8798493647860818,0.23627422153949737,0.2838706076145172,0.32424336671829224,0.013408169150352478,1.4999981078313125,0.09451404213905334,5.003830957412721
B16_g32_global_functional_eps_0p001,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p001,B,train,2,258,-0.08742088782184189,0.32213842102275814,0.6707621969463827,0.3691453456878662,0.46822400391101837,0.5566952705383301,0.04385214895009995,5.2375655144077635,0.24799209088087082,20.219408226013186
B16_g32_global_functional_eps_0p001,B,train,3,258,0.5873688625383654,0.765608667643882,0.8848340172138832,0.2200768321752548,0.2749312072992325,0.32274816930294037,0.015165055915713311,1.5224634616747643,0.09760520234704018,5.4042747974395775
B16_g32_global_functional_eps_0p001,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p001,B,validation,2,135,-0.19603344121644567,0.26443459321704044,0.6020283842835672,0.4118292272090912,0.49271467328071594,0.5672972679138184,0.05182180777192116,6.894171951614596,0.23728762567043304,21.70766296386723
B16_g32_global_functional_eps_0p001,B,validation,3,135,0.5865865209779235,0.762352920856848,0.879863078550034,0.23904335796833037,0.28411272168159485,0.3247612714767456,0.012299307249486448,1.6388014182034465,0.08425063639879227,5.6958948135376035
B16_g32_global_functional_eps_0p001,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
