candidate,design,level,stratification,stratum,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,summed_damage
C8_g32_layer_functional,C,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
C8_g32_layer_functional,C,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
C8_g32_layer_functional,C,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
D4_g16_layer_functional,D,2,layer,0,33,-0.23508019096903732,0.32887129464765763,0.5247680741845545,0.4033872842788696,0.4555221498012543,0.49829732775688174,1.5789873506873846
D4_g16_layer_functional,D,2,layer,4,41,-0.0701678919264428,0.27051564888236124,0.4040045432233986,0.45345351099967957,0.499449759721756,0.547018826007843,17.296361662447453
D4_g16_layer_functional,D,2,layer,20,39,-0.06643738233973105,0.5145591453379342,0.717840265673483,0.4094893455505371,0.5800953507423401,0.6611840605735779,8.086453601717949
D4_g16_layer_functional,D,2,layer,39,39,0.002535687312111047,0.26735412714087814,0.4806753618118856,0.3998004376888275,0.43601280450820923,0.5134733557701111,754.7140746116638
D4_g16_layer_functional,D,3,layer,0,33,0.47023745745693396,0.7923209529590292,0.8536397328596258,0.2351792871952057,0.2611883282661438,0.28602057695388794,0.5162764224223793
D4_g16_layer_functional,D,3,layer,4,41,0.6350088660982967,0.7494317210488786,0.8638045717460164,0.2580226957798004,0.28126823902130127,0.320502907037735,5.16857735067606
D4_g16_layer_functional,D,3,layer,20,39,0.6398535054093543,0.7946773860153301,0.9015103015232553,0.30115723609924316,0.3326335549354553,0.36082512736320493,3.252683775499463
D4_g16_layer_functional,D,3,layer,39,39,0.49994029926751776,0.7626568487951889,0.8545949112621197,0.233068111538887,0.25538110733032227,0.2911926329135895,243.63540291786194
D4_g16_layer_functional,D,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
D4_g16_layer_functional,D,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
D4_g16_layer_functional,D,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
D4_g16_layer_functional,D,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E16_g64_layer_functional,E,2,layer,0,33,-0.32676126687237406,0.25141141539941625,0.4882614412055599,0.4409430682659149,0.47993382811546326,0.5190786600112915,1.7284363396465778
E16_g64_layer_functional,E,2,layer,4,41,-0.21588035986603282,0.14327801115817285,0.328417932215497,0.4830457866191864,0.5263742208480835,0.5679164528846741,19.773051396012306
E16_g64_layer_functional,E,2,layer,20,39,0.12019480739648036,0.4304223993244771,0.718655167320268,0.37298551201820374,0.5744051933288574,0.6250717639923096,7.9245739206671715
E16_g64_layer_functional,E,2,layer,39,39,-0.1196990017723983,0.23684623034578112,0.4992318993168431,0.38385998606681826,0.44690027832984924,0.5074130535125733,798.3034057617188
E16_g64_layer_functional,E,3,layer,0,33,0.5184639961621204,0.7846452764036105,0.8692534352680734,0.2377591997385025,0.2642204165458679,0.28640040159225466,0.5299549708142877
E16_g64_layer_functional,E,3,layer,4,41,0.6103282109537842,0.7682005131267753,0.8539966371851926,0.25434768199920654,0.2851990759372711,0.3243444263935089,5.418674986809492
E16_g64_layer_functional,E,3,layer,20,39,0.7038143302913032,0.8515525038172069,0.8882168095180826,0.24061614274978638,0.3082665503025055,0.34453784823417666,2.575872008688748
E16_g64_layer_functional,E,3,layer,39,39,0.5204499895243583,0.7554887017943391,0.8894890013422357,0.22322338521480561,0.24751056730747223,0.28752997517585754,238.03957951068878
E16_g64_layer_functional,E,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E16_g64_layer_functional,E,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E16_g64_layer_functional,E,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E16_g64_layer_functional,E,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E32_g64_layer_functional,E,2,layer,0,33,-0.16635693319165604,0.20767147051779755,0.4721053516453393,0.4387066125869751,0.4743069112300873,0.5170438051223755,1.707620708271861
E32_g64_layer_functional,E,2,layer,4,41,-0.14504154299740124,0.16266966272748695,0.3924974250147344,0.4738816022872925,0.5165383219718933,0.5723536014556885,19.626488253474236
E32_g64_layer_functional,E,2,layer,20,39,0.05508079507333786,0.5398402396555613,0.7129525885375875,0.36598920822143555,0.5545549988746643,0.6307833075523377,7.978880561888218
E32_g64_layer_functional,E,2,layer,39,39,-0.14466256481158687,0.1796958038053721,0.44810624455309517,0.38672501444816587,0.4450863003730774,0.5105499148368836,816.801219701767
E32_g64_layer_functional,E,3,layer,0,33,0.5176811136968754,0.7690071943196635,0.856835605761773,0.2386699616909027,0.2633068859577179,0.29015766978263857,0.5466440790332854
E32_g64_layer_functional,E,3,layer,4,41,0.6101644341435735,0.754410262113647,0.8466205246880374,0.2579909563064575,0.2842349410057068,0.3247300684452057,5.4502350352704525
E32_g64_layer_functional,E,3,layer,20,39,0.6281068008635536,0.8454944390935292,0.9000668518630885,0.22840054333209991,0.3080296814441681,0.3481835782527924,2.6209208834916353
E32_g64_layer_functional,E,3,layer,39,39,0.5632030077350176,0.7133790660416024,0.8704210921555647,0.22066042125225066,0.24989545345306396,0.2870058178901672,232.77806389331818
E32_g64_layer_functional,E,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E32_g64_layer_functional,E,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E32_g64_layer_functional,E,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E32_g64_layer_functional,E,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E64_g64_layer_functional,E,2,layer,0,33,-0.24689034724345849,0.22996886918206527,0.4723934163633186,0.43051051497459414,0.46714451909065247,0.513393497467041,1.797072732821107
E64_g64_layer_functional,E,2,layer,4,41,-0.14971743463046816,0.13817478715277687,0.43859054988682733,0.47680985927581787,0.5100058317184448,0.5644252896308899,19.274697951972485
E64_g64_layer_functional,E,2,layer,20,39,0.0897194072414128,0.48995201776415864,0.7010199944574315,0.35773577690124514,0.5610650777816772,0.6210416078567504,8.048870407044888
E64_g64_layer_functional,E,2,layer,39,39,-0.024676672754387827,0.24273930907211205,0.4321860531021961,0.38071163296699523,0.44776439666748047,0.5075066924095154,720.0655083656311
E64_g64_layer_functional,E,3,layer,0,33,0.5704221308502461,0.7674491713479399,0.8563006156209283,0.236055988073349,0.26506122946739197,0.2854504406452179,0.5292924237437546
E64_g64_layer_functional,E,3,layer,4,41,0.5765877158841515,0.7595391589712506,0.8599855351607698,0.25096094608306885,0.28290778398513794,0.32345086336135864,5.31404560431838
E64_g64_layer_functional,E,3,layer,20,39,0.7062759142570293,0.8526361254475284,0.9146279577508174,0.2259768843650818,0.31049200892448425,0.3443025887012482,2.6452265409752727
E64_g64_layer_functional,E,3,layer,39,39,0.5264427005281116,0.7480650776169508,0.8840311827244003,0.21808674037456513,0.25079479813575745,0.28837246894836427,232.17693877220154
E64_g64_layer_functional,E,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E64_g64_layer_functional,E,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E64_g64_layer_functional,E,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
E64_g64_layer_functional,E,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline_pr4_2p25,baseline,2,layer,0,33,0.0,0.0,0.0,0.4970011591911316,0.5272329449653625,0.5787092685699463,2.3357318323105574
baseline_pr4_2p25,baseline,2,layer,4,41,0.0,0.0,0.0,0.5230369567871094,0.5568203926086426,0.5984494686126709,23.22304741293192
baseline_pr4_2p25,baseline,2,layer,20,39,0.0,0.0,0.0,0.6382133722305298,0.7888565063476562,0.9579081177711487,13.600762724876404
baseline_pr4_2p25,baseline,2,layer,39,39,0.0,0.0,0.0,0.4523398518562317,0.4916589856147766,0.5471498489379883,1192.1343350410461
baseline_pr4_2p25,baseline,3,layer,0,33,0.5082490577251725,0.6388270194837256,0.7468660799007223,0.28686774969100953,0.30891647934913635,0.3498899221420288,0.836531956680119
baseline_pr4_2p25,baseline,3,layer,4,41,0.4712977018703911,0.6496138950613028,0.7746448459889925,0.3111326992511749,0.33636853098869324,0.35744336247444153,8.595052681863308
baseline_pr4_2p25,baseline,3,layer,20,39,0.23048270905071522,0.6448650546379809,0.7341656021425902,0.3686189353466034,0.509741485118866,0.5944751501083374,5.416618168354034
baseline_pr4_2p25,baseline,3,layer,39,39,0.3451498585322027,0.6538171360206058,0.7960455349072483,0.26929734349250795,0.2948056757450104,0.33188154697418215,420.6678146123886
baseline_pr4_2p25,baseline,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline_pr4_2p25,baseline,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline_pr4_2p25,baseline,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
baseline_pr4_2p25,baseline,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
learned_16_leaf_scalar_global,learned_16_leaf,2,layer,0,33,-0.49642908473014447,-0.0982484519404998,0.11953844260517939,0.5334014892578125,0.5692284107208252,0.6053224325180053,2.6006548441946507
learned_16_leaf_scalar_global,learned_16_leaf,2,layer,4,41,-0.6186372049731357,-0.07437281496406967,0.19256012888174523,0.5504377484321594,0.5878123044967651,0.6184552311897278,26.463589310646057
learned_16_leaf_scalar_global,learned_16_leaf,2,layer,20,39,-1.3040049006209737,-0.13848063722914095,0.3204596118820912,0.6258713364601135,0.8075870871543884,0.952134370803833,15.785948127508163
learned_16_leaf_scalar_global,learned_16_leaf,2,layer,39,39,-0.4261992762140074,0.03325255523816184,0.32687743342735026,0.45951728224754335,0.4990844428539276,0.5398891568183899,1353.936360359192
learned_16_leaf_scalar_global,learned_16_leaf,3,layer,0,33,0.48357989209134244,0.65343937336459,0.786404905992797,0.26034748554229736,0.29061007499694824,0.3209676444530487,0.7393762739375234
learned_16_leaf_scalar_global,learned_16_leaf,3,layer,4,41,0.42555590248076824,0.6272111247486587,0.8397714756696371,0.2858612835407257,0.31322646141052246,0.3369128108024597,8.261315451934934
learned_16_leaf_scalar_global,learned_16_leaf,3,layer,20,39,0.6022709612890029,0.7052236175926622,0.865542185061478,0.3440934240818024,0.37444594502449036,0.42543649673461914,3.9446266293525696
learned_16_leaf_scalar_global,learned_16_leaf,3,layer,39,39,0.6150969973163884,0.7432633752237964,0.8296267655883529,0.24257396757602692,0.2691000699996948,0.3033281147480011,309.5504353046417
learned_16_leaf_scalar_global,learned_16_leaf,4,layer,0,33,0.8040376398556566,0.8969536474158556,0.9303377067130826,0.15794212818145753,0.1768956482410431,0.19024980664253235,0.2671853934880346
learned_16_leaf_scalar_global,learned_16_leaf,4,layer,4,41,0.8432110083467701,0.8971443284757816,0.946703934222241,0.1646152138710022,0.1754213124513626,0.18922516703605652,2.1768723158165812
learned_16_leaf_scalar_global,learned_16_leaf,4,layer,20,39,0.8843962836331402,0.9384022762815412,0.9658731372362794,0.17010953426361083,0.18033409118652344,0.20645151734352113,1.023559189401567
learned_16_leaf_scalar_global,learned_16_leaf,4,layer,39,39,0.7974439897045287,0.9150263194191028,0.9520561566954537,0.13089925348758696,0.14648455381393433,0.16047306060791017,113.38506183028221
A_vector_functional,A,2,expert_stratum,cold,14,-0.12182742575429373,0.03663485040476899,0.26707508570991734,0.47160920798778533,0.507963091135025,0.5885372877120972,442.2358146496117
A_vector_functional,A,2,expert_stratum,hot,112,-0.15858264968394503,0.10709270745427057,0.5029282536031542,0.4731196939945221,0.5346761643886566,0.6636045336723329,454.40412185899913
A_vector_functional,A,2,expert_stratum,median,26,-0.09421273435010158,0.16726179669494678,0.5716336157729339,0.46806004643440247,0.5160132348537445,0.5892070829868317,295.9552530795336
A_vector_functional,A,3,expert_stratum,cold,14,0.5284735113517863,0.8048009147344257,0.8607415059208673,0.22827694267034532,0.2764531075954437,0.3342597305774689,66.21546226553619
A_vector_functional,A,3,expert_stratum,hot,112,0.5511578986934729,0.7661218415661728,0.8813000124056853,0.24260825365781785,0.28131991624832153,0.3327078551054001,126.72375321015716
A_vector_functional,A,3,expert_stratum,median,26,0.6249866537202671,0.7786713526652118,0.8484038371349492,0.24039578437805176,0.2785220444202423,0.31846122443675995,87.980524469167
A_vector_functional,A,4,expert_stratum,cold,14,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional,A,4,expert_stratum,hot,112,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional,A,4,expert_stratum,median,26,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,2,expert_stratum,cold,14,-0.13303210379731245,0.06721207835816068,0.2652723790341731,0.48850683569908143,0.5084461569786072,0.6156010687351228,454.29718060418963
A_vector_functional_shrunk,A,2,expert_stratum,hot,112,-0.15145827523368008,0.09193083292889381,0.4574551679163253,0.47431292533874514,0.5331106185913086,0.6722407281398773,462.59921999275684
A_vector_functional_shrunk,A,2,expert_stratum,median,26,-0.10703487205495898,0.19665814960650801,0.47714747834402044,0.4876757711172104,0.5112917721271515,0.5844475030899048,287.6692035496235
A_vector_functional_shrunk,A,3,expert_stratum,cold,14,0.6520327194090683,0.8268993887195759,0.8585309677509972,0.23456065803766252,0.2739274352788925,0.3398126810789109,65.81892378721386
A_vector_functional_shrunk,A,3,expert_stratum,hot,112,0.5480345364646861,0.7593408152683111,0.8732137107501501,0.2422744333744049,0.2827252894639969,0.3321349173784256,130.54038023669273
A_vector_functional_shrunk,A,3,expert_stratum,median,26,0.6237469166618972,0.7882521817404641,0.8361110843808364,0.2493262141942978,0.28026655316352844,0.31700846552848816,87.16920735221356
A_vector_functional_shrunk,A,4,expert_stratum,cold,14,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,4,expert_stratum,hot,112,1.0,1.0,1.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,4,expert_stratum,median,26,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_cluster_functional,B,2,expert_stratum,cold,14,-0.039386079330396305,0.19657769793890334,0.6154454493418309,0.3093753308057785,0.4913366585969925,0.5646796941757203,155.61565314792097
