candidate,design,objective,sharing,projection,split,level,count,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,median_damage,p90_damage,summed_damage,median_own_recovery
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,validation,2,135,0.1626037299633026,0.2567097544670105,0.31123974919319153,1.989801549911499,11.524443626403809,136.49711608886722,5891.766673207283,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,validation,3,135,0.05547372251749039,0.12990039587020874,0.15861999988555908,0.5102761507034301,3.0758097171783447,17.18705520629883,986.1586202681065,0.7583363056182861
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,test,2,152,0.19529533982276917,0.3163280040025711,0.40242605805397036,1.961294412612915,10.66113567352295,45.48917694091797,2705.4161661863327,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,test,3,152,0.09291037991642952,0.16344854980707169,0.20904088020324707,0.4708772122859955,2.9146244525909424,10.479402446746827,648.3154872357845,0.740648090839386
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,train,2,258,0.198610420525074,0.3225238472223282,0.39388933777809143,1.9940565586090089,10.759162425994873,47.42370529174805,4677.244248151779,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,train,3,258,0.09030697792768479,0.16421876847743988,0.20675405263900756,0.48803610503673556,2.9450725317001343,10.338172149658204,1091.9628272354603,0.7419803142547607
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,validation,2,135,0.20280300974845886,0.3287101089954376,0.4020828664302826,1.9273752212524413,10.562273025512695,51.917448425292974,2624.9143167734146,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,validation,3,135,0.08899177014827728,0.16897670924663544,0.2084147185087204,0.4747645676136017,2.7710320949554443,10.552680969238281,597.0785291790962,0.7429020404815674
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,up,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,test,2,152,0.293841752409935,0.33223700523376465,0.36483755707740784,0.019410021044313906,0.08871591463685036,7.189120674133301,323.4973179567605,0.0
B16_g32_cluster_functional,B,expert_functional_proxy,cluster_projection,down,test,3,152,0.16460802704095842,0.18521983176469803,0.2002975359559059,0.007050884421914816,0.03599410876631737,2.5239938497543344,108.27677257382311,0.6535986065864563
