candidate,design,level,stratification,stratum,count,p10_relative_error,median_relative_error,p90_relative_error,summed_damage,median_own_recovery
A_vector_functional_shrunk,A,3,block_scale_bin,median,163,0.13155208230018617,0.18735960125923157,0.20495295226573945,206.1346934759058,0.7305638194084167
A_vector_functional_shrunk,A,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,2,block_scale_bin,high,152,0.14672434478998184,0.19145304709672928,0.3282884210348129,6842.645439445972,0.0
B16_g32_cluster_functional,B,2,block_scale_bin,low,141,0.24295830726623535,0.29951906204223633,0.3697856366634369,583.523310768418,0.0
B16_g32_cluster_functional,B,2,block_scale_bin,median,163,0.2337454468011856,0.3133801817893982,0.3570182740688324,629.8615289917216,0.0
B16_g32_cluster_functional,B,3,block_scale_bin,high,152,0.04623577855527401,0.1001277007162571,0.18313941955566407,1241.819842763245,0.7259297966957092
B16_g32_cluster_functional,B,3,block_scale_bin,low,141,0.1321343332529068,0.16655468940734863,0.20466996729373932,184.1626613868866,0.6983674764633179
B16_g32_cluster_functional,B,3,block_scale_bin,median,163,0.13028282523155213,0.1771620661020279,0.19759831726551055,201.28089880384505,0.6994386315345764
B16_g32_cluster_functional,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_cluster_functional,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,2,block_scale_bin,high,152,0.11933551505208015,0.1905011609196663,0.3294472575187683,5438.84062024951,0.0
B16_g32_expert_functional,B,2,block_scale_bin,low,141,0.23915031552314758,0.2974238395690918,0.3656504452228546,563.7483771853149,0.0
B16_g32_expert_functional,B,2,block_scale_bin,median,163,0.22955020964145662,0.3148500621318817,0.35742367506027223,613.932019745931,0.0
B16_g32_expert_functional,B,3,block_scale_bin,high,152,0.04348869360983372,0.09961419552564621,0.1839405283331871,1186.0272348374128,0.7316010594367981
B16_g32_expert_functional,B,3,block_scale_bin,low,141,0.12649232149124146,0.16439306735992432,0.20361049473285675,171.36793904937804,0.6960389614105225
B16_g32_expert_functional,B,3,block_scale_bin,median,163,0.12328123450279235,0.17762699723243713,0.1996651262044907,187.14636242529377,0.697543740272522
B16_g32_expert_functional,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_expert_functional,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_activation,B,2,block_scale_bin,high,152,0.11297270059585571,0.19036543369293213,0.33135254979133605,5213.218888163567,0.0
B16_g32_global_activation,B,2,block_scale_bin,low,141,0.2408856302499771,0.291750967502594,0.36347055435180664,568.3907030792907,0.0
B16_g32_global_activation,B,2,block_scale_bin,median,163,0.22733790278434754,0.3169497549533844,0.3616955399513245,603.9517917763442,0.0
B16_g32_global_activation,B,3,block_scale_bin,high,152,0.042591269314289096,0.10134920477867126,0.19464015513658522,1208.6861324608326,0.7188843488693237
B16_g32_global_activation,B,3,block_scale_bin,low,141,0.13607871532440186,0.1639581322669983,0.20574699342250824,185.59980461047962,0.6875565052032471
B16_g32_global_activation,B,3,block_scale_bin,median,163,0.12870050966739655,0.18020784854888916,0.21197630763053896,194.0501935039647,0.6795139312744141
B16_g32_global_activation,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_activation,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_activation,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional,B,2,block_scale_bin,high,152,0.13295493721961976,0.19237762689590454,0.3334889352321625,6105.539074957371,0.0
B16_g32_global_functional,B,2,block_scale_bin,low,141,0.2414291948080063,0.29784509539604187,0.3696518540382385,582.3931131502613,0.0
B16_g32_global_functional,B,2,block_scale_bin,median,163,0.23396469056606292,0.31578329205513,0.36319175958633426,626.9509032834321,0.0
B16_g32_global_functional,B,3,block_scale_bin,high,152,0.04307481609284878,0.1001647487282753,0.19669236838817597,1228.272198021412,0.7228524088859558
B16_g32_global_functional,B,3,block_scale_bin,low,141,0.13505972921848297,0.17200283706188202,0.20684714615345,192.38137108180672,0.6882915496826172
B16_g32_global_functional,B,3,block_scale_bin,median,163,0.1328273147344589,0.179865300655365,0.21194387674331666,202.71811841242015,0.68984454870224
B16_g32_global_functional,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p0,B,2,block_scale_bin,high,152,0.13069697916507722,0.19291238486766815,0.3318700075149536,5972.080796122551,0.0
B16_g32_global_functional_eps_0p0,B,2,block_scale_bin,low,141,0.2433306723833084,0.3003040850162506,0.3679688572883606,577.8842483926564,0.0
B16_g32_global_functional_eps_0p0,B,2,block_scale_bin,median,163,0.23217181265354156,0.3158634305000305,0.36578021049499515,626.5369081310928,0.0
B16_g32_global_functional_eps_0p0,B,3,block_scale_bin,high,152,0.043277497962117197,0.10147607326507568,0.1969643667340279,1220.5179702490568,0.7241237163543701
B16_g32_global_functional_eps_0p0,B,3,block_scale_bin,low,141,0.13609081506729126,0.16782793402671814,0.20719978213310242,186.5522788045928,0.6908507347106934
B16_g32_global_functional_eps_0p0,B,3,block_scale_bin,median,163,0.1323365569114685,0.18179598450660706,0.2115905165672302,202.97543157683685,0.6854960918426514
B16_g32_global_functional_eps_0p0,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p0,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p0,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p001,B,2,block_scale_bin,high,152,0.14501987993717194,0.193459615111351,0.33148389458656313,6813.286241278052,0.0
B16_g32_global_functional_eps_0p001,B,2,block_scale_bin,low,141,0.24369245767593384,0.2991812229156494,0.37038132548332214,581.287601553835,0.0
B16_g32_global_functional_eps_0p001,B,2,block_scale_bin,median,163,0.2329873889684677,0.31432482600212097,0.3620721161365509,628.5906769409776,0.0
B16_g32_global_functional_eps_0p001,B,3,block_scale_bin,high,152,0.04530560523271561,0.10095265507698059,0.19512667655944826,1267.269048370421,0.721817135810852
B16_g32_global_functional_eps_0p001,B,3,block_scale_bin,low,141,0.1350899338722229,0.16653147339820862,0.2082146555185318,188.44065621262416,0.6913213133811951
B16_g32_global_functional_eps_0p001,B,3,block_scale_bin,median,163,0.13292505741119384,0.18062596023082733,0.21110442876815796,204.18909162748605,0.6892068386077881
B16_g32_global_functional_eps_0p001,B,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p001,B,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p001,B,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
B16_g32_global_functional_eps_0p0025,B,2,block_scale_bin,high,152,0.13115020096302032,0.19250459223985672,0.3338435888290405,6017.839541330934,0.0
B16_g32_global_functional_eps_0p0025,B,2,block_scale_bin,low,141,0.2441328912973404,0.29822254180908203,0.3704516291618347,580.1770697822794,0.0
B16_g32_global_functional_eps_0p0025,B,2,block_scale_bin,median,163,0.23381823301315308,0.3149970471858978,0.3625093221664429,626.7090074773878,0.0
B16_g32_global_functional_eps_0p0025,B,3,block_scale_bin,high,152,0.04318324141204357,0.09983165934681892,0.19675079584121705,1233.0943623632193,0.7238897979259491
B16_g32_global_functional_eps_0p0025,B,3,block_scale_bin,low,141,0.1345384269952774,0.16707314550876617,0.20755819976329803,186.5480008458253,0.6902260780334473
