candidate,design,packet,budget_bpw,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_own_recovery,median_own_recovery,p90_own_recovery,p10_damage,median_damage,p90_damage,median_logical_bpw,median_physical_bpw,median_page_amplification,median_gate_bytes,median_up_bytes,median_down_bytes,median_gate_q2_q3,median_up_q2_q3,median_down_q2_q3,median_gate_q3_q4,median_up_q3_q4,median_down_q3_q4
B16_g32_global_functional_eps_0p01,B,paired,2.0,152,0.9999999999987336,0.9999999999993485,0.9999999999996557,0.9999999999980143,0.9999999999990073,0.9999999999994997,3.0002781807375246e-14,2.5356945005088755e-13,1.4682407806915216e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
B16_g32_global_functional_eps_0p01,B,separate,0.25,152,0.555720112616384,0.699761738983725,0.8444060417460082,0.3980435158518774,0.5945070893443533,0.7004148890181215,0.013758923951536418,0.09631170704960823,6.245187711715698,0.25,0.25,1.0,32768.0,32768.0,32768.0,448.0,448.0,88.0,44.0,40.0,48.0
B16_g32_global_functional_eps_0p01,B,separate,0.5,152,0.7210325799680501,0.8341620331117225,0.9198919758742184,0.6330388678667299,0.7670300584674875,0.847180380684844,0.007219056459143758,0.06066353805363178,4.00933222770691,0.5,0.5,1.0,65536.0,65536.0,65536.0,832.0,864.0,161.0,128.0,144.0,106.0
B16_g32_global_functional_eps_0p01,B,separate,0.75,152,0.8248388769821634,0.8976445037530684,0.9519299987147476,0.741921680603641,0.8538685318658745,0.9105809183959721,0.005009393021464348,0.04076040908694267,2.725336170196534,0.75,0.75,1.0,65536.0,98304.0,98304.0,916.0,1216.0,230.0,192.0,320.0,164.0
B16_g32_global_functional_eps_0p01,B,separate,1.0,152,0.8794816475420615,0.9415435149432494,0.9697399051388464,0.839625000044519,0.9063962481053078,0.9456165131054513,0.0027646168135106565,0.02357251290231943,1.53338897228241,1.0,1.0,1.0,98304.0,131072.0,131072.0,1268.0,1552.0,287.0,372.0,552.0,216.0
B16_g32_global_functional_eps_0p01,B,separate,1.25,152,0.9287989442867576,0.9607281805176271,0.9818841846285009,0.9031079413082104,0.9416243125781272,0.9689391006501835,0.0016215970506891608,0.016542213037610054,1.0519065618515016,1.25,1.25,1.0,163840.0,180224.0,131072.0,1712.0,1836.0,304.0,788.0,992.0,250.0
B16_g32_global_functional_eps_0p01,B,separate,1.5,152,0.957635466475976,0.9781715536884288,0.9899003351559438,0.9388204457974186,0.9658298002306562,0.9842683509008489,0.0007893747941125185,0.009111183229833841,0.5972031891345978,1.5,1.5,1.0,229376.0,229376.0,163840.0,1996.0,2024.0,350.0,1560.0,1584.0,290.0
B16_g32_global_functional_eps_0p01,B,separate,2.0,152,0.9999999999987336,0.9999999999993485,0.9999999999996557,0.9999999999980143,0.9999999999990073,0.9999999999994997,3.0002781807375246e-14,2.5356945005088755e-13,1.4682407806915216e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
C8_g32_layer_functional,C,paired,0.25,152,0.6018059170423753,0.7538367914050371,0.8736871294139956,0.49658100124864674,0.6592876130144005,0.7832286173031032,0.011065955553203822,0.08642491325736046,6.413759708404543,0.25,0.25,1.0,32768.0,32768.0,32768.0,256.0,256.0,64.0,256.0,256.0,64.0
C8_g32_layer_functional,C,paired,0.5,152,0.7786684114066064,0.8757061523459848,0.9356107238036734,0.7173074195609604,0.8214555686323366,0.9065029869515541,0.004828659351915121,0.04746880754828453,3.409954690933228,0.5,0.5,1.0,65536.0,65536.0,65536.0,512.0,512.0,128.0,512.0,512.0,128.0
C8_g32_layer_functional,C,paired,0.75,152,0.8597673742585199,0.926789606644506,0.9655860058601373,0.8286489188077796,0.8973018960194028,0.9434966569570019,0.0031547250226140024,0.026577373035252094,2.209932565689089,0.75,0.75,1.0,98304.0,98304.0,98304.0,768.0,768.0,192.0,768.0,768.0,192.0
C8_g32_layer_functional,C,paired,1.0,152,0.9138444868001291,0.9560159468337235,0.9786443385945459,0.886899236872095,0.938885374793486,0.9655193725721793,0.002015517675317824,0.017492013983428478,1.2968814015388492,1.0,1.0,1.0,131072.0,131072.0,98304.0,1024.0,1024.0,192.0,1024.0,1024.0,192.0
C8_g32_layer_functional,C,paired,1.25,152,0.9451558789885685,0.9692650941225335,0.9871759826487042,0.9211779517970363,0.9596788597848678,0.9784511223623935,0.0012732788338325918,0.011815472040325403,0.8187445521354676,1.25,1.25,1.0,163840.0,196608.0,131072.0,1280.0,1536.0,256.0,1280.0,1536.0,256.0
C8_g32_layer_functional,C,paired,1.5,152,0.9692302205438601,0.9851505801186209,0.9974066727092261,0.955539885113913,0.9789647090760321,0.9966273451171683,0.00014442029641941191,0.006795440334826708,0.3796163320541382,1.5,1.5,1.0,262144.0,262144.0,131072.0,2048.0,2048.0,256.0,2048.0,2048.0,256.0
C8_g32_layer_functional,C,paired,2.0,152,0.9999999999977077,0.9999999999989735,0.9999999999994429,0.9999999999966653,0.9999999999985472,0.9999999999992241,5.95171603516055e-14,4.1272432520222946e-13,2.1416654734374153e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
C8_g32_layer_functional,C,separate,0.25,152,0.552859052987272,0.70186118526948,0.8356530419517898,0.4200356849448844,0.5966762697284179,0.7344484077528889,0.01294420948252082,0.11261452361941338,7.1970838069915795,0.25,0.25,1.0,32768.0,32768.0,32768.0,432.0,456.0,93.0,32.0,44.0,46.0
