mean_budget_pages_per_expert,charged_bpw,injection_layer,observation_layer,layer_distance,requests,sequence_tokens,injected_positions,realized_delta_energy_all_tokens,hidden_error_energy_all_tokens,propagation_coefficient_all_tokens,propagation_coefficient_captured_positions,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_churn,route_top1_agreement,route_ordered_top8_agreement,baseline_capture_hidden_mse,baseline_capture_hidden_max_abs,baseline_capture_route_churn
749,0.9987386067708334,22,38,16,3,44,32,0.00040523998935591203,0.14691640057770367,362.54171462992196,277.08236054355626,7.173652371958187e-05,0.000696881760052788,0.00031715923956316343,0.0001442719982950629,0.028409090909090908,1.0,0.5681818181818182,0.00010550223321491681,0.15625,0.014204545454545444
749,0.9987386067708334,22,39,17,3,44,32,0.00040523998935591203,0.1820737097904467,449.29847639132174,345.3910629072886,8.890317860861656e-05,0.0007799170707417174,0.0003592791076171856,0.00015307324696119405,0.017045454545454544,0.9772727272727273,0.6363636363636364,0.00013009497668809382,0.21875,0.014204545454545463
749,0.9987386067708334,23,23,0,3,44,32,0.00037573455652424717,0.00037573455652424717,1.0,1.0,1.8346413892785506e-07,2.077148881651591e-05,1.4295119086061747e-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0
749,0.9987386067708334,23,24,1,3,44,32,0.00037573455652424717,0.000566753863081844,1.5083889763151712,1.4204386592040108,2.7673528470793163e-07,3.249250188560104e-05,2.170862101277563e-06,5.990345470571282e-05,0.005681818181818172,1.0,0.8409090909090909,3.831649586707251e-07,0.015625,0.002840909090909091
749,0.9987386067708334,23,25,2,3,44,32,0.00037573455652424717,0.002303617218372396,6.130969798684826,2.635850413850334,1.1248130949083965e-06,0.00011671321637506234,8.939448223378342e-06,6.957222323005597e-05,0.008522727272727276,0.9772727272727273,0.8636363636363636,2.214249323784223e-06,0.03125,0.008522727272727276
749,0.9987386067708334,23,26,3,3,44,32,0.00037573455652424717,0.002855098023908133,7.598710244592278,4.130453901353708,1.3940908319863932e-06,0.00010370896783055247,1.0096756619299883e-05,9.10642185044607e-05,0.011363636363636355,1.0,0.7727272727272727,2.3214370072708523e-06,0.078125,0.005681818181818162
749,0.9987386067708334,23,27,4,3,44,32,0.00037573455652424717,0.004785096994158845,12.735312499397562,8.520629560019447,2.3364731416791234e-06,0.00021707523934118538,1.7840007522630273e-05,0.00010017231245037216,0.017045454545454537,1.0,0.7045454545454546,4.308536705632804e-06,0.0390625,0.019886363636363646
749,0.9987386067708334,23,28,5,3,44,32,0.00037573455652424717,0.005220387158508608,13.893816972279797,9.83365065147765,2.5490171672405313e-06,0.00020301685046272358,1.8942368906099176e-05,0.00011161812713873747,0.002840909090909091,1.0,0.9090909090909091,4.173660636248981e-06,0.03125,0.002840909090909081
749,0.9987386067708334,23,29,6,3,44,32,0.00037573455652424717,0.006063497456621421,16.137715712688586,11.435087952498433,2.9606921174909284e-06,0.00021885522402019227,2.1944808423937394e-05,0.00010665068087348807,0.002840909090909081,1.0,0.9090909090909091,4.763861710645821e-06,0.0390625,0.008522727272727263
749,0.9987386067708334,23,30,7,3,44,32,0.00037573455652424717,0.008172021307969275,21.749453613117197,15.136931295077277,3.9902447792818725e-06,0.00020037148913094646,2.7062098267991644e-05,0.0001108137512633198,0.008522727272727286,1.0,0.7045454545454546,8.16860999383354e-06,0.0625,0.014204545454545458
749,0.9987386067708334,23,31,8,3,44,32,0.00037573455652424717,0.01246389015531432,33.172062401212735,22.693026862648903,6.0858838648995705e-06,0.0003487723290169377,0.0001738920671396562,0.00011593237986980437,0.011363636363636343,0.9772727272727273,0.7954545454545454,1.3468305211821791e-05,0.0390625,0.014204545454545458
749,0.9987386067708334,23,32,9,3,44,32,0.00037573455652424717,0.019433882476732833,51.7223719226334,39.054218608688096,9.489200428092204e-06,0.0005020223203017495,0.0002320364211563382,0.0001221172053362803,0.03977272727272727,0.9772727272727273,0.4772727272727273,1.9094087316837907e-05,0.0625,0.03124999999999999
749,0.9987386067708334,23,33,10,3,44,32,0.00037573455652424717,0.022207358771662588,59.103849741937395,44.61071337195978,1.0843436900225873e-05,0.0004098620322370613,0.00019310212678727315,0.00012651614962031247,0.017045454545454548,0.9545454545454546,0.6363636363636364,2.1837712269762672e-05,0.0625,0.017045454545454548
749,0.9987386067708334,23,34,11,3,44,32,0.00037573455652424717,0.03449432609572382,91.80504027847599,71.63354126335092,1.6842932663927648e-05,0.00031275787322157744,0.0001476526597167541,0.00012373826979631216,0.014204545454545463,0.9545454545454546,0.75,2.864348288963728e-05,0.125,0.011363636363636381
749,0.9987386067708334,23,35,12,3,44,32,0.00037573455652424717,0.0380178076226333,101.1826220465828,82.44946637056754,1.8563382628238916e-05,0.0005100171425338421,0.00023242869202628645,0.00013369514918615535,0.02272727272727275,0.9545454545454546,0.5909090909090909,3.8002923537757994e-05,0.078125,0.019886363636363657
749,0.9987386067708334,23,36,13,3,44,32,0.00037573455652424717,0.06003941981320664,159.79211592514815,133.68900227174407,2.9316122955667303e-05,0.0006682541601714621,0.00031792929757538566,0.0001254999460658011,0.019886363636363622,1.0,0.75,5.219394226233217e-05,0.109375,0.019886363636363657
