layer,expert_id,projection,bits,relative_atom_mse,observed_master_prefix_levels
4,193,gate,16,8.507374249511201e-10,58531
4,193,up,2,0.8862512707710266,4
4,193,up,4,0.05569867789745331,16
4,193,up,8,0.0002169533254345879,256
4,193,up,16,8.278921437288034e-10,58369
4,193,down,2,2.6480748653411865,4
4,193,down,4,0.16457295417785645,16
4,193,down,8,0.0006386497407220304,256
4,193,down,16,2.4489563710261564e-09,41297
4,220,gate,2,0.8719390630722046,4
4,220,gate,4,0.05448470264673233,16
4,220,gate,8,0.0002112323563778773,256
4,220,gate,16,7.942175250796879e-10,58372
4,220,up,2,0.9026150703430176,4
4,220,up,4,0.05624677240848541,16
4,220,up,8,0.00022045723744668067,256
4,220,up,16,8.468860057675442e-10,58331
4,220,down,2,2.6212964057922363,4
4,220,down,4,0.16265885531902313,16
4,220,down,8,0.0006300493259914219,256
4,220,down,16,2.423408806961902e-09,41577
4,252,gate,2,1.088427186012268,4
4,252,gate,4,0.07032829523086548,16
4,252,gate,8,0.0002778467896860093,256
4,252,gate,16,1.0275666983972087e-09,58322
