resident_base,layer,projection,budget_bpw,invocations,recovery_median,relative_output_error_median,base_damage_median
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.75,111,0.8529892220068062,0.18757350742816925,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,1.0,111,0.9053446262193963,0.15469786524772644,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,1.25,111,0.9468142340742512,0.11592748016119003,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,1.5,111,0.9598364030576917,0.1000620648264885,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,2.0,111,0.9691243346775664,0.08717826753854752,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,2.5,111,0.9844415757221092,0.06367860734462738,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,3.0,111,0.9907383628966312,0.050098881125450134,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,4.0,111,0.9945361700011989,0.03788575530052185,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.0,136,0.0,0.5978128612041473,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.05,136,0.12406624336350913,0.5732288658618927,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.1,136,0.2356894888688557,0.5459854006767273,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.2,136,0.32993726157294495,0.5100540518760681,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.3,136,0.3717201348983611,0.5024479329586029,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.5,136,0.4477052948777848,0.47418855130672455,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,0.75,136,0.4953496798980473,0.4470711797475815,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,1.0,136,0.5443017754476627,0.4330247491598129,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,1.25,136,0.5935838609139323,0.4111369401216507,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,1.5,136,0.6062353186940022,0.3950965404510498,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,2.0,136,0.6836547614409816,0.35375258326530457,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,2.5,136,0.743366496551269,0.31877100467681885,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,3.0,136,0.8097679172331885,0.27996984124183655,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,down,4.0,136,0.9212984607121656,0.17234116792678833,1.0456401823682282
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.0,136,0.0,0.41817332804203033,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.05,136,0.37533640507048943,0.3279568701982498,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.1,136,0.4300411573550041,0.3165031522512436,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.2,136,0.46079989807562144,0.30597759783267975,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.3,136,0.4776014480535128,0.3012981712818146,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.5,136,0.5179960421299459,0.2865579277276993,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,0.75,136,0.5497982396706098,0.27697885036468506,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,1.0,136,0.5820587877381178,0.268786296248436,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,1.25,136,0.5970837949550419,0.2633746862411499,58.10820740709414
activation-aware-scale W1 (1.250488 resident bpw),20,gate,1.5,136,0.6215657086816205,0.25670404732227325,58.10820740709414
