projection,method,physical_budget_bpw,invocations,requests,mean,ci_low,ci_high,median,p10,p25,p75,p90,p95,p99,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
up,learned_s11,0.5,400,16,0.5350503732663265,0.4960429363332311,0.5804260497693843,0.5147488109468077,0.2625638587894157,0.37204089817902053,0.7193347421024309,0.8268346631581895,0.8872475869946451,0.9156864363119448,0.1425,0.0325,0.0,0.0
up,learned_s11,1.0,400,16,0.6059324593300258,0.5610121618742441,0.6519219636125766,0.5749567919151983,0.34246201599707954,0.44130888759124676,0.804035322366845,0.8959783211140399,0.9415502235898384,0.9529207048868812,0.26,0.09,0.0325,0.0
up,learned_s29,0.1,400,16,0.3720402381610286,0.3421444187785197,0.40464593602827115,0.3489368648410949,0.12733425678728047,0.2308005017466192,0.5052256029761926,0.6350247391273988,0.7372907738125573,0.8016227107324257,0.0125,0.0,0.0,0.0
up,learned_s29,0.2,400,16,0.4389630827165893,0.4051405094824383,0.4769764975294973,0.4168795147104742,0.17934941752222983,0.28123045128678326,0.5954951358580928,0.7391864191101895,0.7759627473099459,0.8461811445429092,0.04,0.0,0.0,0.0
up,learned_s29,0.5,400,16,0.5333204608819431,0.4900449623967627,0.5758999434108254,0.5068087621929414,0.27272932488906587,0.3641977077296507,0.723192365477366,0.8283406315121338,0.8695795099953231,0.9050931491878718,0.145,0.02,0.0,0.0
up,learned_s29,1.0,400,16,0.6062275268253127,0.5621748082390534,0.6516522717587305,0.5721085398024744,0.3378184588980106,0.44074128764084386,0.8043870615553016,0.9004519171674846,0.9277254317741556,0.9444840732735721,0.2575,0.1025,0.005,0.0
up,learned_s47,0.1,400,16,0.3671053124632415,0.3326069749111542,0.4002937373610586,0.352628669837247,0.13218705201818806,0.22742564886781727,0.4832822159360626,0.6151731862569031,0.7363516970358029,0.7966727070226173,0.01,0.0,0.0,0.0
up,learned_s47,0.2,400,16,0.4347257968567098,0.3972662708615456,0.4785746567267768,0.41723989256847277,0.1778155273792527,0.27847892728688683,0.5953851581487067,0.7210466776693332,0.7718525046452615,0.8557713083908443,0.035,0.0,0.0,0.0
up,learned_s47,0.5,400,16,0.5345232543323941,0.49335153421872235,0.583028029611756,0.5084186136769411,0.2613551947040847,0.36352399636750965,0.7235791899542463,0.836893943025131,0.8588538533234873,0.9109515881241997,0.1525,0.02,0.0,0.0
up,learned_s47,1.0,400,16,0.6061027774300934,0.5644944186439652,0.6541630248679138,0.5716245179049426,0.33504556506990874,0.43614073369925743,0.8073235356099403,0.9050528824562908,0.9262985414288636,0.9465145065791107,0.27,0.1125,0.0075,0.0
up,native,0.1,400,16,0.09350689009067718,0.08395586876820015,0.1077085308246948,0.07588464571231768,0.030918460129826665,0.050209124017887935,0.12255157912864237,0.18841150344873903,0.21447712296398563,0.2691513698680599,0.0,0.0,0.0,0.0
up,native,0.2,400,16,0.14136839115535638,0.12640890189633625,0.16018607439401694,0.11477798578476367,0.058631456283701935,0.0853181868958661,0.18173040836754562,0.26447726936985716,0.3051815343287599,0.3792598802742947,0.0,0.0,0.0,0.0
up,native,0.5,400,16,0.2336286717288444,0.2136812553620129,0.2625022588715863,0.1945155842292885,0.11999311173270977,0.1507469926512392,0.299339266206296,0.41237935135336556,0.4602578248929268,0.5356086303347196,0.0,0.0,0.0,0.0
up,native,1.0,400,16,0.31971413890323797,0.2966430881914848,0.3492763723701443,0.26923401289287313,0.19712498421561542,0.2232291142496117,0.39507794149638287,0.5282762037865381,0.568617021561244,0.6426963755708649,0.0,0.0,0.0,0.0
up,overcomplete_2x,0.1,400,16,0.3598806377804258,0.3293512865856138,0.3919782364855405,0.346163503792128,0.11723156056467435,0.21761409779832716,0.47868372331960796,0.617035489522062,0.7173832964329805,0.7871900183937414,0.005,0.0,0.0,0.0
up,overcomplete_2x,0.2,400,16,0.41992569567908306,0.3805026821340941,0.45633616108012187,0.40289087189984557,0.16519026298737124,0.2636190281429183,0.567967970378982,0.7218599110317215,0.7694956325177712,0.8319981656112909,0.03,0.0,0.0,0.0
up,overcomplete_2x,0.5,400,16,0.5037116107308961,0.46445701223727137,0.5480279393213334,0.4939073856575731,0.23460208863331883,0.34496570265132187,0.6598525414319627,0.7907242382611617,0.8423636038898865,0.8941850483370481,0.0875,0.0075,0.0,0.0
