resident_base,method,budget_bpw,invocations,requests,mean_recovery,mean_ci_low,mean_ci_high,median_recovery,median_ci_low,median_ci_high,p10_recovery,p90_recovery,p95_damage_fraction,p99_damage_fraction,relative_output_error_median,actual_physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
W1_1.250488bpw,global_multi_view_oracle,1.0,167,16,0.7034806998564215,0.6489721782125945,0.7541726099015413,0.7100307732201266,0.6075456906034626,0.7748119178388502,0.4523011059426891,0.9567339786348377,0.5833448207230594,0.6459968388515116,0.5735862851142883,0.9791666666666666,0.75,0.75,1.46875,0.3712574850299401,0.19760479041916168,0.11377245508982035,0.005988023952095809
W1_1.250488bpw,global_multi_view_oracle,1.25,167,16,0.7329761409179629,0.6805782037066938,0.7829571271396005,0.7417134422917144,0.6361269439467689,0.8253662674218188,0.47852519824831574,0.9670361570994079,0.5500281064768571,0.6150310227253364,0.5448412895202637,1.2395833333333333,0.75,1.0,1.96875,0.41916167664670656,0.2634730538922156,0.16167664670658682,0.041916167664670656
W1_1.250488bpw,global_multi_view_oracle,1.5,167,16,0.7620163081948111,0.7111405524864041,0.8116088219783996,0.7689550923430792,0.6697791872292294,0.871552542193166,0.5170988852832032,0.9757140450347165,0.5135651038604416,0.561291839724805,0.5094991326332092,1.4895833333333333,1.0,1.25,2.0,0.46107784431137727,0.2994011976047904,0.2155688622754491,0.04790419161676647
W1_1.250488bpw,global_multi_view_oracle,2.0,167,16,0.8040229626239644,0.7558739228188261,0.8442175524319404,0.8195057592115297,0.7375607565919935,0.9009901660111563,0.5781815258089092,0.9860829689797421,0.45600486265287893,0.492499394169395,0.460246741771698,1.9895833333333333,1.5,1.46875,2.5,0.5329341317365269,0.3592814371257485,0.2754491017964072,0.0658682634730539
W1_1.250488bpw,global_multi_view_oracle,2.5,167,16,0.8364242523792259,0.7947031752404877,0.8733671575659397,0.8528112347709589,0.7927719038721592,0.9300861311456179,0.6268401934274306,0.9918904873855731,0.40239946451481506,0.42662291448622286,0.413781076669693,2.4895833333333335,2.0,2.0,3.0,0.5748502994011976,0.40119760479041916,0.31137724550898205,0.1317365269461078
W1_1.250488bpw,global_multi_view_oracle,3.0,167,16,0.8615790755163406,0.8254582102129348,0.8938366414966176,0.8910626395034134,0.8215012630618908,0.9453849468860895,0.6768390730677447,0.9947223012941564,0.34715664622664394,0.3840365854345751,0.36046329140663147,2.9895833333333335,2.5,2.5,4.0,0.6646706586826348,0.46107784431137727,0.33532934131736525,0.18562874251497005
W1_1.250488bpw,global_multi_view_oracle,4.0,167,16,0.8955590693716127,0.8710496772138379,0.9202410321994271,0.9151684069593329,0.8697768353854185,0.9559421964437935,0.7610096912179479,0.9966037169442264,0.28335036924332974,0.325525460255423,0.3048897385597229,4.0,4.0,4.0,4.0,0.8203592814371258,0.5508982035928144,0.3772455089820359,0.2155688622754491
W1_1.250488bpw,learned_learned_native,0.0,167,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8363089561462402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_1.250488bpw,learned_learned_native,0.25,167,16,0.4732518769575794,0.4141089747123308,0.5315027474233971,0.4562093906090533,0.38238418499249993,0.5252921248721216,0.23985150896547403,0.7821746039619054,0.844455857752636,0.9085211206802518,0.6818995475769043,0.22916666666666666,0.09375,0.09375,0.46875,0.09580838323353294,0.023952095808383235,0.005988023952095809,0.0
W1_1.250488bpw,learned_learned_native,0.5,167,16,0.5580743461433463,0.5034806381510906,0.6121656672784831,0.5495649619410287,0.4652776832070013,0.6354784857283837,0.3098369514678889,0.8604783890338724,0.7281713345011959,0.8424053084696503,0.6527267694473267,0.4791666666666667,0.1875,0.28125,0.75,0.1497005988023952,0.07784431137724551,0.017964071856287425,0.0
