projection,method,threshold,invocations,requests,reach_fraction_by_4bpw,reach_fraction_ci_low,reach_fraction_ci_high,mean_required_bpw_capped_at_4,mean_capped_ci_low,mean_capped_ci_high,median_required_bpw,median_capped_ci_low,median_capped_ci_high,p75_required_bpw,p90_required_bpw,p95_required_bpw,p99_required_bpw,finite_mean_conditional
gate,two_view_oracle,0.99,400,16,0.1725,0.11841278762232213,0.2407127831785247,3.9025,3.8644212662806927,3.94333814277433,inf,4.0,4.0,inf,inf,inf,inf,3.4347826086956523
up,generalized,0.8,400,16,0.4225,0.33561733838962876,0.5335687092661442,2.790546875,2.433961949297744,3.0537296146437036,inf,3.0,4.0,inf,inf,inf,inf,1.137389053254438
up,generalized,0.9,400,16,0.29,0.22359752874322716,0.3819455227743271,3.240625,2.976645168263661,3.4372941300675675,inf,4.0,4.0,inf,inf,inf,inf,1.3814655172413792
up,generalized,0.95,400,16,0.2375,0.17154046768502487,0.3298046614535976,3.495,3.2981450028406405,3.6501461038961036,inf,4.0,4.0,inf,inf,inf,inf,1.8736842105263158
up,generalized,0.975,400,16,0.2225,0.15512695023570486,0.30488552535389113,3.72,3.607838031045752,3.8160953830960413,inf,4.0,4.0,inf,inf,inf,inf,2.741573033707865
up,generalized,0.99,400,16,0.1175,0.07786788586452212,0.1692843100791669,3.95375,3.929845750979475,3.9764899294229714,inf,4.0,4.0,inf,inf,inf,inf,3.606382978723404
up,learned_s11,0.8,400,16,0.385,0.3013923959310295,0.4802431483957218,2.9409375,2.634709295067414,3.158917709003325,inf,4.0,4.0,inf,inf,inf,inf,1.2491883116883118
up,learned_s11,0.9,400,16,0.265,0.20244314308731487,0.3480014592995362,3.341875,3.1185074723956916,3.526178760168865,inf,4.0,4.0,inf,inf,inf,inf,1.5165094339622642
up,learned_s11,0.95,400,16,0.2275,0.163615221987315,0.3038556765462369,3.62,3.486328660497733,3.7399572724345966,inf,4.0,4.0,inf,inf,inf,inf,2.32967032967033
up,learned_s11,0.975,400,16,0.1525,0.10374321006027235,0.2203200500669499,3.86,3.7982030441531562,3.9163063812097274,inf,4.0,4.0,inf,inf,inf,inf,3.081967213114754
up,learned_s11,0.99,400,16,0.0475,0.022050831202046036,0.0734205137751303,3.99125,3.9815712757687356,4.0,inf,4.0,4.0,inf,inf,inf,inf,3.8157894736842106
