layer,projection,method,budget_bpw,count,mean,median,std
0,down,random,4.0,111,0.5699803607795592,0.610467946563138,0.15722549334628133
0,down,two_view_oracle,0.0,111,0.0,0.0,0.0
0,down,two_view_oracle,0.05,111,0.0,0.0,0.0
0,down,two_view_oracle,0.1,111,0.3274640881528649,0.31015019041345304,0.26217344367258905
0,down,two_view_oracle,0.2,111,0.37850131418457444,0.34187953708864927,0.2802742679466899
0,down,two_view_oracle,0.3,111,0.4402998380999423,0.4216343153380052,0.28241937214503676
0,down,two_view_oracle,0.5,111,0.524702778371553,0.5657895645153561,0.28590341355895893
0,down,two_view_oracle,0.75,111,0.581190221812656,0.6411810737864535,0.2881385306032567
0,down,two_view_oracle,1.0,111,0.6162978573296726,0.6864717312626945,0.2894653405670808
0,down,two_view_oracle,1.25,111,0.6439290977878271,0.7032213137198804,0.281090962980987
0,down,two_view_oracle,1.5,111,0.6716769557316099,0.7426801237507763,0.25997368925814757
0,down,two_view_oracle,2.0,111,0.7217096006234868,0.7998234282897514,0.23245541043082288
0,down,two_view_oracle,2.5,111,0.7659766323890224,0.8276243403851574,0.2068366095930865
0,down,two_view_oracle,3.0,111,0.7966082576085005,0.8443389241373622,0.18384855852629206
0,down,two_view_oracle,4.0,111,0.8438630329457512,0.9064066550827756,0.15924304058314398
0,gate,generalized,0.0,111,0.0,0.0,0.0
0,gate,generalized,0.05,111,0.5150792351655782,0.5320000813222469,0.17649226003190477
0,gate,generalized,0.1,111,0.6492001217812523,0.7133365371821694,0.18698954695469197
0,gate,generalized,0.2,111,0.7227446913362767,0.7914716473691572,0.18609083109930055
0,gate,generalized,0.3,111,0.7625970315027553,0.8316994048382104,0.18362307436008524
0,gate,generalized,0.5,111,0.8155425010671684,0.888745926714426,0.17839493826159447
0,gate,generalized,0.75,111,0.8486761581672919,0.9207960584319648,0.16947614540439004
0,gate,generalized,1.0,111,0.8721941723142729,0.9372625197983141,0.15894461746671418
0,gate,generalized,1.25,111,0.8886101231395206,0.9498976029303858,0.15003527622743543
0,gate,generalized,1.5,111,0.9016038738391389,0.9587607091507887,0.14152405945525148
0,gate,generalized,2.0,111,0.921641828101403,0.9713409765053044,0.1265533163573332
0,gate,generalized,2.5,111,0.9344263919538652,0.9800565322381233,0.11719144580840798
0,gate,generalized,3.0,111,0.9445929843587014,0.9854625489123433,0.10650321944400473
0,gate,generalized,4.0,111,0.9573759976634352,0.9915467352579098,0.0914207140875673
0,gate,learned_s11,0.0,111,0.0,0.0,0.0
0,gate,learned_s11,0.05,111,-0.37488056735698155,0.34917038694037095,2.315805525300187
0,gate,learned_s11,0.1,111,0.5296395582755621,0.5497271726244213,0.18626228121450114
0,gate,learned_s11,0.2,111,0.6354794221101032,0.6956944313416402,0.18664127750098183
0,gate,learned_s11,0.3,111,0.6894057674515168,0.7467631962274031,0.1797202417114517
0,gate,learned_s11,0.5,111,0.7643751648019442,0.8269163277787659,0.17571741261451557
0,gate,learned_s11,0.75,111,0.8080571833469499,0.8815424031504601,0.17020179168456726
0,gate,learned_s11,1.0,111,0.8379227247445086,0.8993018919132532,0.16160210400991173
0,gate,learned_s11,1.25,111,0.8598626236855497,0.9225383525801681,0.15487918330213885
0,gate,learned_s11,1.5,111,0.8759241508669833,0.9384342734716848,0.15013096461938247
0,gate,learned_s11,2.0,111,0.8995161603134054,0.9584936925253886,0.1386896109736019
0,gate,learned_s11,2.5,111,0.9147083919847592,0.9689562315175747,0.12971733062818716
0,gate,learned_s11,3.0,111,0.9263284837868944,0.9763370000436195,0.11949209622926939
0,gate,learned_s11,4.0,111,0.941770989317378,0.984900897932302,0.1025744195353625
0,gate,learned_s29,0.0,111,0.0,0.0,0.0
0,gate,learned_s29,0.05,111,-0.35516874435344326,0.3385992494522466,2.174008798706933
0,gate,learned_s29,0.1,111,0.536939878212888,0.588139978926733,0.18001420916137328
0,gate,learned_s29,0.2,111,0.6423586526616438,0.6895672386037663,0.1719784092563914
0,gate,learned_s29,0.3,111,0.6944248536284637,0.7493484104707746,0.1661636030307198
0,gate,learned_s29,0.5,111,0.7666654536379803,0.8246044608525447,0.165659871650394
0,gate,learned_s29,0.75,111,0.8138696022032115,0.8759001220445776,0.15691589757884428
0,gate,learned_s29,1.0,111,0.8445536357518971,0.9094492186781683,0.14911168254731247
0,gate,learned_s29,1.25,111,0.8654894714014978,0.9232137151070389,0.14558218778049448
0,gate,learned_s29,1.5,111,0.8824558505284541,0.9392133311570029,0.13940009540586173
0,gate,learned_s29,2.0,111,0.9048709518631282,0.956369562425953,0.12754857628262845
0,gate,learned_s29,2.5,111,0.920032240122471,0.9685771667972903,0.11873176152110627
