layer,projection,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery
39,down,3.0,153,0.7735162254389003,0.5583175920432992,0.9144339406721973
39,down,4.0,153,0.8797943818235117,0.7067198231768438,0.9594290934561012
39,gate,0.0,153,0.0,0.0,0.0
39,gate,0.05,153,0.5674575644038607,0.3396317885222562,0.7138733247781821
39,gate,0.1,153,0.6433108193979502,0.3771407167715342,0.7645211574342841
39,gate,0.2,153,0.6625717412927737,0.4070569951281614,0.792882371804776
39,gate,0.3,153,0.6825371518494088,0.4117698269694913,0.8165389990284753
39,gate,0.5,153,0.7141897071243877,0.4550671321235907,0.8384822500112977
39,gate,0.75,153,0.7422360456565433,0.48068452441831555,0.8518761651852361
39,gate,1.0,153,0.752584789445707,0.5071445334748542,0.861464738820389
39,gate,1.25,153,0.7628473073860109,0.5182289138664449,0.8699913216779049
39,gate,1.5,153,0.7743814154093602,0.5520227000447806,0.8770720033231205
39,gate,2.0,153,0.7964989483149026,0.5992083907604644,0.8889715748032931
39,gate,2.5,153,0.8180218694407317,0.6687300049723818,0.9046288951297224
39,gate,3.0,153,0.8406122221089134,0.6972797049639778,0.918155391132462
39,gate,4.0,153,0.8998256811729777,0.806946888006999,0.9470744974628889
39,up,0.0,153,0.0,0.0,0.0
39,up,0.05,153,0.3962832530535395,0.20852318731745895,0.7181364497584718
39,up,0.1,153,0.45073934191328235,0.27335876111497376,0.7418659075852
39,up,0.2,153,0.4856295616120624,0.3115371500328522,0.7589121460396794
39,up,0.3,153,0.5076983941608113,0.33980145861477545,0.7809546965343345
39,up,0.5,153,0.5565578482901427,0.3673177288681235,0.7992737700525966
39,up,0.75,153,0.5891451445645877,0.40080691532746765,0.8168227108318745
39,up,1.0,153,0.6113661762882803,0.4284423009570118,0.8257408051467188
39,up,1.25,153,0.6332572341540949,0.45472329362420305,0.8302892842760059
39,up,1.5,153,0.6478810324471937,0.47804057881144935,0.8450680520665846
39,up,2.0,153,0.6851028052656283,0.5359968594148595,0.8599752899331964
39,up,2.5,153,0.7363787872023096,0.5988991289536434,0.8763394462824736
39,up,3.0,153,0.7646532615074764,0.6331175149890069,0.8850383872776832
39,up,4.0,153,0.857149951962987,0.7628690535267266,0.9238199008696315
