layer,method,budget_bpw,invocations,recovery_median,recovery_p10,relative_error_median,physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median
0,pca_pca_native,2.0,67,0.9660932867381303,0.6886798240156007,0.18239669501781464,2.0,1.5,1.5,2.5
0,pca_pca_native,2.5,67,0.9787479331108926,0.7568868492877594,0.14259925484657288,2.4895833333333335,2.0,2.0,3.0
0,pca_pca_native,3.0,67,0.9837633434056908,0.79502598204706,0.11908499896526337,3.0,3.0,2.5,4.0
0,pca_pca_native,4.0,67,0.9885917207373829,0.8489206450390003,0.09732148051261902,3.9895833333333335,4.0,4.0,4.0
20,all_generalized,0.0,40,0.0,0.0,0.8355231583118439,0.0,0.0,0.0,0.0
20,all_generalized,0.25,40,0.22183962000817847,0.10411563816352767,0.7952238023281097,0.22916666666666666,0.03125,0.09375,0.28125
20,all_generalized,0.5,40,0.30183511461372337,0.17280146313535139,0.7816674709320068,0.4791666666666667,0.1875,0.28125,0.609375
20,all_generalized,0.75,40,0.3739439937333335,0.17346457128010034,0.7670118808746338,0.6875,0.484375,0.5,1.0
20,all_generalized,1.0,40,0.41271169533914626,0.23440560336941688,0.7536841630935669,0.96875,0.5,0.5,1.5
20,all_generalized,1.25,40,0.4491333851822021,0.2775576401464499,0.7250231802463531,1.1770833333333333,0.75,0.625,1.734375
20,all_generalized,1.5,40,0.5062307849392805,0.35607018465423446,0.6909430921077728,1.4947916666666665,0.75,0.625,2.5
20,all_generalized,2.0,40,0.5876919719030258,0.42046917715152077,0.6535925567150116,1.9895833333333333,1.5,1.0,3.0
20,all_generalized,2.5,40,0.6526798051101103,0.4595813239488821,0.6099553406238556,2.4895833333333335,2.234375,2.484375,3.0
20,all_generalized,3.0,40,0.7138638617245299,0.5500200371049986,0.5500162243843079,2.953125,2.5,2.984375,4.0
20,all_generalized,4.0,40,0.7839879615262977,0.6314855757666485,0.43895891308784485,3.994791666666667,4.0,4.0,4.0
20,all_native,0.0,40,0.0,0.0,0.8355231583118439,0.0,0.0,0.0,0.0
20,all_native,0.25,40,0.2206990885204877,0.15059490011035748,0.7940678298473358,0.22916666666666666,0.09375,0.09375,0.28125
20,all_native,0.5,40,0.30304638384510485,0.21433938837492064,0.7730485200881958,0.47395833333333337,0.09375,0.28125,0.734375
20,all_native,0.75,40,0.33919258831906424,0.27230034038374745,0.7587804794311523,0.6979166666666666,0.234375,0.390625,0.75
20,all_native,1.0,40,0.3873434630131924,0.2888329809914261,0.7530451416969299,0.9635416666666667,0.5,1.0,0.984375
20,all_native,1.25,40,0.42475029913791923,0.3111412288412002,0.7281238734722137,1.2291666666666667,1.125,0.75,0.984375
20,all_native,1.5,40,0.4759154672277926,0.35599037937179456,0.7146621942520142,1.4427083333333335,0.875,1.25,0.859375
20,all_native,2.0,40,0.5478638099686768,0.4483726868410521,0.6843034029006958,1.9895833333333333,1.5,2.0,1.5
20,all_native,2.5,40,0.6042268249659255,0.49911485615785983,0.6478002667427063,2.421875,3.0,2.75,2.25
20,all_native,3.0,40,0.6434113729455748,0.5332650955166022,0.6064375042915344,2.994791666666667,4.0,4.0,2.5
20,all_native,4.0,40,0.7317568888941167,0.5837322547218432,0.5119554698467255,3.6666666666666665,4.0,4.0,4.0
