layer,expert_id,expert_stratum,projection,method,budget_bpw,count,mean,median
39,70,hot,down,learned_s47,2.5,23,0.7153715374964394,0.7690055877852788
39,70,hot,down,learned_s47,3.0,23,0.7345371443402663,0.7842973132248794
39,70,hot,down,learned_s47,4.0,23,0.7829150169991254,0.8475606279424064
39,70,hot,down,native,0.0,23,0.0,0.0
39,70,hot,down,native,0.05,23,0.0,0.0
39,70,hot,down,native,0.1,23,0.09604278880680676,0.07405272536806873
39,70,hot,down,native,0.2,23,0.19374485201640698,0.19395868197296573
39,70,hot,down,native,0.3,23,0.26176253415215317,0.21587514612832892
39,70,hot,down,native,0.5,23,0.2986646479715163,0.2722164044558797
39,70,hot,down,native,0.75,23,0.32043133227517007,0.3483424210363233
39,70,hot,down,native,1.0,23,0.35114841838997,0.3779861563092104
39,70,hot,down,native,1.25,23,0.37678471181797096,0.3999567786528352
39,70,hot,down,native,1.5,23,0.3989740260072685,0.44059652150720907
39,70,hot,down,native,2.0,23,0.4457270605336519,0.5500665460032677
39,70,hot,down,native,2.5,23,0.4858044240922696,0.5370949120427069
39,70,hot,down,native,3.0,23,0.5517711588603054,0.6357261380956327
39,70,hot,down,native,4.0,23,0.6126711218804933,0.6793141251322307
39,70,hot,down,overcomplete_2x,0.0,23,0.0,0.0
39,70,hot,down,overcomplete_2x,0.05,23,0.0,0.0
39,70,hot,down,overcomplete_2x,0.1,23,0.3776698023563368,0.4377370741102917
39,70,hot,down,overcomplete_2x,0.2,23,0.4222893420068551,0.5057956468623663
39,70,hot,down,overcomplete_2x,0.3,23,0.4591567993084892,0.5399829654943216
39,70,hot,down,overcomplete_2x,0.5,23,0.4970469376957474,0.5661114200357282
39,70,hot,down,overcomplete_2x,0.75,23,0.5408251812986522,0.6218401835866489
39,70,hot,down,overcomplete_2x,1.0,23,0.5686328399105635,0.6544572793610894
39,70,hot,down,overcomplete_2x,1.25,23,0.5910422217545298,0.6146242878980235
39,70,hot,down,overcomplete_2x,1.5,23,0.6063350789180556,0.6577346711758163
39,70,hot,down,overcomplete_2x,2.0,23,0.6314615205835056,0.6601605350626399
39,70,hot,down,overcomplete_2x,2.5,23,0.6606263993745554,0.7112111850413805
39,70,hot,down,overcomplete_2x,3.0,23,0.6762405323015558,0.7217903962790375
39,70,hot,down,overcomplete_2x,4.0,23,0.7220931828426914,0.7634749100674771
39,70,hot,down,pca,0.0,23,0.0,0.0
39,70,hot,down,pca,0.05,23,0.0,0.0
39,70,hot,down,pca,0.1,23,0.41740528993835135,0.5080111265818779
39,70,hot,down,pca,0.2,23,0.44030777074704514,0.5171484498776504
39,70,hot,down,pca,0.3,23,0.4476022040181058,0.5115619519323067
39,70,hot,down,pca,0.5,23,0.5291651242740119,0.6035537783020013
39,70,hot,down,pca,0.75,23,0.573590221930708,0.6280452155119309
39,70,hot,down,pca,1.0,23,0.599822343221646,0.6727990800674375
39,70,hot,down,pca,1.25,23,0.6260885606031509,0.7054246931689889
39,70,hot,down,pca,1.5,23,0.6365923448295439,0.6925049110845362
