training_cohort,basis_variant,rank,synthesis_encoding,n,delta_gate_relative_mse_median,delta_up_relative_mse_median,hidden_q4_relative_mse_p10,hidden_q4_relative_mse_median,hidden_q4_relative_mse_p90,unit_score_ndcg_192_median,utility_weighted_recall_192_p10,utility_weighted_recall_192_median,predictor_runtime_ms_median
exact_checkpoint_train_only,layer_shared_joint_gate_up,32,int8_per_row,69,0.6404947961719567,0.6717446464484531,0.073829078831082,0.13107396753700262,0.17445586389999726,0.8451807773652041,0.8437081031644945,0.915082219268078,0.14419853687286377
exact_checkpoint_train_only,layer_shared_joint_gate_up,64,fp16,69,0.5999331157545948,0.6295264683310031,0.06163737227618222,0.11709204248498878,0.1704069554265208,0.847192464759245,0.8455097677296367,0.9274906263591952,0.1638401299715042
exact_checkpoint_train_only,layer_shared_joint_gate_up,64,fp8_e4m3fn_per_row,69,0.5986429315779175,0.6294379834654541,0.06203823437248869,0.11725484084470471,0.17082157660619054,0.8536541159961445,0.8452660139705075,0.9231769698319783,0.16060099005699158
exact_checkpoint_train_only,layer_shared_joint_gate_up,64,int8_per_row,69,0.6003219583389678,0.6297725665946255,0.06162031121538901,0.11691760265555619,0.17023229786745872,0.8476354465117958,0.8429455713045073,0.9220115909192753,0.16028061509132385
exact_checkpoint_train_only,layer_shared_separate_gate_up,8,fp16,69,0.711484983456916,0.7372173388031367,0.08825524188265324,0.14329979987143904,0.1913395475492903,0.8252343215318968,0.8308517289329039,0.9017196331840225,0.140313059091568
exact_checkpoint_train_only,layer_shared_separate_gate_up,8,fp8_e4m3fn_per_row,69,0.7120695285738129,0.7372760903595633,0.0882746735487156,0.14313279777722582,0.19162446153478857,0.824377450941017,0.8348515573852947,0.9000143973219138,0.13415329158306122
exact_checkpoint_train_only,layer_shared_separate_gate_up,8,int8_per_row,69,0.7117865306802431,0.7369783823381068,0.08817944961073944,0.14336857287886193,0.19140089205476468,0.824538200183142,0.8308517289329038,0.9017196331840225,0.13612955808639526
exact_checkpoint_train_only,layer_shared_separate_gate_up,16,fp16,69,0.6889312328653219,0.7134749257316328,0.0787488192568587,0.13954653280502796,0.18483983972686263,0.8209271710564292,0.8388199425883938,0.9063587637920723,0.1448206603527069
exact_checkpoint_train_only,layer_shared_separate_gate_up,16,fp8_e4m3fn_per_row,69,0.6894308645814606,0.7133401048427942,0.0785720820208139,0.13961030436850716,0.18471364291891842,0.8273062870183031,0.8388199425883938,0.9063587637920723,0.14252960681915283
exact_checkpoint_train_only,layer_shared_separate_gate_up,16,int8_per_row,69,0.6886098151913239,0.7136105955011979,0.07866121333577776,0.13952181973099376,0.18481543563585281,0.821024198974157,0.8385772770175896,0.9063587637920723,0.14327093958854675
exact_checkpoint_train_only,layer_shared_separate_gate_up,32,fp16,69,0.6378894838612708,0.6664747312195662,0.07360358158951918,0.12792087211333075,0.1736383651280309,0.8443560363697526,0.8477529566312536,0.9177168170402259,0.15569105744361877
exact_checkpoint_train_only,layer_shared_separate_gate_up,32,fp8_e4m3fn_per_row,69,0.6378171766200857,0.6682169146862665,0.07375690760096444,0.12804552853367024,0.1741836885213902,0.8449340331491845,0.8494359296877544,0.9179621493745854,0.1558605581521988
exact_checkpoint_train_only,layer_shared_separate_gate_up,32,int8_per_row,69,0.6376551476859789,0.6665702299164629,0.07370974299242483,0.12778027424856767,0.1734982951168981,0.8443712192189828,0.8478032232842386,0.9167889343098679,0.15561096370220184
exact_checkpoint_train_only,layer_shared_separate_gate_up,64,fp16,69,0.5992085563973285,0.6293608629551446,0.06201110277293345,0.11654856703807853,0.17064131251731893,0.8488538766252293,0.8431147376827376,0.9221147973323646,0.18256157636642456
exact_checkpoint_train_only,layer_shared_separate_gate_up,64,fp8_e4m3fn_per_row,69,0.5980002764568778,0.6292614513111601,0.06251790032455228,0.11645417751060427,0.17075078551989675,0.8497884692663816,0.8431691437963451,0.9233949090739595,0.18221139907836914
exact_checkpoint_train_only,layer_shared_separate_gate_up,64,int8_per_row,69,0.5991983400897383,0.629391258161993,0.06205030611880242,0.11646888297265919,0.17065465303446706,0.8484538973994692,0.8431147376827376,0.9208451204519259,0.1833103597164154
exact_checkpoint_train_only,per_expert_joint_gate_up_upper_bound,8,fp16,69,0.700119738488633,0.7344645210515844,0.08427208432187994,0.14288248702604567,0.191263252542183,0.8363666654159505,0.8290961513644197,0.9020782038397723,0.13876892626285553
exact_checkpoint_train_only,per_expert_joint_gate_up_upper_bound,16,fp16,69,0.6776054594087217,0.7177472014797264,0.07866111074891018,0.13905797578156676,0.18034880488779956,0.8378858635769307,0.8442125552672166,0.9052228115650163,0.1417398452758789
exact_checkpoint_train_only,per_expert_joint_gate_up_upper_bound,32,fp16,69,0.6338065593575609,0.6752482169759432,0.07303271104246029,0.1265399255662285,0.1704008490787424,0.8472785193019008,0.8484678611726117,0.9187895596816499,0.15104003250598907
exact_checkpoint_train_only,per_expert_joint_gate_up_upper_bound,64,fp16,69,0.6009442723280705,0.6283157422822407,0.06143900200235989,0.11532478813639142,0.17118184549951646,0.848992481962678,0.8425791498022341,0.9231435557213936,0.1685209572315216
