representation_label,layer,physical_budget_bpw,recovery_n,recovery_p10,recovery_median,recovery_p90,recovery_min,recovery_max,physical_pages_median,physical_bytes_median,physical_bpw_median,logical_actions_median,logical_bytes_median,logical_bpw_median,page_amplification_median,selector_runtime_ms_median,selector_bytes_read_median,selector_metadata_bpw_median,storage_multiplier_median,gate_up_actions_median,down_actions_median,path_actions_evaluated_median
exact 64x16 tile,0,1.25,7,0.9485997969769999,0.9718505420853019,0.986420277212861,0.9234002308086801,0.9902449756618277,960.0,491520.0,1.25,960.0,491520.0,1.25,1.0,1374.1165343672037,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,0,1.5,7,0.948843357134186,0.973855260173881,0.9883652134313458,0.9245508952155632,0.9913741470264122,1152.0,589824.0,1.5,1152.0,589824.0,1.5,1.0,1374.1165343672037,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,4,0.25,16,0.7830358906390094,0.8412400612379061,0.9004872731082648,0.7758536890364338,0.9225155252638118,192.0,98304.0,0.25,192.0,98304.0,0.25,1.0,1386.072721797973,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,4,0.5,16,0.8893107581409078,0.9259059659445597,0.9535307076143886,0.8865952515625765,0.9664282536850375,384.0,196608.0,0.5,384.0,196608.0,0.5,1.0,1386.072721797973,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,4,0.75,16,0.9266928007016302,0.9541331373023723,0.9710381190259119,0.9236177141508861,0.976904801228297,576.0,294912.0,0.75,576.0,294912.0,0.75,1.0,1386.072721797973,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,4,1.0,16,0.9374665339976095,0.9611062333535769,0.9757522245811091,0.9324479128104468,0.9802367685919304,768.0,393216.0,1.0,768.0,393216.0,1.0,1.0,1386.072721797973,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,4,1.25,16,0.9488381038532865,0.9681214584571094,0.98026337058594,0.9473894091287164,0.9846026357638997,960.0,491520.0,1.25,960.0,491520.0,1.25,1.0,1386.072721797973,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,4,1.5,16,0.9588820838663749,0.9719623651477165,0.9850674353772206,0.9539249739062181,0.9865031305958372,1152.0,589824.0,1.5,1152.0,589824.0,1.5,1.0,1386.072721797973,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,20,0.25,16,0.7558333329280388,0.8403282187562877,0.8907018705555634,0.6819756288189587,0.9090982330843184,192.0,98304.0,0.25,192.0,98304.0,0.25,1.0,1413.3809320628643,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,20,0.5,16,0.8844349758153311,0.9266365551099482,0.9471158307836481,0.8419686719217232,0.9567095113182976,384.0,196608.0,0.5,384.0,196608.0,0.5,1.0,1413.3809320628643,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,20,0.75,16,0.9271121220102867,0.9566366076638697,0.9668451925692068,0.887557607523121,0.9747562534493195,576.0,294912.0,0.75,576.0,294912.0,0.75,1.0,1413.3809320628643,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,20,1.0,16,0.9381862501798753,0.9657896531297686,0.9713044235995179,0.9114936512392582,0.9795275250805379,768.0,393216.0,1.0,768.0,393216.0,1.0,1.0,1413.3809320628643,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,20,1.25,16,0.9547279356715836,0.9722203606984408,0.9783003247954833,0.9202818731591171,0.9839555143670058,960.0,491520.0,1.25,960.0,491520.0,1.25,1.0,1413.3809320628643,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,20,1.5,16,0.9630767303380547,0.9790357380225775,0.9822264337007935,0.9273513629080751,0.9890093850051147,1152.0,589824.0,1.5,1152.0,589824.0,1.5,1.0,1413.3809320628643,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,39,0.25,16,0.8322205083059758,0.9184160118176241,0.9715958652594407,0.8196577360059947,0.9937295284180789,192.0,98304.0,0.25,192.0,98304.0,0.25,1.0,1389.6042769774795,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,39,0.5,16,0.9120925856420857,0.9632054540604604,0.9870868639610032,0.8998282608290255,0.9969109501885587,384.0,196608.0,0.5,384.0,196608.0,0.5,1.0,1389.6042769774795,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,39,0.75,16,0.9340401866151846,0.9721433962422612,0.9907530633747896,0.9158666624707583,0.9976258871300876,576.0,294912.0,0.75,576.0,294912.0,0.75,1.0,1389.6042769774795,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,39,1.0,16,0.9388394740597539,0.9749292645457954,0.9915413622033235,0.9209233056367958,0.9977293746668979,768.0,393216.0,1.0,768.0,393216.0,1.0,1.0,1389.6042769774795,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,39,1.25,16,0.9485860149219613,0.9793364221895426,0.9936189991998136,0.9331889002973927,0.9981956615803219,960.0,491520.0,1.25,960.0,491520.0,1.25,1.0,1389.6042769774795,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,39,1.5,16,0.9524639518272743,0.9818874802368118,0.9946879129897286,0.9381557914444717,0.9982789188470319,1152.0,589824.0,1.5,1152.0,589824.0,1.5,1.0,1389.6042769774795,25174016.0,0.0,1.4705882352941178,,,
factorized G/D fixed-greedy,0,0.5,7,0.8717963412185304,0.9481208962546074,0.9645063858120102,0.8464848252695394,0.9698610803854105,384.0,196608.0,0.5,270.0,196608.0,0.5,1.0,237.53666877746582,33554432.0,0.0,1.4705882352941178,114.0,156.0,270.0
factorized G/D fixed-greedy,0,0.75,7,0.8717963412209241,0.9481501876960976,0.9659265529416533,0.8464848252727435,0.9703245947553246,559.0,286208.0,0.7278645833333334,434.0,286208.0,0.7278645833333334,1.0,270.07921785116196,33554432.0,0.0,1.4705882352941178,123.0,306.0,442.0
factorized G/D fixed-greedy,0,1.0,7,0.8717963412209241,0.9481501876960976,0.965926552941657,0.8464848252727435,0.9703245947553246,559.0,286208.0,0.7278645833333334,434.0,286208.0,0.7278645833333334,1.0,327.17521488666534,33554432.0,0.0,1.4705882352941178,123.0,309.0,541.0
factorized G/D fixed-greedy,4,0.5,16,0.8375322542430581,0.8722891851985674,0.9327248036260893,0.8152331264493314,0.9444702657232906,384.0,196608.0,0.5,281.0,196608.0,0.5,1.0,237.97198850661516,33554432.0,0.0,1.4705882352941178,103.0,178.0,281.0
factorized G/D fixed-greedy,4,0.75,16,0.8760278633792564,0.8976700479805753,0.9466897077843728,0.8477222233562155,0.9545240222445487,576.0,294912.0,0.75,411.5,294912.0,0.75,1.0,248.54329135268927,33554432.0,0.0,1.4705882352941178,164.5,247.0,411.5
factorized G/D fixed-greedy,4,1.0,16,0.8871935309638757,0.9092348200870297,0.9528754745021613,0.8551194002636363,0.9572942523117413,768.0,393216.0,1.0,537.5,393216.0,1.0,1.0,320.42908668518066,33554432.0,0.0,1.4705882352941178,230.5,307.0,537.5
factorized G/D fixed-greedy,20,0.5,16,0.8151691502249451,0.8873436427161641,0.9290531956312892,0.8042782319913095,0.9473878330943277,384.0,196608.0,0.5,285.0,196608.0,0.5,1.0,248.3830964192748,33554432.0,0.0,1.4705882352941178,99.0,186.0,285.0
factorized G/D fixed-greedy,20,0.75,16,0.8633444360990308,0.9159749594810309,0.9474849324237098,0.8502212603103496,0.9619442102840522,576.0,294912.0,0.75,414.5,294912.0,0.75,1.0,251.11554004251957,33554432.0,0.0,1.4705882352941178,161.5,253.0,414.5
factorized G/D fixed-greedy,20,1.0,16,0.8827034882960967,0.926787085919409,0.956933089288051,0.8637946905464267,0.9682476705708489,768.0,393216.0,1.0,538.5,393216.0,1.0,1.0,321.2069245055318,33554432.0,0.0,1.4705882352941178,229.5,309.0,538.5
factorized G/D fixed-greedy,39,0.5,16,0.8236743990739724,0.9291066843826453,0.9763074941552821,0.779085746759468,0.99543988280282,384.0,196608.0,0.5,281.0,196608.0,0.5,1.0,241.03683233261108,33554432.0,0.0,1.4705882352941178,103.0,178.0,281.0
factorized G/D fixed-greedy,39,0.75,16,0.8415832276087803,0.9404707407408699,0.9795113771193185,0.8107552685082944,0.9960849834619111,576.0,294912.0,0.75,410.0,294912.0,0.75,1.0,248.73828701674938,33554432.0,0.0,1.4705882352941178,166.0,244.0,410.0
factorized G/D fixed-greedy,39,1.0,16,0.8503996259043346,0.9439901419019727,0.9810580287484749,0.8186466711453779,0.9963388673653795,768.0,393216.0,1.0,536.0,393216.0,1.0,1.0,317.9615242406726,33554432.0,0.0,1.4705882352941178,232.0,304.0,536.0
