group,projection,basis,stage,invocations,recovery_p10,recovery_median,recovery_p90
all four layers,gate,refit_generalized,3,65,0.9976925876016094,0.9980523371574876,0.9988959596834398
all four layers,up,butterfly_hadamard_control,1,65,0.7003416846663852,0.8697796354527101,0.8918226328572832
all four layers,up,butterfly_hadamard_control,2,65,0.953843772066321,0.9832611808482314,0.9865476320149459
all four layers,up,butterfly_hadamard_control,3,65,0.9888986820028097,0.9971022905815113,0.9974869593411722
all four layers,up,generalized,1,65,0.6772924674069668,0.8793437608777483,0.8948569939098461
all four layers,up,generalized,2,65,0.9585224426577043,0.9844045564511966,0.9867722948213851
all four layers,up,generalized,3,65,0.9913402763440758,0.9971635713810443,0.9976205649540574
all four layers,up,learned_orthogonal,1,65,0.6829931732976987,0.7972056874866567,0.8795313389814478
all four layers,up,learned_orthogonal,2,65,0.9382588257108798,0.9737440158631748,0.9834027720570685
all four layers,up,learned_orthogonal,3,65,0.9883512689030992,0.9962345475071314,0.9969158140433401
all four layers,up,native,1,65,0.7741038754531891,0.8731705520729287,0.9016236093016771
all four layers,up,native,2,65,0.9502666904019331,0.9785003207211665,0.986144687507702
all four layers,up,native,3,65,0.9919443879529358,0.9955306814009502,0.997505380879514
all four layers,up,overcomplete_2x,1,65,0.796874538952814,0.9232599122801362,0.936591702935979
all four layers,up,overcomplete_2x,2,65,0.9719886585492127,0.9907950357511423,0.9923674905642341
all four layers,up,overcomplete_2x,3,65,0.9954585199461153,0.998387397605986,0.9986880163552143
all four layers,up,pca,1,65,0.7883192973239103,0.8789187954620971,0.8970185629601891
all four layers,up,pca,2,65,0.9611127901898446,0.9842636410656994,0.9868253369951995
all four layers,up,pca,3,65,0.9921786703575578,0.9971337024577905,0.9976680839281323
all four layers,up,refit_generalized,1,65,0.7182933473483776,0.8759702748793645,0.8942765100985061
all four layers,up,refit_generalized,2,65,0.9717496649069369,0.984396241110692,0.9866378273757935
all four layers,up,refit_generalized,3,65,0.9956431347308038,0.9977244771949302,0.9982466636108254
layer 0,down,native,1,21,0.8116310559475538,0.831200236551842,0.8477613118828102
layer 0,down,native,2,21,0.967379812355103,0.9717731854527489,0.9763685397662127
layer 0,down,native,3,21,0.991818006967306,0.993733203237804,0.995130401186727
layer 0,down,refit_generalized,1,21,0.8719268513350056,0.8924947377327035,0.9108887378355224
layer 0,down,refit_generalized,2,21,0.983089827516855,0.9859639267421894,0.9890351681075813
layer 0,down,refit_generalized,3,21,0.997491226350787,0.9980166381323599,0.9985449105505685
layer 0,gate,butterfly_hadamard_control,1,21,0.859180202682823,0.8812220269369366,0.896466774433336
layer 0,gate,butterfly_hadamard_control,2,21,0.9823238977245572,0.98806083859279,0.9902419147926543
layer 0,gate,butterfly_hadamard_control,3,21,0.9975417937996698,0.9983190495432985,0.9987387849059948
layer 0,gate,generalized,1,21,0.8788884208518062,0.9167246072629944,0.9291677126716855
layer 0,gate,generalized,2,21,0.9867171761720785,0.9893523544783451,0.9921929450125548
layer 0,gate,generalized,3,21,0.9980165268392076,0.9985192531269813,0.9990991997961999
layer 0,gate,learned_orthogonal,1,21,0.8455624469847013,0.8652684895824185,0.8896347290428498
layer 0,gate,learned_orthogonal,2,21,0.9820791545915986,0.985249206175638,0.9890040281540912
