projection,stage,comparison,k,cases,recovery_median,recovery_p10,recovery_p90
up,1,bounded_beam_w64_pool32,6.0,4,0.27487605019645245,0.22934507179032665,0.3244232547398788
up,1,bounded_beam_w64_pool32,7.0,4,0.2862650676994449,0.23897147526494694,0.33416656463367156
up,1,bounded_beam_w64_pool32,8.0,4,0.29712179685763157,0.24842044803086455,0.34316508503405335
up,1,bounded_beam_w64_pool32,9.0,4,0.3063030242382498,0.25687976228780063,0.35204363513812265
up,1,bounded_beam_w64_pool32,10.0,4,0.3150383088754926,0.26476791935846483,0.36014696215939623
up,1,bounded_beam_w64_pool32,11.0,4,0.3226722604783373,0.27188707609274154,0.36651503747319586
up,1,bounded_beam_w64_pool32,12.0,4,0.33105573375580777,0.2790674103731866,0.3737192284674812
up,1,bounded_beam_w64_pool32,13.0,4,0.3393526521190143,0.28526126764809295,0.38006706631028814
up,1,bounded_beam_w64_pool32,14.0,4,0.346972212733671,0.291039786287176,0.38632549923184056
up,1,bounded_beam_w64_pool32,15.0,4,0.3535329135846539,0.29596681706741734,0.3909967007644024
up,1,bounded_beam_w64_pool32,16.0,4,0.3595509336495596,0.30051308111512065,0.39600881229127133
up,2,bounded_beam_w16_pool32,1.0,4,0.1576342514580743,0.10015150148193658,0.3896484612572061
up,2,bounded_beam_w16_pool32,2.0,4,0.21503230558303355,0.164345265160313,0.44609956582165095
up,2,bounded_beam_w16_pool32,3.0,4,0.24393333074077023,0.18485661607802334,0.4864766406517794
up,2,bounded_beam_w16_pool32,4.0,4,0.2635495015528435,0.20168881949539924,0.5105631419748545
up,2,bounded_beam_w16_pool32,5.0,4,0.2808181140170134,0.21504505736007254,0.530452009613796
up,2,bounded_beam_w16_pool32,6.0,4,0.29353289663066495,0.22703376167806089,0.5447409898336848
up,2,bounded_beam_w16_pool32,7.0,4,0.30432576181480636,0.2387750566320753,0.5560088884858413
up,2,bounded_beam_w16_pool32,8.0,4,0.31467031711431004,0.2503217014664481,0.5650050588673888
up,2,bounded_beam_w16_pool32,9.0,4,0.3241182815210009,0.25774463185770163,0.571509832872424
up,2,bounded_beam_w16_pool32,10.0,4,0.3336181845012755,0.26411131471418764,0.5787122868040523
up,2,bounded_beam_w16_pool32,11.0,4,0.342821260647495,0.27070647115086927,0.5850531418233513
up,2,bounded_beam_w16_pool32,12.0,4,0.35185593826466516,0.27747082306445037,0.5883784147998044
up,2,bounded_beam_w16_pool32,13.0,4,0.36045254748950856,0.28293027748364713,0.5940353262209017
up,2,bounded_beam_w16_pool32,14.0,4,0.3684901687898756,0.28771086039979565,0.5975950439356785
up,2,bounded_beam_w16_pool32,15.0,4,0.3760553208757687,0.29198012612367263,0.6022469815020753
up,2,bounded_beam_w16_pool32,16.0,4,0.3823827978897651,0.2961461966370467,0.6047077117366113
up,2,bounded_beam_w64_pool32,1.0,4,0.1576342514580743,0.10015150148193658,0.3896484612572061
up,2,bounded_beam_w64_pool32,2.0,4,0.21503230558303355,0.164345265160313,0.44609956582165095
up,2,bounded_beam_w64_pool32,3.0,4,0.24393333074077023,0.18485661607802334,0.4864766428253256
up,2,bounded_beam_w64_pool32,4.0,4,0.26354950293417556,0.20168881953326442,0.5105631445804104
up,2,bounded_beam_w64_pool32,5.0,4,0.2808181147473013,0.21504505779824526,0.5304520106031242
up,2,bounded_beam_w64_pool32,6.0,4,0.2935328969771681,0.22703376188596278,0.5447409906374311
up,2,bounded_beam_w64_pool32,7.0,4,0.3043257629605386,0.23877505731951465,0.5560088910764238
up,2,bounded_beam_w64_pool32,8.0,4,0.31467031901741327,0.25032170136849324,0.5650050625261963
up,2,bounded_beam_w64_pool32,9.0,4,0.32411828126247405,0.25774463380963714,0.571509834865314
up,2,bounded_beam_w64_pool32,10.0,4,0.33361818400908433,0.26411131669470767,0.5787122894060075
up,2,bounded_beam_w64_pool32,11.0,4,0.3428212646422205,0.270706473989442,0.5850531452811999
up,2,bounded_beam_w64_pool32,12.0,4,0.3518559409953507,0.27747082472733064,0.5883784180903597
up,2,bounded_beam_w64_pool32,13.0,4,0.360452549966011,0.2829302793049733,0.5940353287777198
up,2,bounded_beam_w64_pool32,14.0,4,0.36849017388301286,0.28771086431252646,0.5975950481653748
up,2,bounded_beam_w64_pool32,15.0,4,0.3760553251661457,0.2919801306024221,0.6022469859941872
up,2,bounded_beam_w64_pool32,16.0,4,0.38238280105611255,0.29614620174067197,0.6047077156185655
up,3,bounded_beam_w16_pool32,1.0,4,0.17145693044992188,0.15105370559165382,0.17289000814535604
up,3,bounded_beam_w16_pool32,2.0,4,0.21053281007701002,0.18914034862353696,0.23656074951647374
up,3,bounded_beam_w16_pool32,3.0,4,0.23367778732614408,0.21441026592694773,0.2620582300025347
up,3,bounded_beam_w16_pool32,4.0,4,0.2519770979833079,0.22944543438080015,0.2818260543816434
up,3,bounded_beam_w16_pool32,5.0,4,0.2673049633622692,0.24226175122599314,0.2979061206838844
up,3,bounded_beam_w16_pool32,6.0,4,0.28245622423086697,0.2529095328843852,0.31191409187846714
up,3,bounded_beam_w16_pool32,7.0,4,0.2944310992297371,0.26255858878057486,0.3262751993243389
up,3,bounded_beam_w16_pool32,8.0,4,0.3041465548672605,0.2719091861756735,0.3375812763904046
up,3,bounded_beam_w16_pool32,9.0,4,0.3134211935071389,0.28087360649764626,0.3489870355156149
up,3,bounded_beam_w16_pool32,10.0,4,0.32194682880998005,0.28927566809491756,0.3588704771398331
up,3,bounded_beam_w16_pool32,11.0,4,0.3301666302999347,0.29684031010844003,0.36865510756241715
up,3,bounded_beam_w16_pool32,12.0,4,0.338475100948799,0.30449536584625064,0.37717079479315296
up,3,bounded_beam_w16_pool32,13.0,4,0.3461610067224979,0.31208272661409403,0.38617363734067967
up,3,bounded_beam_w16_pool32,14.0,4,0.35303102213462123,0.3186452509203224,0.39467797069904176
